run,run_dir,symbols,start,end,option_premium_pct,take_profit,stop_loss,max_hold,trades,wins,losses,win_rate,net_pnl,return_pct,profit_factor,expectancy
1,reports/backtests/20260704_000331_769767_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.02,5,123,59,64,0.4796747967479675,833.5,0.008335,1.1185144108404783,6.776422764227642
2,reports/backtests/20260704_000332_234907_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.02,10,123,56,67,0.45528455284552843,255.24999999999517,0.0025524999999999515,1.0299069691146827,2.0752032520324812
3,reports/backtests/20260704_000332_701074_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.02,15,123,53,70,0.43089430894308944,-103.10000000000564,-0.0010310000000000564,0.9883669762036393,-0.8382113821138669
4,reports/backtests/20260704_000333_156534_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.03,5,123,61,62,0.4959349593495935,566.4000000000011,0.005664000000000011,1.07597942223981,4.604878048780497
5,reports/backtests/20260704_000333_610348_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.03,10,123,61,62,0.4959349593495935,-358.55000000000433,-0.0035855000000000435,0.9631489151772403,-2.915040650406539
6,reports/backtests/20260704_000334_076659_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.03,15,123,59,64,0.4796747967479675,-881.4500000000074,-0.008814500000000074,0.9156503141163348,-7.166260162601686
7,reports/backtests/20260704_000334_531507_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.05,5,123,61,62,0.4959349593495935,-295.0500000000006,-0.0029505000000000056,0.9645206286600689,-2.3987804878048826
8,reports/backtests/20260704_000334_987971_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.05,10,123,63,60,0.5121951219512195,-1871.4500000000064,-0.018714500000000064,0.8367021949591413,-15.215040650406555
9,reports/backtests/20260704_000335_441154_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.03,-0.05,15,123,63,60,0.5121951219512195,-2842.900000000007,-0.02842900000000007,0.778848697005056,-23.113008130081358
10,reports/backtests/20260704_000335_893771_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.02,5,123,55,68,0.44715447154471544,75.39999999999937,0.0007539999999999937,1.0105385271220315,0.6130081300812956
11,reports/backtests/20260704_000336_345361_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.02,10,123,47,76,0.3821138211382114,-1061.2000000000044,-0.010612000000000043,0.8860517556104366,-8.6276422764228
12,reports/backtests/20260704_000336_808762_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.02,15,123,38,85,0.3089430894308943,-2175.2500000000077,-0.021752500000000077,0.7882731400594708,-17.68495934959356
13,reports/backtests/20260704_000337_257778_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.03,5,123,56,67,0.45528455284552843,-370.2999999999997,-0.003702999999999997,0.9512932990470427,-3.010569105691055
14,reports/backtests/20260704_000337_719361_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.03,10,123,50,73,0.4065040650406504,-2179.150000000005,-0.02179150000000005,0.7977906038026479,-17.716666666666708
15,reports/backtests/20260704_000338_179321_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.03,15,123,42,81,0.34146341463414637,-3429.0000000000095,-0.0342900000000001,0.7161282845174424,-27.878048780487884
16,reports/backtests/20260704_000338_635749_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.05,5,123,56,67,0.45528455284552843,-1231.7500000000014,-0.012317500000000014,0.8544736002646471,-10.014227642276435
17,reports/backtests/20260704_000339_093614_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.05,10,123,52,71,0.42276422764227645,-3974.050000000006,-0.03974050000000006,0.6892688056859806,-32.30934959349599
18,reports/backtests/20260704_000339_563390_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.05,-0.05,15,123,47,76,0.3821138211382114,-5975.250000000009,-0.05975250000000009,0.5998131423232633,-48.579268292683004
19,reports/backtests/20260704_000340_067310_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.08,-0.02,5,123,55,68,0.44715447154471544,-347.80000000000155,-0.0034780000000000154,0.9513885977050048,-2.8276422764227767
20,reports/backtests/20260704_000340_588287_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.08,-0.02,10,123,46,77,0.37398373983739835,-1087.250000000005,-0.01087250000000005,0.885665762298357,-8.839430894308984
21,reports/backtests/20260704_000341_097186_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.08,-0.02,15,123,34,89,0.2764227642276423,-2671.900000000007,-0.02671900000000007,0.7482083201794266,-21.722764227642333
22,reports/backtests/20260704_000341_650268_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.08,-0.03,5,123,56,67,0.45528455284552843,-793.5000000000006,-0.007935000000000006,0.8956284979579487,-6.451219512195126
23,reports/backtests/20260704_000342_160204_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.08,-0.03,10,123,49,74,0.3983739837398374,-2206.2500000000064,-0.022062500000000065,0.7989401354220772,-17.93699186991875
24,reports/backtests/20260704_000342_663283_AAPL_MSFT_AMZN,"AAPL,MSFT,AMZN",2026-01-01,2026-06-01,0.05,0.08,-0.03,15,123,38,85,0.3089430894308943,-3677.700000000009,-0.03677700000000009,0.7038197324657121,-29.900000000000073
