symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-26,LONG_PUT,PUT,248.35,STOCK_PROXY,248.35,258.27,1,-991.9999999999987,-0.03994362794443321,31.000000000000227,-991.9999999999987,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-26,LONG_PUT,PUT,248.04,STOCK_PROXY,248.04,258.27,1,-1022.999999999999,-0.041243347847121394,0.0,-1022.999999999999,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-02-01,LONG_PUT,PUT,255.41,STOCK_PROXY,255.41,270.01,1,-1459.9999999999995,-0.057162992835049505,0.0,-1459.9999999999995,7,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-02-01,LONG_PUT,PUT,258.27,STOCK_PROXY,258.27,270.01,1,-1174.000000000001,-0.0454563054168119,182.9999999999984,-1174.000000000001,6,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-02-01,LONG_PUT,PUT,256.44,STOCK_PROXY,256.44,270.01,1,-1356.9999999999993,-0.05291686164404926,0.0,-1356.9999999999993,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-02-09,2026-02-11,LONG_CALL,CALL,273.68,STOCK_PROXY,273.68,261.73,1,-1194.9999999999989,-0.04366413329435833,181.99999999999932,-1194.9999999999989,2,STOP_LOSS,70.0,70.0,0.0,0.0,100.0
AAPL,2026-02-10,2026-02-11,LONG_CALL,CALL,275.5,STOCK_PROXY,275.5,261.73,1,-1376.9999999999982,-0.049981851179673256,0.0,-1376.9999999999982,1,STOP_LOSS,70.0,70.0,0.0,0.0,100.0
AAPL,2026-03-08,2026-03-22,LONG_PUT,PUT,259.88,STOCK_PROXY,259.88,251.49,1,838.9999999999986,0.032284131137448,1188.9999999999986,-94.99999999999886,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-11,2026-03-25,LONG_PUT,PUT,255.76,STOCK_PROXY,255.76,252.89,1,287.00000000000045,0.0112214576165155,776.9999999999982,0.0,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-12,2026-03-26,LONG_PUT,PUT,250.12,STOCK_PROXY,250.12,248.8,1,131.99999999999932,0.005277466815928327,212.99999999999955,-410.9999999999985,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-15,2026-03-29,LONG_PUT,PUT,252.82,STOCK_PROXY,252.82,246.63,1,618.9999999999998,0.024483822482398537,618.9999999999998,-140.99999999999966,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-16,2026-03-30,LONG_PUT,PUT,254.23,STOCK_PROXY,254.23,253.79,1,43.99999999999977,0.0017307162805333665,759.9999999999994,0.0,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-17,2026-03-31,LONG_PUT,PUT,249.94,STOCK_PROXY,249.94,255.63,1,-568.9999999999998,-0.0227654637112907,331.0000000000002,-568.9999999999998,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-18,2026-04-01,LONG_PUT,PUT,248.96,STOCK_PROXY,248.96,255.92,1,-695.999999999998,-0.027956298200514054,233.00000000000125,-695.999999999998,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-19,2026-03-31,LONG_PUT,PUT,247.99,STOCK_PROXY,247.99,255.63,1,-763.9999999999986,-0.030807693858623274,136.00000000000136,-763.9999999999986,12,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-22,2026-04-06,LONG_PUT,PUT,251.49,STOCK_PROXY,251.49,253.5,1,-200.9999999999991,-0.007992365501610366,486.00000000000136,-737.0000000000005,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-23,2026-04-07,LONG_PUT,PUT,251.64,STOCK_PROXY,251.64,258.9,1,-725.9999999999991,-0.0288507391511683,500.9999999999991,-725.9999999999991,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-24,2026-04-08,LONG_PUT,PUT,252.62,STOCK_PROXY,252.62,260.49,1,-787.0000000000005,-0.031153511202596802,599.0000000000009,-787.0000000000005,15,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-25,2026-04-08,LONG_PUT,PUT,252.89,STOCK_PROXY,252.89,260.49,1,-760.0000000000023,-0.0300525920360632,625.9999999999991,-760.0000000000023,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-26,2026-04-05,LONG_PUT,PUT,248.8,STOCK_PROXY,248.8,258.86,1,-1006.0000000000002,-0.04043408360128618,217.0000000000016,-1006.0000000000002,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
