symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-26,LONG_PUT,PUT,248.35,STOCK_PROXY,248.35,258.27,1,-993.3999999999987,-0.039999999999999945,31.000000000000227,-991.9999999999987,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-02-04,LONG_CALL,CALL,234.34,STOCK_PROXY,234.34,222.69,1,-1166.4000000000005,-0.04977383289237862,1034.0000000000005,-1165.0000000000005,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-26,LONG_PUT,PUT,248.04,STOCK_PROXY,248.04,258.27,1,-1024.399999999999,-0.04129979035639409,0.0,-1022.999999999999,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-02-04,LONG_CALL,CALL,239.16,STOCK_PROXY,239.16,222.69,1,-1648.4,-0.06892456932597425,552.000000000001,-1647.0,13,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-02-01,LONG_PUT,PUT,255.41,STOCK_PROXY,255.41,270.01,1,-1461.3999999999996,-0.05721780666379545,0.0,-1459.9999999999995,7,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-02-04,LONG_CALL,CALL,238.42,STOCK_PROXY,238.42,222.69,1,-1574.3999999999992,-0.06603472863014845,626.0000000000019,-1572.999999999999,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-02-01,LONG_PUT,PUT,258.27,STOCK_PROXY,258.27,270.01,1,-1175.400000000001,-0.0455105122546173,182.9999999999984,-1174.000000000001,6,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-02-01,LONG_PUT,PUT,256.44,STOCK_PROXY,256.44,270.01,1,-1358.3999999999994,-0.05297145531118388,0.0,-1356.9999999999993,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-01,2026-02-03,LONG_CALL,CALL,242.96,STOCK_PROXY,242.96,232.99,1,-998.3999999999999,-0.041093184063220274,0.0,-996.9999999999999,2,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
AMZN,2026-02-02,2026-02-04,LONG_CALL,CALL,238.62,STOCK_PROXY,238.62,222.69,1,-1594.4000000000008,-0.06681753415472302,0.0,-1593.0000000000007,2,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
AAPL,2026-02-09,2026-02-11,LONG_CALL,CALL,273.68,STOCK_PROXY,273.68,261.73,1,-1196.399999999999,-0.043715287927506535,181.99999999999932,-1194.9999999999989,2,STOP_LOSS,70.0,70.0,0.0,0.0,100.0
AAPL,2026-02-10,2026-02-11,LONG_CALL,CALL,275.5,STOCK_PROXY,275.5,261.73,1,-1378.3999999999983,-0.05003266787658796,0.0,-1376.9999999999982,1,STOP_LOSS,70.0,70.0,0.0,0.0,100.0
AMZN,2026-02-12,2026-02-17,LONG_PUT,PUT,198.79,STOCK_PROXY,198.79,204.79,1,-601.4,-0.030253030836561196,0.0,-600.0,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-16,2026-02-19,LONG_PUT,PUT,201.15,STOCK_PROXY,201.15,210.11,1,-897.4000000000008,-0.044613472532935655,0.0,-896.0000000000008,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-17,2026-03-03,LONG_PUT,PUT,204.79,STOCK_PROXY,204.79,216.82,1,-1204.4,-0.058811465403584166,0.0,-1203.0,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-18,2026-03-03,LONG_PUT,PUT,204.86,STOCK_PROXY,204.86,216.82,1,-1197.399999999998,-0.0584496729473786,0.0,-1195.999999999998,13,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-23,2026-03-03,LONG_PUT,PUT,208.56,STOCK_PROXY,208.56,216.82,1,-827.3999999999991,-0.03967203682393551,64.00000000000148,-825.9999999999991,8,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-24,2026-03-04,LONG_PUT,PUT,210.64,STOCK_PROXY,210.64,218.94,1,-831.4000000000011,-0.03947018609950632,271.9999999999999,-830.0000000000011,8,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-25,2026-03-03,LONG_PUT,PUT,207.92,STOCK_PROXY,207.92,216.82,1,-891.4000000000005,-0.04287225856098502,0.0,-890.0000000000006,6,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-08,2026-03-22,LONG_PUT,PUT,259.88,STOCK_PROXY,259.88,251.49,1,837.5999999999987,0.03223026012005536,1188.9999999999986,-94.99999999999886,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-11,2026-03-25,LONG_PUT,PUT,255.76,STOCK_PROXY,255.76,252.89,1,285.6000000000005,0.011166718798873963,776.9999999999982,0.0,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
