symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-22,LONG_PUT,PUT,248.35,STOCK_PROXY,19.868,248.04,1,-22818.600000000002,-11.485101671028792,-22817.2,1.4000000000000001,-22818.600000000002,0.0,-22817.2,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-01-22,LONG_CALL,CALL,234.34,STOCK_PROXY,18.7472,239.16,1,22039.879999999997,11.756358282836903,22041.28,1.4000000000000001,22039.879999999997,22041.28,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-25,LONG_PUT,PUT,248.04,STOCK_PROXY,19.8432,255.41,1,-23558.08,-11.872117400419288,-23556.68,1.4000000000000001,-23558.08,0.0,-23556.68,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-01-25,LONG_CALL,CALL,239.16,STOCK_PROXY,19.1328,238.42,1,21927.319999999996,11.46059123599264,21928.719999999998,1.4000000000000001,21927.319999999996,21928.719999999998,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-01-26,LONG_CALL,CALL,238.42,STOCK_PROXY,19.0736,244.68,1,22559.239999999998,11.827468333193524,22560.64,1.4000000000000001,22559.239999999998,22560.64,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-01,2026-02-02,LONG_CALL,CALL,242.96,STOCK_PROXY,19.4368,238.62,1,21916.92,11.275991932828449,21918.32,1.4000000000000001,21916.92,21918.32,0.0,1,TAKE_PROFIT,60.0,60.0,0.0,0.0,100.0
AMZN,2026-02-02,2026-02-03,LONG_CALL,CALL,238.62,STOCK_PROXY,19.0896,232.99,1,21388.64,11.204341631045176,21390.04,1.4000000000000001,21388.64,21390.04,0.0,1,TAKE_PROFIT,60.0,60.0,0.0,0.0,100.0
AMZN,2026-02-12,2026-02-16,LONG_PUT,PUT,198.79,STOCK_PROXY,15.9032,201.15,1,-18526.08,-11.649278132702854,-18524.68,1.4000000000000001,-18526.08,0.0,-18524.68,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-16,2026-02-17,LONG_PUT,PUT,201.15,STOCK_PROXY,16.092000000000002,204.79,1,-18871.2,-11.727069351230423,-18869.8,1.4000000000000001,-18871.2,0.0,-18869.8,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-17,2026-02-18,LONG_PUT,PUT,204.79,STOCK_PROXY,16.3832,204.86,1,-18849.080000000005,-11.505127203476736,-18847.680000000004,1.4000000000000001,-18849.080000000005,0.0,-18847.680000000004,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-18,2026-02-19,LONG_PUT,PUT,204.86,STOCK_PROXY,16.3888,210.11,1,-19373.520000000004,-11.821194962413358,-19372.120000000003,1.4000000000000001,-19373.520000000004,0.0,-19372.120000000003,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-23,2026-02-24,LONG_PUT,PUT,208.56,STOCK_PROXY,16.6848,210.64,1,-19396.920000000002,-11.62550345224396,-19395.52,1.4000000000000001,-19396.920000000002,0.0,-19395.52,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-24,2026-02-25,LONG_PUT,PUT,210.64,STOCK_PROXY,16.8512,207.92,1,-19108.28,-11.339417964299278,-19106.879999999997,1.4000000000000001,-19108.28,0.0,-19106.879999999997,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-25,2026-02-26,LONG_PUT,PUT,207.92,STOCK_PROXY,16.633599999999998,210.0,1,-19338.04,-11.625889765294346,-19336.64,1.4000000000000001,-19338.04,0.0,-19336.64,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-17,2026-03-18,LONG_PUT,PUT,249.94,STOCK_PROXY,19.9952,248.96,1,-22897.88,-11.451688405217253,-22896.48,1.4000000000000001,-22897.88,0.0,-22896.48,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-18,2026-03-19,LONG_PUT,PUT,248.96,STOCK_PROXY,19.916800000000002,247.99,1,-22808.72,-11.45200032133676,-22807.32,1.4000000000000001,-22808.72,0.0,-22807.32,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-19,2026-03-22,LONG_PUT,PUT,247.99,STOCK_PROXY,19.8392,251.49,1,-23166.480000000003,-11.677124077583775,-23165.08,1.4000000000000001,-23166.480000000003,0.0,-23165.08,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-23,2026-03-24,LONG_PUT,PUT,207.24,STOCK_PROXY,16.5792,211.71,1,-19514.480000000003,-11.770459370777843,-19513.08,1.4000000000000001,-19514.480000000003,0.0,-19513.08,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-24,2026-03-25,LONG_PUT,PUT,211.71,STOCK_PROXY,16.9368,207.54,1,-19061.72,-11.254617164989845,-19060.32,1.4000000000000001,-19061.72,0.0,-19060.32,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-25,2026-03-26,LONG_PUT,PUT,207.54,STOCK_PROXY,16.6032,199.34,1,-18275.08,-11.006962513250457,-18273.68,1.4000000000000001,-18275.08,0.0,-18273.68,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-26,2026-03-29,LONG_PUT,PUT,248.8,STOCK_PROXY,19.904,246.63,1,-22674.0,-11.391680064308682,-22672.6,1.4000000000000001,-22674.0,0.0,-22672.6,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-26,2026-03-29,LONG_PUT,PUT,199.34,STOCK_PROXY,15.9472,200.95,1,-18501.68,-11.601836058994682,-18500.28,1.4000000000000001,-18501.68,0.0,-18500.28,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-29,2026-03-30,LONG_PUT,PUT,246.63,STOCK_PROXY,19.7304,253.79,1,-23407.36,-11.86360134614605,-23405.96,1.4000000000000001,-23407.36,0.0,-23405.96,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-29,2026-03-30,LONG_PUT,PUT,200.95,STOCK_PROXY,16.076,208.27,1,-19220.800000000003,-11.95620801194327,-19219.4,1.4000000000000001,-19220.800000000003,0.0,-19219.4,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-04-12,2026-04-13,LONG_CALL,CALL,239.89,STOCK_PROXY,19.1912,249.02,1,22981.48,11.975009379298847,22982.88,1.4000000000000001,22981.48,22982.88,0.0,1,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-14,2026-04-15,LONG_CALL,CALL,248.5,STOCK_PROXY,19.88,249.7,1,22980.6,11.559657947686116,22982.0,1.4000000000000001,22980.6,22982.0,0.0,1,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-15,2026-04-16,LONG_CALL,CALL,249.7,STOCK_PROXY,19.976,250.56,1,23057.0,11.542350820985183,23058.4,1.4000000000000001,23057.0,23058.4,0.0,1,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-19,2026-04-20,LONG_CALL,CALL,248.28,STOCK_PROXY,19.8624,249.91,1,23003.359999999997,11.58135975511519,23004.76,1.4000000000000001,23003.359999999997,23004.76,0.0,1,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-20,2026-04-21,LONG_CALL,CALL,249.91,STOCK_PROXY,19.9928,255.36,1,23535.32,11.771897883237965,23536.72,1.4000000000000001,23535.32,23536.72,0.0,1,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
