symbol,entry_date,exit_date,strategy,signal,pricing_source,option_symbol,strike,expiry,entry_price,exit_price,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,entry_volatility,entry_dte,option_volume,option_open_interest,option_spread_pct,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-22,LONG_PUT,PUT,black_scholes_proxy,,300.0,2026-02-20,5.05,51.00808876973852,-0.45,0.044,-0.068,0.33,-0.1,0.33,30,0,0,0.0,1,-4597.208876973852,-9.103383914799707,-4595.808876973852,1.4000000000000001,-4597.208876973852,0.0,-4595.808876973852,1,STOP_LOSS,65.0,65.0,0.0,900.0,100.0
MSFT,2026-01-21,2026-01-22,LONG_PUT,PUT,black_scholes_proxy,,450.0,2026-02-20,6.0,1.188224672096016e-10,-0.44,0.031,-0.079,0.46,-0.16,0.3,30,0,0,0.0,1,598.5999999881178,0.997666666646863,599.9999999881178,1.4000000000000001,598.5999999881178,599.9999999881178,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,850.0,100.0
AMZN,2026-01-21,2026-01-22,LONG_CALL,CALL,black_scholes_proxy,,235.0,2026-02-20,3.15,4.907640171314,0.55,0.06,-0.06,0.27,0.1,0.36,30,0,0,0.0,3,523.0920513942001,0.553536562321905,527.2920513942001,4.2,523.0920513942001,527.2920513942001,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,1500.0,100.0
AAPL,2026-01-22,2026-01-25,LONG_PUT,PUT,black_scholes_proxy,,248.04,BS_ENTRY_PROXY_EXIT,0.2597391628004857,2.0116807347555097e-09,-0.2860414804379774,0.2344059015136663,-0.00041996170101590076,0.24184130258167605,-0.05852832983887923,0.02040281521413596,30,0,0,0.0,38,933.808810997459,0.946099764622578,987.008810997459,53.2,933.808810997459,987.008810997459,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-01-25,LONG_CALL,CALL,black_scholes_proxy,,239.16,BS_ENTRY_PROXY_EXIT,1.154798958042477,0.6895092201642399,0.6757082782225426,0.20675847235437075,-0.02800663129806169,0.2465547297161848,0.1318747338588993,0.025365565192459315,30,0,0,0.0,8,-383.4317903025896,-0.4150417131400004,-372.2317903025896,11.200000000000001,-383.4317903025896,0.0,-372.2317903025896,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-01-26,LONG_PUT,PUT,black_scholes_proxy,,255.41,BS_ENTRY_PROXY_EXIT,0.2747496481309639,0.003456705783108527,-0.2887321586657158,0.22542398602610786,-0.0005157311188540969,0.25013248415158623,-0.06083821667912994,0.02069501697550716,30,0,0,0.0,36,926.2545924522796,0.936463227880869,976.6545924522795,50.400000000000006,926.2545924522796,976.6545924522795,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-01-26,LONG_CALL,CALL,black_scholes_proxy,,238.42,BS_ENTRY_PROXY_EXIT,1.1231792328480594,7.016519152588359,0.6833083196103409,0.21507824573559972,-0.027554129944772965,0.24336931998170783,0.13297906054409542,0.024218965331288117,30,0,0,0.0,8,4703.4719357922395,5.234551839809203,4714.671935792239,11.200000000000001,4703.4719357922395,4714.671935792239,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-01-27,LONG_PUT,PUT,black_scholes_proxy,,258.27,BS_ENTRY_PROXY_EXIT,0.27979560809539805,1.2359665904770623,-0.2894378555631888,0.22234772371532122,-0.0005441804312108273,0.2532239429015538,-0.06167088539539739,0.02077283463042551,30,0,0,0.0,35,-3395.5984383358245,-3.467427487463915,-3346.5984383358245,49.00000000000001,-3395.5984383358245,0.0,-3346.5984383358245,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-01-28,LONG_PUT,PUT,black_scholes_proxy,,256.44,BS_ENTRY_PROXY_EXIT,0.2848811522490422,0.025260449709522348,-0.29194496118537616,0.22184350336098416,-0.0006223150774387016,0.2524459776353961,-0.061768148218049525,0.02105337923657998,30,0,0,0.0,35,859.6724588883195,0.8621865665749591,908.6724588883195,49.00000000000001,859.6724588883195,908.6724588883195,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-01-29,LONG_PUT,PUT,black_scholes_proxy,,433.5,BS_ENTRY_PROXY_EXIT,1.014718367527962,2.677240588094378,-0.3619143093159519,0.09168272771931613,-0.008231692992770682,0.4658023778818556,-0.12978457927889844,0.0328933102652826,30,0,0,0.0,9,-1508.8699985097742,-1.6522044679754126,-1496.2699985097743,12.600000000000001,-1508.8699985097742,0.0,-1496.2699985097743,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-29,2026-02-01,LONG_PUT,PUT,black_scholes_proxy,,430.29,BS_ENTRY_PROXY_EXIT,1.0611059973756483,5.719155204322533,-0.3663244692421115,0.0895761594975904,-0.008960664635686299,0.4642435620946205,-0.1304275576993675,0.03405669930246382,30,0,0,0.0,9,-4204.844286252197,-4.402999529266544,-4192.244286252197,12.600000000000001,-4204.844286252197,0.0,-4192.244286252197,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-01,2026-02-02,LONG_PUT,PUT,black_scholes_proxy,,423.37,BS_ENTRY_PROXY_EXIT,1.0940341405253662,10.822287434927375,-0.3702111174386087,0.08851698377265893,-0.009555481567746464,0.45836469076804065,-0.12972354651822665,0.03514924466609756,30,0,0,0.0,9,-8768.027964961808,-8.904889649717587,-8755.427964961807,12.600000000000001,-8768.027964961808,0.0,-8755.427964961807,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-01,2026-02-02,LONG_CALL,CALL,black_scholes_proxy,,242.96,BS_ENTRY_PROXY_EXIT,1.1487883726695998,0.009053914715151379,0.6821403665929073,0.20991413405909298,-0.02813327862702886,0.2483902616737284,0.13527454939293956,0.024389052871724916,30,0,0,0.0,8,-922.9875663635587,-1.0043054799321782,-911.7875663635587,11.200000000000001,-922.9875663635587,0.0,-911.7875663635587,1,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
MSFT,2026-02-02,2026-02-03,LONG_PUT,PUT,black_scholes_proxy,,411.21,BS_ENTRY_PROXY_EXIT,1.1367487387358892,0.354694821964614,-0.3756944966718375,0.08743107631730933,-0.0103869743019503,0.44729432672296626,-0.12791184880698264,0.03681051044478493,30,0,0,0.0,8,614.4431334170201,0.6756584727996992,625.6431334170202,11.200000000000001,614.4431334170201,625.6431334170202,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-02,2026-02-03,LONG_CALL,CALL,black_scholes_proxy,,238.62,BS_ENTRY_PROXY_EXIT,1.164806481135713,0.0011506790718709414,0.6725131332055447,0.20394262778513392,-0.028110827741931466,0.24698447470390777,0.13093995399811345,0.025877336350683094,30,0,0,0.0,8,-942.1246416510737,-1.0110312924388958,-930.9246416510737,11.200000000000001,-942.1246416510737,0.0,-930.9246416510737,1,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
MSFT,2026-02-03,2026-02-04,LONG_PUT,PUT,black_scholes_proxy,,414.19,BS_ENTRY_PROXY_EXIT,1.1102486221902836,19.205760733078193,-0.37320758951364263,0.08847505311857833,-0.009942592777293428,0.4495905850639973,-0.12796364393658569,0.03603867100330078,30,0,0,0.0,9,-16298.560899799118,-16.311222323484362,-16285.960899799118,12.600000000000001,-16298.560899799118,0.0,-16285.960899799118,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-04,2026-02-05,LONG_PUT,PUT,black_scholes_proxy,,393.67,BS_ENTRY_PROXY_EXIT,1.2413501304147019,0.04600460291657171,-0.3859661192612195,0.08395734712017884,-0.012261175137476446,0.43173135388196576,-0.1259051772328594,0.04037028838512316,30,0,0,0.0,8,945.0764219985041,0.9516618225218006,956.2764219985041,11.200000000000001,945.0764219985041,956.2764219985041,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-05,2026-02-08,LONG_PUT,PUT,black_scholes_proxy,,401.14,BS_ENTRY_PROXY_EXIT,1.2487590882211066,0.0017858426522346926,-0.3849892953634628,0.08308830765343926,-0.01224754105111241,0.43959653452126046,-0.1279589301619073,0.040003133925455334,30,0,0,0.0,8,986.3785964550975,0.9873587765637629,997.5785964550976,11.200000000000001,986.3785964550975,997.5785964550976,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-08,2026-02-09,LONG_PUT,PUT,black_scholes_proxy,,413.6,BS_ENTRY_PROXY_EXIT,1.2598697238609589,1.3791212812867286,-0.3833241031420015,0.08173020348100304,-0.012206701438677688,0.4526693964298654,-0.1313447003699119,0.039392097264437695,30,0,0,0.0,7,-93.27609019803883,-0.10576613986516879,-83.47609019803883,9.8,-93.27609019803883,0.0,-83.47609019803883,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-02-09,2026-02-10,LONG_CALL,CALL,black_scholes_proxy,,273.68,BS_ENTRY_PROXY_EXIT,1.2520873439383138,2.73782436829768,0.6930512645498087,0.19568189186365037,-0.03115830291899209,0.2756100343011694,0.1548675474559342,0.022878622583204552,30,0,0,0.0,7,1030.2159170515565,1.1754268034769577,1040.0159170515565,9.8,1030.2159170515565,1040.0159170515565,0.0,1,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
MSFT,2026-02-09,2026-02-10,LONG_PUT,PUT,black_scholes_proxy,,413.27,BS_ENTRY_PROXY_EXIT,1.2223262255814689,7.667979293796236,-0.38104150366788014,0.08335985277296833,-0.01164270214132742,0.4514975581463582,-0.13043453296964896,0.03858356176695279,30,0,0,0.0,8,-5167.722454571814,-5.284720995936961,-5156.522454571814,11.200000000000001,-5167.722454571814,0.0,-5156.522454571814,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-02-10,2026-02-11,LONG_CALL,CALL,black_scholes_proxy,,275.5,BS_ENTRY_PROXY_EXIT,1.278944976107283,5.554635848257604e-14,0.6880901646043596,0.19022128245980457,-0.03159794212840774,0.27939218913591984,0.15475881811429626,0.02354417941405235,30,0,0,0.0,7,-905.0614832750592,-1.0109465225334058,-895.2614832750593,9.8,-905.0614832750592,0.0,-895.2614832750593,1,STOP_LOSS,70.0,70.0,0.0,0.0,100.0
MSFT,2026-02-10,2026-02-11,LONG_PUT,PUT,black_scholes_proxy,,404.37,BS_ENTRY_PROXY_EXIT,1.2861579176603755,2.528688822031228,-0.386620070428939,0.0812738208842003,-0.01276349200648936,0.44368495844262035,-0.12955373901124143,0.04061980011234409,30,0,0,0.0,7,-879.5716330595966,-0.9769647156988178,-869.7716330595966,9.8,-879.5716330595966,0.0,-869.7716330595966,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-11,2026-02-12,LONG_PUT,PUT,black_scholes_proxy,,401.84,BS_ENTRY_PROXY_EXIT,1.1925323421564826,1.3921285286621696,-0.38130417877583966,0.08554619568216325,-0.011381454929435555,0.4391017913300753,-0.1269170988011835,0.038674952361992,30,0,0,0.0,8,-170.8769492045496,-0.17911144122048403,-159.6769492045496,11.200000000000001,-170.8769492045496,0.0,-159.6769492045496,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-12,2026-02-16,LONG_PUT,PUT,black_scholes_proxy,,401.32,BS_ENTRY_PROXY_EXIT,1.1560662871198701,3.745505884452882,-0.37897160925516193,0.08729627483664322,-0.010838860511248398,0.4377147139941996,-0.12595475549046695,0.03787786020418336,30,0,0,0.0,8,-2082.7516778664094,-2.251981245659373,-2071.5516778664096,11.200000000000001,-2082.7516778664094,0.0,-2071.5516778664096,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-12,2026-02-16,LONG_PUT,PUT,black_scholes_proxy,,198.79,BS_ENTRY_PROXY_EXIT,0.6677161138051275,0.11823282625242015,-0.3906863485036274,0.15945285297492742,-0.006817951709104082,0.21877284242092457,-0.06438267561603388,0.04224192076347619,30,0,0,0.0,14,749.6766025737903,0.8019625054443239,769.2766025737903,19.6,749.6766025737903,769.2766025737903,0.0,4,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-16,2026-02-17,LONG_PUT,PUT,black_scholes_proxy,,396.86,BS_ENTRY_PROXY_EXIT,1.116517703300218,0.37684223667397987,-0.3770984222253023,0.08960264018646086,-0.010316332042712557,0.43218818613405313,-0.12392202538161672,0.037260530881707124,30,0,0,0.0,8,580.5403733009905,0.6499453295557042,591.7403733009905,11.200000000000001,580.5403733009905,591.7403733009905,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-16,2026-02-17,LONG_PUT,PUT,black_scholes_proxy,,201.15,BS_ENTRY_PROXY_EXIT,0.6563245398586446,0.03284577736316496,-0.3885360090111436,0.1606562113641967,-0.006602217117538659,0.2210224466952723,-0.06477562418009604,0.04136855935513655,30,0,0,0.0,15,914.2181437432193,0.9286240655068994,935.2181437432193,21.000000000000004,914.2181437432193,935.2181437432193,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-17,2026-02-18,LONG_PUT,PUT,black_scholes_proxy,,399.6,BS_ENTRY_PROXY_EXIT,1.1169990320942418,1.5986317354759194,-0.37658404013028757,0.08934877045853575,-0.010278962835979743,0.4349871886058272,-0.12460272449437573,0.037094415844415855,30,0,0,0.0,8,-396.5061627053421,-0.4437181135711681,-385.3061627053421,11.200000000000001,-396.5061627053421,0.0,-385.3061627053421,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-17,2026-02-18,LONG_PUT,PUT,black_scholes_proxy,,204.79,BS_ENTRY_PROXY_EXIT,0.6474747262821268,0.6141904268517067,-0.3861671228693053,0.16111187505804017,-0.006404544273487804,0.22462396801589452,-0.06553203272768805,0.0404466596443744,30,0,0,0.0,15,28.926449145630155,0.029783864369738004,49.92644914563016,21.000000000000004,28.926449145630155,49.92644914563016,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-18,2026-02-19,LONG_PUT,PUT,black_scholes_proxy,,398.46,BS_ENTRY_PROXY_EXIT,0.7139686201178677,1.2213684611288897,-0.33812998961345664,0.11543880240967304,-0.004458168082975893,0.4176820302793184,-0.11132485831355819,0.027726568718136262,30,0,0,0.0,14,-729.959777415431,-0.7302839737199448,-710.3597774154309,19.6,-729.959777415431,0.0,-710.3597774154309,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-18,2026-02-19,LONG_PUT,PUT,black_scholes_proxy,,204.86,BS_ENTRY_PROXY_EXIT,0.6204806625439261,0.0036243886679734327,-0.3828849205906333,0.1656167239193104,-0.005992238847761699,0.2241347475582444,-0.06497941273540361,0.039233971632194824,30,0,0,0.0,16,964.5700382015243,0.9715955875309399,986.9700382015243,22.400000000000002,964.5700382015243,986.9700382015243,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-19,2026-02-22,LONG_PUT,PUT,black_scholes_proxy,,397.23,BS_ENTRY_PROXY_EXIT,0.6542463138949302,11.499598008382804,-0.33027199153165987,0.1207744296274483,-0.0036615461114694195,0.41255944115560717,-0.10836837493973933,0.026338986769090234,30,0,0,0.0,15,-16289.027541731812,-16.598261944861108,-16268.027541731812,21.000000000000004,-16289.027541731812,0.0,-16268.027541731812,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-22,2026-02-23,LONG_PUT,PUT,black_scholes_proxy,,384.47,BS_ENTRY_PROXY_EXIT,0.7105030191276,0.03680469048960866,-0.3409699797709024,0.11775113169361542,-0.0046000627724909725,0.40431214599529836,-0.10833142285614779,0.02826170721104006,30,0,0,0.0,14,923.5776600931879,0.9284947577675463,943.1776600931879,19.6,923.5776600931879,943.1776600931879,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-23,2026-02-24,LONG_PUT,PUT,black_scholes_proxy,,389.0,BS_ENTRY_PROXY_EXIT,0.6519695869770885,4.439469748302501e-06,-0.3319116593947684,0.1222788122865113,-0.0037377761250844068,0.40481075685990264,-0.10665666171907562,0.02661786632390746,30,0,0,0.0,15,956.9477212610104,0.9785197963992753,977.9477212610104,21.000000000000004,956.9477212610104,977.9477212610104,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-23,2026-02-24,LONG_PUT,PUT,black_scholes_proxy,,208.56,BS_ENTRY_PROXY_EXIT,0.5962916384843737,0.1163432410089591,-0.3783778607941517,0.16877964377823312,-0.005564972341868006,0.22736410151554345,-0.06535132461839395,0.03768004411200614,30,0,0,0.0,16,745.5174359606634,0.7814102486154938,767.9174359606634,22.400000000000002,745.5174359606634,767.9174359606634,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
