symbol,sector,signal,strategy,ai_score,technical_score,greeks_score,regime_score,volatility_score,risk_score,ranking_reason,adjusted_score,final_score,portfolio_penalty,portfolio_notes,score,call_score,put_score,market_regime,close,strike,expiry,option_price,delta,gamma,theta,vega,rho,volatility,dte
CRWD,Unknown,CALL,LONG_CALL,80.53952310915835,80.0,78.15809243663341,100.0,40.0,100.0,Technical=80.0 | Greeks=78.2 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=205.00; spot=203.76; target |delta|=0.45; estimated delta=0.4277; moneyness=0.61%.,80.58514619461083,80.58514619461083,0.0,,80.0,80.0,0.0,BULL_TREND,203.76,205.0,30DTE_PROXY,0.9308267142459243,0.42766543616262864,0.13138934221851215,-0.02897635992293795,0.22920549134664964,0.07085776648623393,0.051120915847269154,30
AAPL,Technology,CALL,LONG_CALL,77.77138235402428,80.0,67.08552941609713,100.0,40.0,100.0,Technical=80.0 | Greeks=67.1 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=335.00; spot=333.26; target |delta|=0.45; estimated delta=0.3953; moneyness=0.52%.,76.3111987642336,76.3111987642336,0.0,,80.0,80.0,0.0,BULL_TREND,333.26,335.0,30DTE_PROXY,0.6637296151718317,0.39533687622834773,0.16192332883341948,-0.029632862106351954,0.3679663358088372,0.10774211322467452,0.024894527880387728,30
JPM,Unknown,CALL,LONG_CALL,77.18706091213241,80.0,64.74824364852967,100.0,40.0,100.0,Technical=80.0 | Greeks=64.7 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=345.00; spot=343.15; target |delta|=0.45; estimated delta=0.3748; moneyness=0.54%.,75.4944551279911,75.4944551279911,0.0,,80.0,80.0,0.0,BULL_TREND,343.15,345.0,30DTE_PROXY,0.5749440447931136,0.3748042480779293,0.17050695562926751,-0.02808210910311251,0.3729834628271608,0.1052376441231356,0.022602219058498053,30
AXP,Unknown,CALL,LONG_CALL,74.16616393495957,80.0,52.664655739838295,100.0,40.0,100.0,Technical=80.0 | Greeks=52.7 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=365.00; spot=361.57; target |delta|=0.45; estimated delta=0.1743; moneyness=0.95%.,71.77416661499464,71.77416661499464,0.0,,80.0,80.0,0.0,BULL_TREND,361.57,365.0,30DTE_PROXY,0.22110720679796714,0.17429933527626412,0.10868768882264712,-0.017019900455935936,0.266527225015411,0.05161668776633495,0.022821703305930797,30
PANW,Unknown,CALL,LONG_CALL,73.15828831760898,80.0,48.63315327043591,100.0,40.0,100.0,Technical=80.0 | Greeks=48.6 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=360.00; spot=353.99; target |delta|=0.45; estimated delta=0.1488; moneyness=1.70%.,70.1720766693924,70.1720766693924,0.0,,80.0,80.0,0.0,BULL_TREND,353.99,360.0,30DTE_PROXY,0.3500826331009179,0.14882682616892184,0.05068230431742159,-0.023425768553883463,0.2353860159341292,0.04301352785953621,0.04509349827535008,30
HD,Unknown,CALL,LONG_CALL,72.92011156530569,70.0,63.68044626122276,100.0,40.0,100.0,Technical=70.0 | Greeks=63.7 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=350.00; spot=348.02; target |delta|=0.45; estimated delta=0.3720; moneyness=0.57%.,69.56232004246502,69.56232004246502,0.0,,70.0,70.0,0.0,BULL_TREND,348.02,350.0,30DTE_PROXY,0.6431736544361399,0.3720263091399339,0.150392016605784,-0.029972691632442264,0.3773821053296038,0.10588719653625506,0.02520691660315122,30
UNH,Unknown,CALL,LONG_CALL,72.53797512531463,80.0,46.15190050125856,100.0,40.0,100.0,Technical=80.0 | Greeks=46.2 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=430.00; spot=423.38; target |delta|=0.45; estimated delta=0.0718; moneyness=1.56%.,66.21786556552416,66.21786556552416,0.0,,80.0,80.0,0.0,BULL_TREND,423.38,430.0,30DTE_PROXY,0.11216657399258523,0.07176963103264489,0.03878275752669978,-0.011367987628505523,0.16612930290229733,0.024882460119952276,0.02907491744757292,30
BAC,Unknown,CALL,LONG_CALL,72.12132904088404,80.0,44.485316163536105,100.0,40.0,100.0,Technical=80.0 | Greeks=44.5 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=62.00; spot=61.49; target |delta|=0.45; estimated delta=0.1966; moneyness=0.83%.,68.53155627216822,68.53155627216822,0.0,,80.0,80.0,0.0,BULL_TREND,61.49,62.0,30DTE_PROXY,0.03885981188018128,0.19657775156251633,0.7764448057308354,-0.002968143543364081,0.04884201880013249,0.009903046135642971,0.02024163741496142,30
WFC,Unknown,CALL,LONG_CALL,70.9371278866949,80.0,39.748511546779554,100.0,40.0,100.0,Technical=80.0 | Greeks=39.7 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=89.00; spot=88.07; target |delta|=0.45; estimated delta=0.1456; moneyness=1.06%.,66.68634288929971,66.68634288929971,0.0,,80.0,80.0,0.0,BULL_TREND,88.07,89.0,30DTE_PROXY,0.04480447313513736,0.145595114105803,0.3807839138570464,-0.0036866293644236513,0.05770670871699834,0.010502266213284601,0.023771869026856154,30
VRTX,Unknown,CALL,LONG_CALL,68.20198158905251,70.0,44.80792635621004,100.0,40.0,100.0,Technical=70.0 | Greeks=44.8 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=490.00; spot=486.03; target |delta|=0.45; estimated delta=0.2830; moneyness=0.82%.,62.378087259314164,62.378087259314164,0.0,,70.0,70.0,0.0,BULL_TREND,486.03,490.0,30DTE_PROXY,0.7141467184159751,0.28304591491596875,0.083018905299936,-0.037985370859000424,0.4715070750474846,0.11248328162317175,0.029252074285751682,30
AMGN,Unknown,CALL,LONG_CALL,68.06633375922587,65.0,52.265335036903494,100.0,40.0,100.0,Technical=65.0 | Greeks=52.3 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=375.00; spot=371.58; target |delta|=0.45; estimated delta=0.1866; moneyness=0.92%.,63.28821682392396,63.28821682392396,0.0,,65.0,65.0,0.0,BULL_TREND,371.58,375.0,30DTE_PROXY,0.2487916702940538,0.18659624523936102,0.10988794346501406,-0.018493596464062675,0.2858757779748069,0.056783540659518655,0.022924203904584196,30
