symbol,sector,signal,strategy,ai_score,technical_score,greeks_score,regime_score,volatility_score,risk_score,ranking_reason,adjusted_score,final_score,portfolio_penalty,portfolio_notes,score,call_score,put_score,market_regime,close,strike,expiry,spread_pct,option_volume,open_interest,quote_timestamp,option_data_source,price_source,last_price,ask,bid,contract_ticker,option_price,delta,gamma,theta,vega,rho,volatility,dte
BNY,Unknown,CALL,LONG_CALL,88.07384882135017,80.0,84.2953952854007,100.0,100.0,100.0,Technical=80.0 | Greeks=84.3 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=160.00; spot=160.11; target |delta|=0.45; estimated delta=0.2098; moneyness=1.49%. | expiration_mode=automatic; selected_dte=56.,82.12044184018674,82.12044184018674,0.0,,80.0,80.0,0.0,BULL_TREND,160.11000061035156,160.0,2026-09-18,inf,40,2658,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,6.6,0.0,0.0,O:BNY260918C00160000,6.6,0.5402878495986441,0.0247877957441932,-0.06462770259803144,0.2490566038681375,0.0,0.25870767094984665,56
EIX,Unknown,CALL,LONG_CALL,87.89025802741148,80.0,83.56103210964588,100.0,100.0,100.0,Technical=80.0 | Greeks=83.6 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=80.00; spot=79.64; target |delta|=0.45; estimated delta=0.1440; moneyness=1.71%. | expiration_mode=automatic; selected_dte=56.,82.1904202817169,82.1904202817169,0.0,,80.0,80.0,0.0,BULL_TREND,79.63999938964844,80.0,2026-09-18,inf,35,380,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.25,0.0,0.0,O:EIX260918C00080000,4.25,0.558103268342472,0.04717031466474481,-0.027450890385381534,0.12532133513179772,0.0,0.2655458460292406,56
DUK,Unknown,CALL,LONG_CALL,86.9600820950982,80.0,79.84032838039282,100.0,100.0,100.0,Technical=80.0 | Greeks=79.8 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=130.00; spot=129.26; target |delta|=0.45; estimated delta=0.5753; moneyness=0.57%. | expiration_mode=automatic; selected_dte=56.,81.03992405035387,81.03992405035387,0.0,,80.0,80.0,0.0,BULL_TREND,129.25999450683594,130.0,2026-09-18,inf,18,2900,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,3.15,0.0,0.0,O:DUK260918C00130000,3.15,0.4662473315772176,0.043314028608710566,-0.03149706439171655,0.20132457421456085,0.0,0.18191084279340256,56
O,Unknown,CALL,LONG_CALL,86.60296716604847,80.0,78.41186866419392,100.0,100.0,100.0,Technical=80.0 | Greeks=78.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=65.00; spot=64.72; target |delta|=0.45; estimated delta=0.0415; moneyness=1.98%. | expiration_mode=automatic; selected_dte=56.,80.52951836409778,80.52951836409778,0.0,,80.0,80.0,0.0,BULL_TREND,64.72000122070312,65.0,2026-09-18,inf,60,3769,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.54,0.0,0.0,O:O260918C00065000,1.54,0.48731478055613914,0.08934466156221567,-0.014865519879909282,0.10078263766143788,0.0,0.17949443549649383,56
SO,Unknown,CALL,LONG_CALL,86.28499702037395,80.0,77.1399880814958,100.0,100.0,100.0,Technical=80.0 | Greeks=77.1 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=97.50; spot=96.60; target |delta|=0.45; estimated delta=0.1748; moneyness=1.45%. | expiration_mode=automatic; selected_dte=56.,80.03885708557448,80.03885708557448,0.0,,80.0,80.0,0.0,BULL_TREND,96.5999984741211,97.5,2026-09-18,inf,36,933,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,2.43,0.0,0.0,O:SO260918C00097500,2.43,0.46312286947514375,0.05468223085510203,-0.025152379964811684,0.15097267676833007,0.0,0.19176902781544208,56
UPS,Unknown,CALL,LONG_CALL,86.21217106203046,80.0,76.84868424812186,100.0,100.0,100.0,Technical=80.0 | Greeks=76.8 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=115.00; spot=114.10; target |delta|=0.45; estimated delta=0.4751; moneyness=0.79%. | expiration_mode=automatic; selected_dte=56.,79.5302415755805,79.5302415755805,0.0,,80.0,80.0,0.0,BULL_TREND,114.0999984741211,115.0,2026-09-18,inf,55,4812,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,5.4,0.0,0.0,O:UPS260918C00115000,5.4,0.4921783917801746,0.0270425620798863,-0.04983401647673581,0.17755025173490377,0.0,0.33346740444240996,56
STT,Unknown,CALL,LONG_CALL,85.46560347563603,80.0,73.86241390254412,100.0,100.0,100.0,Technical=80.0 | Greeks=73.9 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=180.00; spot=184.21; target |delta|=0.45; estimated delta=0.1652; moneyness=1.79%. | expiration_mode=automatic; selected_dte=56.,78.02156083152053,78.02156083152053,0.0,,80.0,80.0,0.0,BULL_TREND,184.2100067138672,180.0,2026-09-18,inf,13,178,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,10.45,0.0,0.0,O:STT260918C00180000,10.45,0.6030776351992979,0.01721921585660858,-0.07887929054936063,0.2822468235190498,0.0,0.3082149054084033,56
FE,Unknown,CALL,LONG_CALL,85.35038509472932,80.0,73.40154037891728,100.0,100.0,100.0,Technical=80.0 | Greeks=73.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=50.00; spot=49.49; target |delta|=0.45; estimated delta=0.3432; moneyness=1.03%. | expiration_mode=automatic; selected_dte=56.,78.71549095179013,78.71549095179013,0.0,,80.0,80.0,0.0,BULL_TREND,49.4900016784668,50.0,2026-09-18,inf,38,3568,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.26,0.0,0.0,O:FE260918C00050000,1.26,0.4538999219339491,0.10600417652558113,-0.012562559010703698,0.07719166585008455,0.0,0.1931902239666672,56
BAC,Unknown,CALL,LONG_CALL,84.97526004885452,80.0,71.90104019541809,100.0,100.0,100.0,Technical=80.0 | Greeks=71.9 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=62.50; spot=61.28; target |delta|=0.45; estimated delta=0.2930; moneyness=1.17%. | expiration_mode=automatic; selected_dte=56.,78.10027913513323,78.10027913513323,0.0,,80.0,80.0,0.0,BULL_TREND,61.279998779296875,62.5,2026-09-18,inf,678,8350,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.7,0.0,0.0,O:BAC260918C00062500,1.7,0.4421235145522903,0.07349531853947941,-0.019951937027254278,0.09701774185890194,0.0,0.2228122818499345,56
CVS,Unknown,CALL,LONG_CALL,84.63689632741159,80.0,70.5475853096464,100.0,100.0,100.0,Technical=80.0 | Greeks=70.5 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=110.00; spot=106.89; target |delta|=0.45; estimated delta=0.5584; moneyness=0.57%. | expiration_mode=automatic; selected_dte=56.,77.19118936665085,77.19118936665085,0.0,,80.0,80.0,0.0,BULL_TREND,106.88999938964844,110.0,2026-09-18,inf,72,2388,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.5,0.0,0.0,O:CVS260918C00110000,4.5,0.44898982012231675,0.026056087787583067,-0.05328956565961281,0.16868510425731523,0.0,0.36075670060859444,56
KMI,Unknown,CALL,LONG_CALL,84.27919990657557,80.0,69.11679962630225,100.0,100.0,100.0,Technical=80.0 | Greeks=69.1 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=33.00; spot=32.77; target |delta|=0.45; estimated delta=0.0203; moneyness=0.70%. | expiration_mode=automatic; selected_dte=14.,76.94819300972702,76.94819300972702,0.0,,80.0,80.0,0.0,BULL_TREND,32.77000045776367,33.0,2026-08-07,inf,30,267,2026-07-23,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,0.36,0.0,0.0,O:KMI260807C00033000,0.36,0.4571075443534572,0.318581188487396,-0.016298911902659922,0.02645941419515747,0.0,0.18828768580894176,14
