scanner_run_id,candidate_id,market_state_hash,scanner_version,publication_name,ingestion_run_id,publication_status,published_at,market_as_of_date,market_intelligence_snapshot_timestamp,option_snapshot_timestamp,option_snapshot_id,option_snapshot_completeness_pct,published_state_degraded,symbol,signal,strategy,sector,ai_score,base_ai_score,dealer_score_adjustment,dealer_context_status,dealer_snapshot_date,institutional_positioning_score,positioning_label,gamma_regime,gamma_flip,primary_call_wall,primary_put_wall,range_probability,breakout_probability,market_structure_confidence,confidence,underlying_price,strike,expiry,spread_pct,option_volume,open_interest,quote_timestamp,option_data_source,price_source,last_price,ask,bid,contract_ticker,dte,option_entry,target_price,stop_price,contracts,estimated_cost,max_risk,estimated_reward,reward_risk_ratio,delta,gamma,theta,vega,rho,volatility,market_regime,technical_score,greeks_score,regime_score,volatility_score,risk_score,portfolio_penalty,portfolio_notes,ranking_reason,trade_notes
scanner-20260726T065200601626Z-bc71e7f300,cand-26761dcb9dbf55e38454d12da3f4bb3b,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,O,CALL,LONG_CALL,Unknown,93.55147972943729,89.444554574024,4.106925155413286,FRESH,2026-07-25,40.41057897417062,NEUTRAL,NEGATIVE_GAMMA,,65.0,62.5,45.0,65.0,90.0,HIGH,65.5999984741211,65.0,2027-01-15,0.22556390977443608,10,2296,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,3.2,3.7,2.95,O:O270115C00065000,173,3.325,4.322500000000001,2.82625,6,1995.0000000000002,299.25000000000017,598.5000000000003,2.0,0.5252688349139255,0.04920196493845279,-0.0080536875919031,0.1749673876861009,0.0,0.18601919941092143,BULL_TREND,80.0,89.77821829609599,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=89.8 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=65.00; spot=65.60; target |delta|=0.45; estimated delta=0.4550; moneyness=2.13%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.11, confidence=90.00.",Live contract: O:O270115C00065000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-dfdf270db1465355aafed39bc1f15823,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,CVS,CALL,LONG_CALL,Unknown,93.37144738480802,88.3545585130239,5.016888871784122,FRESH,2026-07-25,43.145847075123555,NEUTRAL,NEGATIVE_GAMMA,,110.0,70.0,35.0,75.0,90.0,HIGH,107.73999786376953,110.0,2026-11-20,0.03797468354430389,22,782,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,7.92,8.05,7.75,O:CVS261120C00110000,117,7.9,10.270000000000001,6.715,2,1580.0,237.0000000000001,474.0000000000002,2.0,0.5008759932916019,0.018081441600048903,-0.03757536318862006,0.24198855365639854,0.0,0.36110403250053286,BULL_TREND,80.0,85.41823405209558,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=85.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=110.00; spot=107.74; target |delta|=0.45; estimated delta=0.2920; moneyness=2.10%. | expiration_mode=automatic; selected_dte=117. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.02, confidence=90.00.",Live contract: O:CVS261120C00110000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-dbd0358569c65c819a7978c8fa27c8b6,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,DUK,CALL,LONG_CALL,Unknown,93.26742477343967,88.37659561154618,4.890829161893496,FRESH,2026-07-25,41.05371104878881,NEUTRAL,NEGATIVE_GAMMA,,135.0,120.0,35.0,75.0,90.0,HIGH,130.52000427246094,130.0,2027-01-15,0.16438356164383564,18,1627,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,7.15,7.9,6.7,O:DUK270115C00130000,173,7.300000000000001,9.490000000000002,6.205,2,1460.0000000000002,219.0000000000001,438.0000000000002,2.0,0.5276308949363439,0.022101606048927736,-0.01977127171632589,0.3503807613064087,0.0,0.20351506894058663,BULL_TREND,80.0,85.5063824461847,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=85.5 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=130.00; spot=130.52; target |delta|=0.45; estimated delta=0.6502; moneyness=1.52%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.89, confidence=90.00.",Live contract: O:DUK270115C00130000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-2c8993a6bdeb59aab49364af2227e1f8,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,SO,CALL,LONG_CALL,Unknown,93.20412509075835,87.92009681061172,5.284028280146634,FRESH,2026-07-25,40.233961222129984,NEUTRAL,NEGATIVE_GAMMA,,100.0,95.0,35.0,75.0,90.0,HIGH,97.25,100.0,2027-01-15,0.09302325581395357,65,1349,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.0,4.5,4.1,O:SO270115C00100000,173,4.3,5.59,3.655,4,1720.0,258.0,516.0,2.0,0.44496047690454177,0.02865813377954027,-0.015042948276738796,0.264906707293971,0.0,0.20550338862269873,BULL_TREND,80.0,83.6803872424469,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=83.7 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=100.00; spot=97.25; target |delta|=0.45; estimated delta=0.5618; moneyness=1.80%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.28, confidence=90.00.",Live contract: O:SO270115C00100000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-8f1a27db77c35b2eb0e8175bec9ae29d,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,BMY,CALL,LONG_CALL,Unknown,91.55449178220044,86.83264473764177,4.721847044558671,FRESH,2026-07-25,40.56486415779565,NEUTRAL,NEGATIVE_GAMMA,,60.0,55.0,35.0,75.0,90.0,HIGH,62.09000015258789,65.0,2027-01-15,0.1521739130434783,48,10379,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.6,4.95,4.25,O:BMY270115C00065000,173,4.6,5.9799999999999995,3.9099999999999997,4,1839.9999999999998,276.0,552.0,2.0,0.45277566004496733,0.02599832697932285,-0.015971442139679867,0.16815855569248275,0.0,0.3587187514145561,BULL_TREND,80.0,79.33057895056706,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=79.3 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=65.00; spot=62.09; target |delta|=0.45; estimated delta=0.6221; moneyness=1.47%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.72, confidence=90.00.",Live contract: O:BMY270115C00065000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-1debdd1edfed56c187216bd7911364f9,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,SYY,CALL,LONG_CALL,Unknown,91.53190121725395,87.54356294926485,3.9883382679890897,FRESH,2026-07-25,40.828372582465356,NEUTRAL,NEGATIVE_GAMMA,,85.0,75.0,45.0,65.0,90.0,HIGH,83.11000061035156,85.0,2026-11-20,0.15789473684210517,111,249,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,3.9,4.1,3.5,O:SYY261120C00085000,117,3.8,4.9399999999999995,3.23,5,1900.0,284.99999999999994,569.9999999999999,2.0,0.47085849108582273,0.035618801642474884,-0.0189040206554317,0.1877476826316864,0.0,0.2356500695134227,BULL_TREND,80.0,82.1742517970594,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=82.2 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=85.00; spot=83.11; target |delta|=0.45; estimated delta=0.5862; moneyness=1.07%. | expiration_mode=automatic; selected_dte=117. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+3.99, confidence=90.00.",Live contract: O:SYY261120C00085000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-67e84993db51532da5a828083f6cb7db,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,UPS,CALL,LONG_CALL,Unknown,91.2853503239887,86.60655184647943,4.678798477509257,FRESH,2026-07-25,40.560243353415764,NEUTRAL,NEGATIVE_GAMMA,,120.0,100.0,35.0,75.0,90.0,HIGH,114.79000091552734,120.0,2026-11-20,0.09230769230769226,14,233,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,6.25,6.8,6.2,O:UPS261120C00120000,117,6.5,8.450000000000001,5.5249999999999995,3,1950.0,292.50000000000017,585.0000000000003,2.0,0.43226085210166837,0.017598213195736755,-0.03442145823772591,0.25777747162708803,0.0,0.3455110179969407,BULL_TREND,80.0,78.42620738591775,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=78.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=120.00; spot=114.79; target |delta|=0.45; estimated delta=0.2480; moneyness=2.36%. | expiration_mode=automatic; selected_dte=117. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.68, confidence=90.00.",Live contract: O:UPS261120C00120000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-18ee389fe4955c7aa4d797ed76d60bfc,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,SCHD,CALL,LONG_CALL,Unknown,90.23566066126297,87.82428219661571,2.4113784646472616,FRESH,2026-07-25,36.81914727665726,MODERATELY_BEARISH,NEGATIVE_GAMMA,,33.0,32.0,35.0,75.0,90.0,HIGH,33.290000915527344,33.33,2027-01-15,0.08333333333333341,62,4934,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.29,1.25,1.15,O:SCHD270115C00033330,173,1.2,1.56,1.02,16,1920.0,287.9999999999999,576.0000000000001,2.0000000000000013,0.5156415556849134,0.1330112698052255,-0.0036026595090970434,0.08964069548609237,0.0,0.13147514181852235,BULL_TREND,80.0,83.29712878646285,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=83.3 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=33.33; spot=33.29; target |delta|=0.45; estimated delta=0.4306; moneyness=2.13%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning MODERATELY_BEARISH (NEGATIVE_GAMMA), adjustment=+2.41, confidence=90.00.",Live contract: O:SCHD270115C00033330. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-457f8bf62b2f59a0aa344066162ab880,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,KMI,CALL,LONG_CALL,Unknown,90.01507721468428,85.91694180403694,4.0981354106473455,FRESH,2026-07-25,40.515889488591895,NEUTRAL,NEGATIVE_GAMMA,,35.0,28.0,35.0,75.0,90.0,HIGH,32.86000061035156,34.0,2027-01-15,0.13749999999999998,14,395,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.51,1.71,1.49,O:KMI270115C00034000,173,1.6,2.08,1.36,12,1920.0000000000002,288.0,576.0,2.0,0.45121833846995574,0.07842373498991843,-0.005336984094633862,0.08975367412760463,0.0,0.2220876454088847,BULL_TREND,80.0,75.66776721614774,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=75.7 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=34.00; spot=32.86; target |delta|=0.45; estimated delta=0.1753; moneyness=3.47%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.10, confidence=90.00.",Live contract: O:KMI270115C00034000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
scanner-20260726T065200601626Z-bc71e7f300,cand-9fe4da2a98db58bcb463a08b75b42350,47aeb04d50fd5c756468f88e44c3edb6e94c61bcbcfca861a4407f5025b4b44a,m47.phase6.v1,current_market_state,readiness-20260725T235216499119Z,DEGRADED,2026-07-25T23:52:16.732201+00:00,2026-07-23,2026-07-25T23:49:40.593600+00:00,2026-07-25T17:45:07.270627+00:00,polygon-20260725T174507270627Z-ed7dec67,99.50819672131146,True,PRU,CALL,LONG_CALL,Unknown,89.97051328077443,88.24742997186492,1.723083308909508,FRESH,2026-07-25,39.31100267680107,MODERATELY_BEARISH,NEGATIVE_GAMMA,,120.0,100.0,35.0,75.0,90.0,HIGH,119.95999908447266,120.0,2027-01-15,0.11764705882352934,15,792,2026-07-25,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,7.0,8.1,7.2,O:PRU270115C00120000,173,7.65,9.945,6.5025,2,1530.0,229.5,459.0,2.0,0.5078434705450778,0.01953563498643905,-0.02205532247342767,0.3207363065645383,0.0,0.25304631229868735,BULL_TREND,80.0,84.98971988745966,100.0,100.0,100.0,0.0,,"Technical=80.0 | Greeks=85.0 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=120.00; spot=119.96; target |delta|=0.45; estimated delta=0.4664; moneyness=2.12%. | expiration_mode=automatic; selected_dte=173. | Dealer positioning MODERATELY_BEARISH (NEGATIVE_GAMMA), adjustment=+1.72, confidence=90.00.",Live contract: O:PRU270115C00120000. | Entry source: POLYGON_PERSISTED_QUOTE; quote time: 2026-07-25. | High AI score candidate. | Bullish options candidate.
