symbol,row_count,trading_day_count,earliest_date,latest_date,has_history,meets_minimum_history,status,reasons
A,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AAPL,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ABBV,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ABNB,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ABT,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ACGL,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ACN,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ADBE,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ADI,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ADM,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ADP,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ADSK,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AEE,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AEP,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AES,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AFL,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AGG,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AIG,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AIZ,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AJG,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
AKAM,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
ALAB,62,62,2026-04-21,2026-07-20,True,False,DEGRADED,INSUFFICIENT_HISTORY:62<252
