symbol,evaluated_rows,invalid_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,non_finite_rows,extreme_return_rows,maximum_absolute_return,quality_score,status,warnings,rejection_reasons
A,252,0,0,0,0,0,0,0.16868102,100.0,READY,,
AAPL,252,0,0,0,0,0,0,0.06117781,100.0,READY,,
ABBV,252,0,0,0,0,0,0,0.06245087,100.0,READY,,
ABNB,252,0,0,0,0,0,0,0.08022989,100.0,READY,,
ABT,252,0,0,0,0,0,0,0.10709091,100.0,READY,,
ACGL,252,0,0,0,0,0,0,0.04843982,100.0,READY,,
ACN,252,0,0,0,0,0,0,0.17966792,100.0,READY,,
ADBE,252,0,0,0,0,0,0,0.07583954,100.0,READY,,
ADI,252,0,0,0,0,0,0,0.0857951,100.0,READY,,
ADM,252,0,0,0,0,0,0,0.06370589,100.0,READY,,
ADP,252,0,0,0,0,0,0,0.07978109,100.0,READY,,
ADSK,252,0,0,0,0,0,0,0.09085245,100.0,READY,,
AEE,252,0,0,0,0,0,0,0.03309177,100.0,READY,,
AEP,252,0,0,0,0,0,0,0.0608114,100.0,READY,,
AES,252,0,0,0,0,0,0,0.17766207,100.0,READY,,
AFL,252,0,0,0,0,0,0,0.03427011,100.0,READY,,
AGG,252,0,0,0,0,0,0,0.00834249,100.0,READY,,
AIG,252,0,0,0,0,0,0,0.07478073,100.0,READY,,
AIZ,252,0,0,0,0,0,0,0.11232321,100.0,READY,,
AJG,252,0,0,0,0,0,0,0.09847673,100.0,READY,,
AKAM,252,0,0,0,0,0,0,0.26583258,100.0,READY,,
ALAB,252,0,0,0,0,0,0,0.28663131,100.0,READY,,
ALB,252,0,0,0,0,0,0,0.16312434,100.0,READY,,
ALGN,252,0,0,0,0,0,0,0.36626227,100.0,READY,,
ALL,252,0,0,0,0,0,0,0.05705222,100.0,READY,,
ALLE,252,0,0,0,0,0,0,0.09376046,100.0,READY,,
ALNY,252,0,0,0,0,0,0,0.15432609,100.0,READY,,
AMAT,252,0,0,0,0,0,0,0.14067154,100.0,READY,,
AMCR,252,0,0,0,0,0,0,0.1187123,100.0,READY,,
AMD,252,0,0,0,0,0,0,0.23708028,100.0,READY,,
AME,252,0,0,0,0,0,0,0.07671429,100.0,READY,,
AMGN,252,0,0,0,0,0,0,0.0815441,100.0,READY,,
AMP,252,0,0,0,0,0,0,0.06208375,100.0,READY,,
AMT,252,0,0,0,0,0,0,0.06403642,100.0,READY,,
AMZN,252,0,0,0,0,0,0,0.09584493,100.0,READY,,
