symbol,quote_date,expiration_date,days_to_expiration,contract_count,call_count,put_count,distinct_strikes,minimum_strike,maximum_strike,median_strike_gap,maximum_strike_gap,strike_gap_completeness_score,call_put_balance_score,completeness_score
A,2026-07-20,2026-08-21,32,3,1,2,3,120.0,135.0,7.5,10.0,1.0,0.666667,0.713333
AAPL,2026-07-20,2026-07-27,7,21,9,12,17,300.0,350.0,2.5,5.0,1.0,0.857143,0.971429
AAPL,2026-07-20,2026-07-29,9,16,8,8,14,295.0,355.0,5.0,10.0,1.0,1.0,1.0
AAPL,2026-07-20,2026-07-31,11,43,23,20,31,260.0,385.0,2.5,10.0,0.625,0.930233,0.892297
AAPL,2026-07-20,2026-08-07,18,23,12,11,16,280.0,360.0,5.0,10.0,1.0,0.956522,0.991304
AAPL,2026-07-20,2026-08-14,25,19,9,10,16,285.0,370.0,5.0,15.0,0.833333,0.947368,0.947807
AAPL,2026-07-20,2026-08-21,32,48,25,23,36,110.0,420.0,5.0,65.0,0.192308,0.958333,0.789744
AAPL,2026-07-20,2026-08-28,39,15,9,6,12,300.0,400.0,5.0,35.0,0.357143,0.8,0.799286
AAPL,2026-07-20,2026-09-18,60,48,24,24,38,120.0,490.0,5.0,90.0,0.138889,1.0,0.784722
ABBV,2026-07-20,2026-07-31,11,2,0,2,2,195.0,250.0,55.0,55.0,1.0,0.0,0.47
ABBV,2026-07-20,2026-08-07,18,1,1,0,1,250.0,250.0,,,1.0,0.0,0.36
ABBV,2026-07-20,2026-08-21,32,3,2,1,3,230.0,280.0,25.0,40.0,1.0,0.666667,0.713333
ABBV,2026-07-20,2026-08-28,39,1,0,1,1,155.0,155.0,,,1.0,0.0,0.36
ABBV,2026-07-20,2026-09-18,60,1,0,1,1,160.0,160.0,,,1.0,0.0,0.36
ABNB,2026-07-20,2026-07-31,11,2,2,0,2,155.0,160.0,5.0,5.0,1.0,0.0,0.47
ABNB,2026-07-20,2026-08-07,18,1,1,0,1,147.0,147.0,,,1.0,0.0,0.36
ABNB,2026-07-20,2026-08-14,25,1,1,0,1,140.0,140.0,,,1.0,0.0,0.36
ABNB,2026-07-20,2026-08-21,32,10,7,3,9,100.0,180.0,10.0,25.0,1.0,0.6,0.92
ABNB,2026-07-20,2026-09-18,60,8,2,6,8,110.0,180.0,5.0,30.0,0.416667,0.5,0.754167
ABT,2026-07-20,2026-07-31,11,4,3,1,4,98.0,120.0,5.0,15.0,0.833333,0.5,0.748333
ABT,2026-07-20,2026-08-07,18,1,0,1,1,95.0,95.0,,,1.0,0.0,0.36
ABT,2026-07-20,2026-08-21,32,5,3,2,5,90.0,110.0,5.0,5.0,1.0,0.8,0.96
ABT,2026-07-20,2026-08-28,39,1,1,0,1,96.0,96.0,,,1.0,0.0,0.36
ABT,2026-07-20,2026-09-18,60,6,4,2,6,100.0,140.0,5.0,15.0,0.833333,0.666667,0.891667
ACGL,2026-07-20,2026-09-18,60,1,1,0,1,60.0,60.0,,,1.0,0.0,0.36
ACN,2026-07-20,2026-07-31,11,3,2,1,3,65.0,160.0,47.5,85.0,1.0,0.666667,0.713333
ACN,2026-07-20,2026-08-07,18,3,1,2,3,65.0,180.0,57.5,79.0,1.0,0.666667,0.713333
ACN,2026-07-20,2026-08-14,25,1,0,1,1,140.0,140.0,,,1.0,0.0,0.36
ACN,2026-07-20,2026-08-21,32,5,4,1,5,135.0,175.0,10.0,15.0,1.0,0.4,0.88
ACN,2026-07-20,2026-09-18,60,2,1,1,2,165.0,220.0,55.0,55.0,1.0,1.0,0.67
ADBE,2026-07-20,2026-07-31,11,9,6,3,9,130.0,340.0,20.0,85.0,0.588235,0.666667,0.830392
ADBE,2026-07-20,2026-08-07,18,6,2,4,6,130.0,255.0,5.0,105.0,0.119048,0.666667,0.713095
ADBE,2026-07-20,2026-08-14,25,5,0,5,5,145.0,250.0,12.5,75.0,0.416667,0.0,0.654167
ADBE,2026-07-20,2026-08-21,32,20,14,6,20,145.0,540.0,15.0,110.0,0.340909,0.6,0.755227
ADBE,2026-07-20,2026-08-28,39,2,0,2,2,200.0,280.0,80.0,80.0,1.0,0.0,0.47
ADBE,2026-07-20,2026-09-18,60,7,5,2,7,150.0,540.0,35.0,190.0,0.460526,0.571429,0.779417
ADI,2026-07-20,2026-08-14,25,1,1,0,1,485.0,485.0,,,1.0,0.0,0.36
