symbol,as_of_date,coverage_status,quality_status,readiness_status,coverage_score,quality_score,readiness_score,contract_count,expiration_count,distinct_strike_count,quote_data_observed,provider_capability_limited,coverage_reasons,quality_reasons,readiness_reasons,informational_notes
A,2026-07-20,FAILED,REVIEW,FAILED,0.484,1.0,0.742,3,1,3,False,True,contracts 3 < 10,sparse chain: contracts 3 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
AAPL,2026-07-20,READY,READY,READY,0.965903,1.0,0.982951,233,8,54,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ABBV,2026-07-20,FAILED,REVIEW,FAILED,0.6183,1.0,0.80915,8,5,7,False,True,contracts 8 < 10,sparse chain: contracts 8 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ABNB,2026-07-20,REVIEW,READY,REVIEW,0.844577,1.0,0.922289,22,5,14,False,True,strike surface 0.573 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ABT,2026-07-20,REVIEW,READY,REVIEW,0.810082,0.911765,0.860923,17,5,12,False,True,contracts 17 < 20 | strike surface 0.664 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ACGL,2026-07-20,FAILED,REVIEW,FAILED,0.248,1.0,0.624,1,1,1,False,True,contracts 1 < 10 | overall score 0.248 < 0.450,sparse chain: contracts 1 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ACN,2026-07-20,REVIEW,READY,REVIEW,0.788771,0.892857,0.840814,14,5,11,False,True,contracts 14 < 20 | strike surface 0.667 < 0.700,,coverage status REVIEW,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ADBE,2026-07-20,READY,READY,READY,0.894809,0.979592,0.9372,49,6,31,False,True,,,,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ADI,2026-07-20,FAILED,REVIEW,FAILED,0.586833,1.0,0.793416,6,3,6,False,True,contracts 6 < 10,sparse chain: contracts 6 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ADM,2026-07-20,FAILED,REVIEW,FAILED,0.621,1.0,0.8105,4,2,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ADP,2026-07-20,FAILED,REVIEW,FAILED,0.599,1.0,0.7995,4,3,3,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
ADSK,2026-07-20,FAILED,REVIEW,FAILED,0.526,1.0,0.763,4,2,4,False,True,contracts 4 < 10,sparse chain: contracts 4 < 10,coverage governance failed,NBBO quote/spread data not observed; provider-aware quality score used | NBBO quote/spread data not observed for this provider run; dimensions excluded from governance score
