underlying_symbol,quote_date,expiry,days_to_expiration,contract_count,call_contract_count,put_contract_count,strike_count,total_volume,total_open_interest,call_volume,put_volume,call_open_interest,put_open_interest,call_put_volume_ratio,call_put_open_interest_ratio,weighted_implied_volatility,call_weighted_implied_volatility,put_weighted_implied_volatility,atm_implied_volatility,downside_put_implied_volatility,upside_call_implied_volatility,put_skew_25d_minus_atm,call_skew_25d_minus_atm,risk_reversal_25d,near_money_contract_count,downside_put_contract_count,upside_call_contract_count,top_5_open_interest_concentration,top_5_volume_concentration,governance_status,governance_reasons
AAPL,2026-07-20,2026-07-27,7,21,9,12,17,13612,10681,6654,6958,3016,7665,0.95630928,0.39347684,0.28201257,0.29301685,0.27768264,0.27230279,0.27630653,0.28954506,0.00400374,0.01724227,0.01323853,4,2,4,0.51746091,0.51469292,READY,[]
AAPL,2026-07-20,2026-07-29,9,16,8,8,14,8001,9179,3295,4706,2786,6393,0.70017,0.43578914,0.29806215,0.28675812,0.30298832,0.28680122,0.28855372,0.2883754,0.0017525,0.00157418,-0.00017832,3,2,3,0.71511058,0.56292963,READY,[]
AAPL,2026-07-20,2026-07-31,11,43,23,20,31,41497,110981,22467,19030,53600,57381,1.18060956,0.93410711,0.40310926,0.40609776,0.40031767,0.38692258,0.38386551,0.37962624,-0.00305707,-0.00729634,-0.00423927,9,6,3,0.43566917,0.4105839,READY,[]
AAPL,2026-07-20,2026-08-07,18,23,12,11,16,8460,49192,4751,3709,39825,9367,1.28093826,4.25162806,0.34778204,0.34452779,0.36161788,0.34755077,0.34416112,0.33220264,-0.00338965,-0.01534813,-0.01195848,4,3,3,0.69669865,0.41040189,READY,[]
AAPL,2026-07-20,2026-08-14,25,19,9,10,16,5990,21732,2953,3037,15297,6435,0.97234113,2.37715618,0.31998343,0.31578462,0.32996466,0.3187844,0.32998563,0.31085675,0.01120123,-0.00792765,-0.01912888,4,4,4,0.52098288,0.51001669,READY,[]
AAPL,2026-07-20,2026-08-21,32,48,25,23,36,69887,447933,36104,33783,262426,185507,1.06870319,1.41464204,0.34560032,0.32397896,0.3761868,0.30890155,0.32245405,0.29670111,0.0135525,-0.01220044,-0.02575294,5,4,4,0.34677508,0.41569963,READY,[]
AAPL,2026-07-20,2026-08-28,39,15,9,6,12,4649,12589,2941,1708,11015,1574,1.72189696,6.99809403,0.29864128,0.29883493,0.29728607,0.30463524,0.31399857,0.29019146,0.00936333,-0.01444378,-0.02380711,6,2,3,0.75001986,0.64142826,READY,[]
AAPL,2026-07-20,2026-09-18,60,48,24,24,38,34887,450738,21119,13768,284016,166722,1.53391923,1.70353043,0.33989846,0.31691293,0.37905501,0.30166453,0.30972192,0.28458072,0.00805739,-0.01708381,-0.0251412,8,5,4,0.36198634,0.4953421,READY,[]
ABNB,2026-07-20,2026-08-21,32,10,7,3,9,5026,10811,3862,1164,9778,1033,3.31786942,9.46563408,0.43998529,0.4370075,0.46817199,0.44988464,,0.43052812,,-0.01935652,,2,0,3,0.89066691,0.85992837,REVIEW,"[""open-interest concentration exceeds ready limit""]"
ADBE,2026-07-20,2026-08-21,32,18,14,4,18,5424,19719,3963,1461,15063,4656,2.71252567,3.23518041,0.59149726,0.60613302,0.54414793,0.50063845,0.46283999,0.51187542,-0.03779846,0.01123697,0.04903543,2,1,3,0.48126173,0.53816372,READY,[]
