strike,call_open_interest,put_open_interest,call_volume,put_volume,gamma_exposure,delta_exposure,vanna_exposure,charm_exposure,liquidity_score
200.0,70.0,355.0,2.0,2.0,-1471.5849251861075,2605040.2394897174,2124.922855505936,-293.4666069136174,66.01885144924509
205.0,7.0,341.0,2.0,48.0,-3877.6332224178077,288066.50760473905,4113.532936916182,-581.0492468464372,72.28822862588147
210.0,165.0,83.0,5.0,7.0,4985.490857194372,6074712.185094522,-4564.903429404457,-1418.1128357504224,67.0059332100111
215.0,5.0,126.0,6.0,10.0,-1676.0816253842909,196973.9447376012,1830.2019709206013,368.27192924967386,65.58944676122096
220.0,27.0,259.0,3.0,29.0,-4374.308603162166,1032468.9185084074,4901.5335290707535,-724.8560010421303,70.29771043955812
225.0,28.0,318.0,6.0,195.0,-2508.495972762626,1051978.6973219777,2540.9177955177656,-747.4951366681842,76.39743982201762
230.0,2.0,330.0,2.0,41.0,-7153.92751725201,123741.22148484169,7116.7303992993075,-358.2355119239587,71.68106761668633
235.0,36.0,133.0,34.0,48.0,-1650.9257073972476,1344883.649680031,1866.1860299547764,-356.7170961505661,71.23181635306571
240.0,11.0,1272.0,5.0,43.0,-39939.64477117163,665035.6420501036,38010.710270342825,-11762.38620074615,76.72753508920655
245.0,3.0,128.0,1.0,42.0,-4616.0893982897915,141571.82625419542,4478.444766398084,-1071.2343587370956,68.44237563080708
250.0,1193.0,10004.0,17.0,78.0,-334745.88218434615,46278928.780854784,325654.3512353868,-46572.74459470429,86.32526121908444
255.0,18.0,1314.0,6.0,66.0,-55966.97412889441,1002614.3032995231,49277.26527630892,-8316.745880558698,78.05453394407066
260.0,214.0,1802.0,13.0,81.0,-70131.06682798093,8328961.312760184,65114.78682476157,12000.8098110806,80.29441355764135
265.0,82.0,1042.0,4.0,80.0,-45240.54735053796,3276005.220083476,37412.29478098798,-10400.637952520236,77.91733787070578
270.0,38.0,1144.0,11.0,33.0,-73504.45608345095,1829464.5558159875,58748.84648032408,-25530.481639139383,76.1853184932353
275.0,308.0,892.0,7.0,61.0,-51455.64323180665,11736908.102628283,45168.569006042424,-22707.194300658586,77.52050389107173
280.0,439.0,10490.0,4.0,889.0,-1449085.02769333,26336567.260669917,1190288.3996507542,-322909.3636393803,92.93455035961759
281.0,2.0,64.0,1.0,1.0,-7038.428923723889,114030.44650390977,5434.16631069933,-2335.5598762190734,58.01226103387271
282.0,2.0,5.0,10.0,1.0,-316.1701485404073,75867.8680175198,254.31297157205853,-129.62069582971262,54.73276534524342
283.0,77.0,6.0,1.0,2.0,11810.061174364379,2777931.219327735,-7962.459950672562,3125.5341466643854,59.66674187931126
284.0,0,54.0,0,1.0,-6775.595010003046,38141.612540936294,5142.342551667886,-1898.8644498643635,56.10510768999348
285.0,16.0,3031.0,6.0,41.0,-398448.8725466496,2930086.8733866424,301419.2047767042,-71950.9585639423,79.69144624154656
286.0,160.0,33.0,1.0,1.0,23896.95247778592,5774410.329451248,-15451.478644940744,9058.186045267925,61.73334042272598
287.0,6.0,47.0,1.0,1.0,-5814.165520716182,255382.64839173632,4387.582247867224,165.42760344428098,57.25728102897929
288.0,281.0,177.0,9.0,1.0,25046.35962269082,10245168.982140416,-14551.19812807711,17623.84383562058,68.64536155360702
289.0,447.0,518.0,36.0,1.0,3777.001248498622,16503848.153185336,3630.36179155032,31331.669215852762,74.96883189892297
290.0,177.0,11005.0,103.0,15.0,-1753747.1775467,16712448.527073475,1275844.3847767941,-72060.26914219737,86.96489564393326
291.0,101.0,77.0,1.0,1.0,7195.264271614507,3693586.1096548117,-3847.12046304222,6024.903553572751,61.45168718644697
292.0,431.0,46.0,100.0,1.0,82739.42241044622,15448647.401782429,-52145.140575724894,32736.80165282801,75.4685560035729
293.0,29.0,164.0,50.0,1.0,-22596.13579575879,1198432.4320794656,16528.53136144631,-1572.233922449212,70.29123471246594
294.0,104.0,396.0,1.0,10.0,-49993.50472284686,4127344.9673939776,36424.49618073452,-5379.875168425167,69.21284130316103
295.0,148.0,2477.0,5.0,329.0,-420194.5742352966,7876343.097299748,290887.5920927767,-107019.75230848273,84.9986512874948
296.0,32.0,9.0,1.0,1.0,6453.599147084876,1139735.089175878,-3618.1448429767433,1071.814565661958,56.37768052999612
297.0,2.0,19.0,1.0,5.0,-3398.878006858011,93178.95399268705,2331.0130387197905,-912.7390595837337,56.65637903392005
298.0,3.0,320.0,1.0,12.0,-66805.02500657624,488674.05159001786,44911.672927821615,-20198.512610397567,68.14977429411893
299.0,98.0,979.0,1.0,5.0,-193638.89201552366,4733001.244671611,128428.43199220365,-67377.67577477921,70.27775007730723
300.0,1244.0,15400.0,5.0,54.0,-2282931.649423793,56626090.020084664,1338272.1042385355,-1211489.404819413,86.30256171169825
301.0,16.0,61.0,11.0,1.0,-10298.067938294193,650299.2277847845,6816.926685318178,-4125.823787856003,62.94332896579818
302.0,32.0,11.0,1.0,1.0,6316.623922379859,1145426.730767065,-3618.348323157401,827.8693442427682,56.54050058471824
303.0,42.0,44.0,34.0,6.0,1625.1364171434634,1534414.4785124396,-112.58285384494229,-2790.036299354771,66.77139461540396
304.0,59.0,126.0,22.0,1.0,-16167.617765077197,2272000.567927298,10769.123311131347,-9345.962612649635,67.82427484904004
305.0,187.0,3438.0,47.0,37.0,-831385.8632351689,11756910.449321652,515063.2918303922,-271504.9219581112,82.01355263907274
306.0,99.0,208.0,1.0,150.0,-28373.684353810168,3817158.5374766407,18569.971369834584,-17915.081575453718,75.12699080294634
307.0,314.0,28.0,48.0,3.0,93717.35141107398,11059338.783050502,-53416.36694135045,974.0364915575369,72.28578772082507
308.0,338.0,44.0,27.0,1.0,101113.22080738723,11888276.980171382,-56165.87631159184,9862.99502333106,70.92000995209168
309.0,811.0,679.0,5.0,40.0,65455.22743769639,29545768.619500224,-28284.410651649625,-6876.151003683852,77.06113229114386
310.0,547.0,2177.0,5.0,64.0,-497052.5622938182,23171893.871449172,299076.42767401366,-133377.15734718664,80.43126870098878
311.0,2208.0,51.0,1.0,2.0,795563.8372043284,76926027.35515429,-436309.9893206232,147361.83613064812,71.18980340629183
312.0,672.0,89.0,1.0,4.0,229687.43589863167,23419291.824154504,-120467.13157902008,65281.89862591935,68.60109135258743
313.0,43.0,476.0,1.0,61.0,-158704.80345982284,2500802.588879941,90757.276299819,-15237.313654401236,74.31780501968875
314.0,8.0,178.0,1.0,3.0,-64791.73690159985,669619.1629215039,36444.86874445651,-9615.357282320883,63.137193896293354
315.0,338.0,2426.0,22.0,66.0,-692945.361982212,16247073.308389027,370351.59648837,-233525.93637883867,81.20269480804394
316.0,248.0,232.0,5.0,5.0,12646.140423289718,9070205.23326979,-3493.8747970451514,10397.449489248687,68.80922126376528
317.0,83.0,588.0,1.0,1.0,-212837.63713008972,4299814.695898579,115791.99771592046,-52790.10514040036,66.08174105783536
318.0,126.0,802.0,3.0,8.0,-309806.7696694221,6631190.652230161,169404.26617298307,-96480.38030288268,71.37410053521243
319.0,85.0,215.0,11.0,11.0,-58341.84310393837,3483270.028292704,31697.063331544603,-18145.809585181014,69.38136857440851
320.0,904.0,20396.0,93.0,6107.0,-8528863.606895661,83006942.34592257,4284354.140148008,-2711528.7391440934,99.88278254633299
321.0,129.0,1517.0,14.0,4.0,-695152.338224377,9083905.995578721,360118.2601443146,-213721.37871599282,74.75680449312105
322.0,145.0,137.0,72.0,7.0,4658.618123528562,5336921.777843801,-435.2139679650645,-4438.260954784248,72.90514404577297
323.0,356.0,1982.0,7.0,3.0,-870307.5263281643,18592490.978455793,438524.83804235095,-254882.23626270203,74.34486150143974
324.0,286.0,452.0,3.0,4.0,-90651.90737819482,11131399.707809582,47686.710321565646,-40390.51540598079,69.35686734835821
325.0,495.0,14555.0,39.0,6138.0,-6657645.594332271,51907254.698576525,2939975.8788779955,-2461944.578330492,98.66719899603326
326.0,141.0,321.0,11.0,5.0,-104415.70587112466,5811217.1511455495,50522.843510972874,-36442.90435704632,69.98168472147046
327.0,134.0,393.0,2.0,2.0,-156082.9976312682,5862845.58456798,73289.12466023376,-48107.544247870566,66.77015073027421
328.0,233.0,892.0,13.0,4.0,-414643.688373585,11137531.130083105,189129.02763348698,-99823.33471433943,73.26360910413723
329.0,359.0,229.0,114.0,2.0,86003.12232497144,12667114.660590094,-34548.94182498567,781.7364781704582,76.61101344717382
330.0,585.0,10720.0,342.0,4513.0,-6207956.792148655,54749939.11389482,2568900.0756677533,-1704653.7676513174,97.66581093032332
331.0,162.0,176.0,18.0,2.0,-10139.26138059036,6058443.958957708,6398.910825546554,-5353.897431737192,69.52456768900184
332.0,77.0,351.0,5.0,113.0,-197234.0064829564,4098183.1565307407,83563.7911636073,-40957.98677206336,75.55246969558264
333.0,46.0,959.0,3.0,21.0,-678810.6093747134,6273741.429071629,282057.2172953879,-177430.47896746692,73.8547082019135
334.0,191.0,123.0,2.0,4.0,50596.64288873359,6666644.676452588,-19192.78816627605,8599.439202518559,65.97173468305566
335.0,569.0,11418.0,382.0,1200.0,-8248444.876233274,81711904.64831778,3214437.6006781296,-2480550.5990694915,94.97204617917097
336.0,303.0,865.0,13.0,4.0,-462454.43670787517,14060962.61734299,179456.02969884584,-134075.03440117236,73.39477913884073
337.0,128.0,91.0,17.0,13.0,29130.277960872692,4503283.232525831,-9994.463444751233,-41.02064106943908,69.1796580256887
338.0,423.0,1476.0,19.0,15.0,-912571.1434291584,22033443.3161644,340164.5438886177,-274526.9512310439,77.0896762625091
339.0,280.0,735.0,2.0,3.0,-411964.14467544784,13066810.502014372,148886.63244423893,-133271.3880307761,69.60797860616866
340.0,1643.0,33943.0,9.0,253.0,-29078433.349893913,239369846.33994967,9777795.179452477,-8522108.319147741,91.71646209653329
341.0,217.0,482.0,14.0,21.0,-251041.84780718133,9326404.170216395,81466.3714363675,-86562.97484541668,73.67933798802024
342.0,230.0,380.0,209.0,19.0,-151233.31741387528,9319536.195842192,49312.43840035233,-65647.11007130689,78.7540053677633
343.0,69.0,610.0,5.0,7.0,-551856.1650544046,5415329.739541851,164735.5410226375,-154192.8560839216,70.52217286598014
344.0,337.0,1585.0,53.0,271.0,-1222589.1286677374,21998856.992069725,374856.35203999875,-356061.0962152867,83.81722165654995
345.0,1058.0,10750.0,13.0,298.0,-10019733.439003728,110673416.4227913,2929628.976720585,-2726277.6004019137,90.04716987403293
346.0,374.0,430.0,3.0,30.0,-81188.7605118353,13970118.347881703,22296.734555484905,-60846.56828688911,73.99702954481346
347.0,131.0,625.0,11.0,52.0,-567450.2622420366,8125333.670369539,150214.96075368195,-194401.01007647725,75.67942063711007
348.0,182.0,1452.0,24.0,191.0,-1465922.2866590624,16786069.657516494,385936.779947805,-420259.6639202597,82.02372851471225
