expiry,dte,gamma_exposure,delta_exposure,vanna_exposure,charm_exposure,open_interest,volume,atm_iv
2026-08-07,14,-510419301.0679358,4782697641.278342,51659054.90053835,82248902.00178443,241069.0,74344.0,0.26716913237770085
2026-08-14,21,43085607.29532428,2213432430.9298224,47903154.97005228,-72109480.42642833,126081.0,37075.0,0.2634978238170877
2026-08-21,28,-944250693.8924599,21625950321.08309,219265773.80937368,53934083.98942871,1152670.0,191009.0,0.2582001066621309
2026-08-28,35,-7104256.0301373275,491227421.5624103,10154767.844949495,-6052705.739525894,32621.0,19586.0,0.2557883236491966
2026-08-31,38,-96199059.03870596,2162484072.1131186,38388418.73303001,-3297864.2552973265,174629.0,40913.0,0.25040493774274203
2026-09-18,56,-307963232.46434414,27035491883.459152,361078805.5921653,-146133400.78441104,1691072.0,107052.0,0.25241833650132234
2026-09-30,68,-17158757.730907526,2575824965.417822,38835284.850110784,-21249951.588344995,170300.0,18639.0,0.24934573600964102
2026-10-16,84,-121335714.0705217,5973449168.124716,89436946.02751906,-39073420.02231122,350772.0,38478.0,0.25074715176469736
2026-12-18,147,-417742296.6986972,21587434631.355007,428715329.0678633,-298982163.2559774,1379544.0,92937.0,0.25774692461961923
2026-12-31,160,-11787211.692720456,6143080055.243988,25745559.17771985,-77852772.00897807,222206.0,7971.0,0.2577089366344883
2027-01-15,175,35891463.52671631,13575760780.096062,126491160.93231705,-96835373.82108316,624055.0,44475.0,0.25939354341281196
