strike,call_open_interest,put_open_interest,call_volume,put_volume,gamma_exposure,delta_exposure,vanna_exposure,charm_exposure,liquidity_score
204.78,0,6706.0,0,12.0,-63653.23555867191,978103.4166852002,110543.17545716422,154165.45332075906,78.53302269873369
205.0,276.0,7581.0,34.0,130.0,-34025.401739626024,19501697.74562621,61704.26869232075,92755.15430309993,86.71034232211616
209.78,0,515.0,0,3.0,-5202.483427724041,79144.52925399585,8911.744918102679,11132.611727040827,66.02025676254515
210.0,109.0,4257.0,101.0,5.0,-40923.18722377018,8147778.296390952,65170.854112809946,45249.43200463892,83.35489694058518
214.78,0,1146.0,0,1.0,-12161.130250182918,182495.14637873578,20686.350073947386,23952.38652642198,66.73660945163265
215.0,32.0,1594.0,1.0,6.0,-10239.071208161651,2347784.0190672646,15280.92494354315,15332.88671229667,72.11905050030613
219.78,0,145.0,0,2.0,-1653.6708311736854,24643.601295380577,2762.3719956403634,2747.7162210483793,60.73846004198351
220.0,74.0,2271.0,9.0,21.0,-14390.959459606831,5285958.305985707,21775.40739697927,24749.017580874024,77.46359621570241
224.78,0,241.0,0,1.0,-2948.0449857303615,43607.79884228059,4843.860339787849,4127.903289931449,61.290723583228235
225.0,67.0,743.0,70.0,114.0,-3798.1249381458642,4676193.923704789,5046.570739678049,6912.458262684581,79.10500566463892
229.78,0,407.0,0,2.0,-4879.142056015559,69817.40933910188,8225.196459978915,8104.950331609846,64.33527197641888
230.0,11.0,1071.0,1.0,111.0,-9997.457813863039,895195.9851142735,14602.743328160579,7527.33059146249,78.63837932064048
234.78,0,2236.0,0,4.0,-31911.548645308605,467135.4656458285,50550.01486565298,29439.937981057472,71.82343210251776
235.0,9.0,479.0,7.0,302.0,-4429.317898011648,680506.3218136207,6566.57059304859,3707.2848960416804,78.88298560559963
239.78,0,377.0,0,4.0,-5788.581017731219,84221.73590350743,9033.04472040751,4409.825784571748,65.60044342197085
240.0,226.0,941.0,6.0,423.0,2013.625855619966,15518487.834382262,140.93493883533029,29283.980980672324,82.91202419792143
244.78,0,635.0,0,1.0,-10465.013207216241,151269.49608763197,16118.508371223372,6743.50165048971,64.67263651337026
245.0,25.0,899.0,4.0,310.0,-5557.817957233234,1789254.4969397483,8979.576841796821,12290.5070356457,81.16199599777039
249.78,0,618.0,0,25.0,-10908.198636960487,156587.4132832632,16611.934425288626,6164.405316915009,72.27265806846053
250.0,153.0,6782.0,16.0,13.0,-89840.93140759229,11796976.39505825,139037.22029400786,78261.86363771887,81.15927395959778
254.78,0,461.0,0,155.0,-8092.804016577325,112869.9088925506,12488.269719518781,4879.766311306028,76.62404514053469
255.0,14.0,1886.0,2.0,38.0,-25176.73706283203,1303427.502227231,37953.85986000687,13524.060910395352,77.56618989882242
259.78,0,1358.0,0,27.0,-25538.24879358137,353798.5275901671,38961.336779537094,13525.083893372957,75.2473789800546
260.0,16.0,3121.0,3.0,54.0,-63146.97956015657,2018979.8872405267,99352.10439311322,53979.53802524604,80.36102229816467
264.78,0,358.0,0,54.0,-7306.273735528993,100970.22369117741,10991.717294005406,3566.1076596837606,72.6136279154064
265.0,39.0,743.0,2.0,125.0,-9899.01190809562,2807226.9006947726,13577.632107705142,19552.23314469879,77.87705522772666
269.78,0,3606.0,0,8.0,-78466.97265563307,1076273.3873542026,117149.883361267,38431.502096590426,75.25888461517104
270.0,25.0,1336.0,37.0,405.0,-14970.271577527648,1907204.5909234,22369.513983910154,19562.68254850866,83.5391925136185
274.78,0,559.0,0,35.0,-13855.803960070147,192883.83576530102,20286.226540443044,9508.579843816988,72.89833555842051
275.0,106.0,1052.0,4.0,55.0,-15056.103197355922,7530109.205303454,22258.37416886538,19566.572443892648,76.97662863835544
279.78,0,414.0,0,19.0,-10443.316325434685,142171.7586208632,15345.295301614773,6635.21013486416,70.08617164146942
280.0,28.0,2289.0,3.0,59.0,-39265.23897645938,2444857.1784216217,56774.2540386513,52706.08078458892,79.54901426282353
284.78,0,3824.0,0,25.0,-103388.72947570898,1401323.427348349,151200.74913236516,79543.72511827729,78.64688772597667
285.0,30.0,1714.0,25.0,102.0,-35918.3541215984,2536149.130556038,50665.13744871275,41969.253172409066,80.6818752129867
289.78,0,485.0,0,35.0,-14017.192756155266,189092.24142303647,20439.25216154051,13152.324319807152,72.40228699902005
290.0,44.0,1781.0,6.0,107.0,-50718.064685738704,3718564.2936767526,55431.20324980478,28840.741047148593,80.49318605922568
294.78,0,2859.0,0,10.0,-88120.68514853543,1182774.7416434179,128303.51726906162,100215.8323992282,75.04870498174375
295.0,128.0,1273.0,4.0,176.0,-13672.010730668797,8969641.016036253,20308.316773469378,29360.479504361498,80.95528383037835
299.78,0,2433.0,0,140.0,-80158.27372755091,1072099.4350675698,116654.4703869893,112029.533102427,82.13679912855066
300.0,253.0,11241.0,10.0,11.0,-279915.7951055835,21061376.719709367,408929.5031974134,373610.5856035428,81.99696339026544
304.78,0,402.0,0,8.0,-14641.63146039567,197951.7239425869,20834.24542725929,19719.16760177456,67.58795169882205
305.0,20.0,1884.0,10.0,21.0,-61697.65102811138,2182513.66573194,65780.81370302761,50814.123401728175,76.83003821486199
309.78,0,503.0,0,42.0,-18818.077359669805,249545.99438608214,26837.28672029105,24881.777816644513,73.06261728533048
310.0,64.0,1731.0,66.0,22.0,-37941.016062659604,4847622.294760272,53330.36045052933,53666.505563943385,79.69251948021392
314.78,0,488.0,0,56.0,-19475.092804993037,257402.45550142464,27265.733925135304,20515.65366868453,73.8024225166657
315.0,132.0,7312.0,20.0,28.0,-139151.06926135765,10773098.43228676,188549.27959990542,135004.36564621414,82.87900370224526
319.78,0,2207.0,0,64.0,-93824.61244702917,1235073.7978373375,129118.5077785545,77155.89008709794,79.47261023557635
320.0,338.0,3837.0,19.0,96.0,-44240.6023413593,23603373.497034512,55727.529908780256,91712.05362071734,83.44065252678776
324.78,0,626.0,0,21.0,-28312.88600484129,370959.6171791587,38345.59746768809,17703.641635572676,71.81644025229016
325.0,213.0,3026.0,72.0,11.0,-78574.35646466,15564415.633996548,76943.84624296102,39076.60647398751,81.58410052728226
329.78,0,5916.0,0,1.0,-285218.7889334874,3722378.7722016666,380007.64687980554,127170.66159193311,72.47898849104826
330.0,112.0,3444.0,4.0,178.0,-81495.71267994157,8640047.760562044,104809.77112777975,40301.74092256623,84.24681316034385
334.78,0,1126.0,0,2.0,-57783.35182329035,750713.9407306451,75835.13655219575,17310.60300234604,67.89143766514354
335.0,134.0,2098.0,5.0,114.0,-32003.18789657679,9537193.351792678,38426.2374244762,22400.55272028882,81.35132960978669
339.78,0,724.0,0,1.0,-39494.29007356064,510500.36700255517,51119.2737292058,7233.636869711527,65.1310423336712
340.0,60.0,5034.0,4.0,47.0,-240793.36995955952,7225421.637018587,285197.3141606266,-17705.249568912368,81.72978346554318
344.78,0,7854.0,0,4.0,-456072.804225982,5869230.494069238,582172.828273035,40146.8747752978,76.21948316471631
345.0,21.0,1734.0,3.0,50.0,-65583.83939848324,2232271.3725876566,77333.72204503606,11748.025170613344,78.11473034937553
349.78,0,2627.0,0,25.0,-166564.73121292805,2158900.751432191,207639.65381079976,-1682.4502657213427,77.33321394268019
350.0,186.0,4708.0,4.0,179.0,-230782.18517977305,15739193.218884004,286861.00986246683,59144.02916502159,85.38070071520308
354.78,0,588.0,0,1.0,-38800.03242174781,495788.5874622245,48212.240691552324,-926.3798790311132,64.40393318446039
355.0,261.0,1877.0,7.0,25.0,-90510.70381235528,19244498.147974834,113389.28747104482,31101.690243099267,77.32785066618787
359.78,0,2333.0,0,7.0,-163864.87124163922,2085847.3558420353,201225.26179468216,-5781.401671351275,73.38201047000227
360.0,483.0,3799.0,20.0,189.0,-153633.89042057126,35245133.071753375,188603.73012149415,53848.88495820877,85.30975401380621
364.78,0,666.0,0,1.0,-49710.21279908671,630022.6875688194,60402.783154895136,-980.1481043197743,64.83920670238452
365.0,165.0,3304.0,4.0,79.0,-134913.26167226804,12847654.462319694,156825.97172772256,67319.73177564683,81.82413495182311
369.78,0,4064.0,0,1.0,-322462.1486922856,4071343.5960712982,387902.13081173896,7807.110336344207,71.16503311861653
370.0,73.0,3005.0,8.0,160.0,-169575.57547283554,7042571.292349511,197736.54037428298,47025.58992140727,83.50295666250496
374.78,0,2055.0,0,1.0,-173348.40045949712,2181463.6134801786,206566.58589582553,17092.25918199964,68.77925323469253
375.0,76.0,3922.0,12.0,234.0,-207099.2445217339,7558303.400922388,235564.443711233,52669.97429017117,85.5564636408478
379.78,0,5136.0,0,44.0,-459748.3845255827,5764139.194009628,543342.8983395649,91379.99383499645,81.3247733259464
380.0,139.0,8008.0,20.0,2047.0,-473948.6653158745,15249380.25722804,549552.8811456201,138271.40880486142,94.4223589275984
384.78,0,416.0,0,21.0,-39514.17642654364,493797.56923742424,46334.78307282074,12964.99310850609,70.38892913637075
385.0,93.0,1476.0,36.0,442.0,-74951.26238380505,7280888.499038444,84745.08158322929,28734.45638288125,84.27100993643097
389.78,0,1081.0,0,7.0,-108918.01182244238,1357315.3052820796,126790.29761439105,53261.263675342016,70.691307232962
390.0,154.0,11050.0,19.0,106.0,-590146.0179316313,16495001.989720484,616092.3932022346,119534.0580581335,87.14324957267704
394.78,0,818.0,0,1.0,-87413.18107215945,1086578.565509405,101009.00187324939,58703.73159693872,65.55773583516557
395.0,80.0,3863.0,6.0,331.0,-277829.6811088017,8637362.35222763,274190.0810589717,25400.36425658856,86.4489651914779
399.78,0,3642.0,0,1.0,-412755.7411229568,5118785.141494727,470639.10758148035,263170.27113404847,70.78141133120981
400.0,1137.0,56606.0,15.0,287.0,-4239437.946011772,124803566.9182537,4602976.647253689,1832113.8172729244,92.14119841652811
404.78,0,1413.0,0,3.0,-169490.73991214167,2096479.6564751302,190200.52771386696,76751.58513454607,69.54850554595747
405.0,111.0,5731.0,62.0,473.0,-485076.5094967977,13184182.827123363,525026.0578687151,133363.91127637392,89.20790123215293
409.78,0,604.0,0,1.0,-76794.06855987679,948127.5024355865,84757.73891466597,21736.189339570938,64.49774114478778
410.0,113.0,18841.0,7.0,105.0,-1635976.481257904,25653789.168113172,1706179.147332174,326219.9155052135,88.65654405396354
414.78,0,2287.0,0,1.0,-308253.6241258632,3798461.563525067,334671.5705573891,41984.725290520146,69.15345827542875
415.0,59.0,3746.0,8.0,140.0,-402682.1570793835,8905374.850840833,429550.29433264246,-11464.60682757439,83.86700808533271
419.78,0,512.0,0,1.0,-73160.61347260406,899700.4647847404,78152.57705930271,929.8154945975883,63.920406999777526
