expiry,dte,call_open_interest,put_open_interest,net_gamma_exposure,net_delta_exposure,net_vanna_exposure,net_charm_exposure,atm_implied_volatility,expected_move,liquidity_score
2026-07-27,3,138116.0,114781.0,-2472205864.8929505,436072818.2590284,-17852134.056772932,4835677.463882013,0.09057506803112686,5.245,83.68135460969113
2026-07-28,4,73563.0,117186.0,-1583050984.2682297,1340569006.075242,4640990.469969813,-43234576.073320396,0.10700710507248624,7.04,86.75823533131647
2026-07-29,5,92085.0,77064.0,-1328827204.478052,965442828.1450444,-43241153.40323134,35540806.78824903,0.1297884802155096,9.435,83.0191003455024
2026-07-30,6,53695.0,47474.0,-664153518.5163653,560852522.6473298,-8396741.708795214,1755582.647470039,0.14620919883030906,11.559999999999999,80.56730893795813
2026-07-31,7,424521.0,1529478.0,-7347074166.999985,8430993493.472426,82801956.62669237,-267911771.89136827,0.15248459881785234,13.129999999999999,87.55786075042671
2026-08-03,10,22487.0,20283.0,-306105669.0336365,265722213.18251264,-11381784.586098095,7436956.309325551,0.1396891842190484,14.235,85.768972982255
2026-08-04,11,10797.0,10896.0,-154288190.651595,151161204.0556894,-5769975.315089216,3329024.46008909,0.14131495994417664,15.095,88.62571976381656
2026-08-05,12,9006.0,29097.0,-242112644.8348425,524967476.1190709,13716279.815085735,-9775076.521229966,0.142510731514201,15.900000000000002,89.86152583650424
2026-08-06,13,2379.0,2841.0,-37740271.318336286,27835139.262912177,-257842.85141367157,132560.0898898663,0.14131536133940092,16.535,93.72543547636779
2026-08-07,14,104329.0,299993.0,-2398511026.642609,5673651676.0922785,-927895.0229277868,-9749807.897216838,0.14641344841105738,17.765,87.85463326363646
2026-08-14,21,93939.0,111777.0,-952710236.2327371,1257915224.0402062,-46675619.912502214,13094362.170259483,0.14652658833239204,21.795,88.69057827496462
2026-08-21,28,650973.0,1893587.0,-6420951551.538625,11193638860.866198,223936937.97577083,-117825042.44434121,0.14545172102110085,25.055,94.65510948903217
2026-08-28,35,42073.0,51860.0,-375663125.0501799,699736859.3633549,-18890499.648174714,4802428.7078247545,0.14733302396732817,28.42,92.91517307728103
2026-08-31,38,225201.0,365735.0,-1750500669.8176167,700205528.620006,48829109.83444292,-17491091.653429467,0.14499738687434516,29.125,95.98138326480303
2026-09-04,42,847.0,305.0,-6470492.872118758,-16743450.029753456,-222655.4194015903,106301.43884702573,0.14768231667909032,31.415000000000003,97.35201462644663
2026-09-18,56,598243.0,1842899.0,-4246948466.4219155,1157709575.6151783,453057801.3960932,-97960229.18411708,0.15062180808301284,36.355000000000004,94.2575225077724
2026-09-30,68,314228.0,255804.0,-1007631409.2813293,-2047917297.4938781,-117460357.38878864,8413752.24850521,0.1518983816939656,39.635000000000005,96.45331674720954
2026-10-16,84,119718.0,223405.0,-722003961.6224685,1148185604.827113,8409162.584850015,244506.37190029712,0.15451622417267744,45.254999999999995,93.77757426297688
2026-10-30,98,59847.0,46825.0,-252697114.79644442,-610673647.5946739,-18636182.109675676,2740320.682377076,0.15636855576794448,49.815,97.61143218821643
2026-11-20,119,95457.0,105803.0,-375131900.04598254,485542143.8621709,-17092733.115845352,3118391.2406489425,0.15742458801139353,56.03,94.67621734530557
2026-11-30,129,29962.0,25794.0,-111674495.91392158,-214023954.05093727,-6540502.89045988,1042366.823822821,0.15754497050980198,58.355000000000004,97.48362927127259
2026-12-18,147,442086.0,655301.0,-1654626860.5526137,-4034911049.333359,74612955.55334693,313121.3079117155,0.1596192125682077,63.485,97.00068120858869
2026-12-31,160,99631.0,108289.0,-272400274.1277765,-1150194216.5774975,-14384320.177190727,1364834.8701056852,0.16022610821041008,65.92500000000001,97.78407385173088
2027-01-15,175,400219.0,415614.0,-1085075643.7983987,-2685996310.664636,-25661922.578136936,5535610.218863739,0.1615357159771841,70.16,97.09715019987519
