expiry,dte,call_open_interest,put_open_interest,net_gamma_exposure,net_delta_exposure,net_vanna_exposure,net_charm_exposure,atm_implied_volatility,expected_move,liquidity_score
2026-08-03,8,502.0,397.0,-67661450.21234892,544802485.454524,-7503713.873891319,8363336.31893992,0.27749158458007844,,10.84552366614554
2026-08-04,9,206.0,153.0,-28475734.91908505,55158621.995139755,-893775.3463190035,439156.04672374617,0.27871643816916,,40.38392456929727
2026-08-05,10,260.0,356.0,-89530772.06441621,396755316.96987414,-5240572.221829492,6833480.011245398,0.2812299259277026,,49.002835483445864
2026-08-06,11,81.0,113.0,-19658202.014865056,57916432.93685683,-477283.50913329923,34759.6806229115,0.28172224381177574,,44.61826695091439
2026-08-07,12,758.0,7897.0,-736521945.9281546,3723118610.9550514,45554073.56328573,-75589313.80805373,0.28072622764150423,,46.94243431123303
2026-08-10,15,192.0,158.0,-33027361.991205264,140661257.48580444,-3363562.461163906,2342493.7038939158,0.2671024006432647,1247.35,42.35759334272421
2026-08-11,16,275.0,237.0,-64175167.07368412,283395301.63126504,-12146607.196309963,8832261.95618723,0.2590375188118928,,28.648636994942322
2026-08-12,17,298.0,253.0,-77673754.54722454,293041879.45794773,-12526512.940885914,9356325.901814226,0.2708446929531127,,44.788358799912984
2026-08-13,18,48.0,63.0,-10369597.245303277,38874216.76865922,-446324.3856228605,204040.05867716004,0.2551213545839601,,26.425915219965745
2026-08-14,19,344.0,430.0,-69019969.3432444,326470677.9275384,-3191283.2431685277,1420950.137832926,0.27250285612054953,,39.985866283428386
2026-08-17,22,181.0,62.0,-22292552.881438505,-28968291.00176007,-3754730.3773835963,1809169.5496826454,0.26261468730967125,,41.40814477784117
2026-08-18,23,101.0,54.0,-10503094.754408225,2881149.176111359,-1829742.6999407604,685413.9697217888,0.23356582474474497,,34.35460843005167
2026-08-19,24,291.0,180.0,-61260590.72323688,187748063.70288303,-12432492.71641282,6485254.103372699,0.24568151119312345,,50.98906859651922
2026-08-20,25,22.0,24.0,-4362132.97256489,-1573090.6408892255,-66732.12561366081,-14068.194308129354,0.24663991820618447,,58.34411051400911
2026-08-21,26,13997.0,9124.0,-2068155768.2592487,1361236756.8785686,-148700411.0109462,68946334.70813455,0.26173959283275905,,61.751130567844406
2026-08-24,29,94.0,19.0,-14205009.905849675,-47157175.428173,-2768544.712670208,1172557.3771986135,0.24700362849325624,,62.59831727003634
2026-08-25,30,93.0,4.0,-10511008.715348966,-37727360.2544451,-2971254.569326211,1160556.1922128177,0.2833023898198463,,36.47210024701011
2026-08-26,31,95.0,3.0,-10787067.071172027,-43001213.25290444,-3227351.878249724,1221938.6768774218,0.21056017048112877,,34.3723798431631
2026-08-28,33,149.0,283.0,-29027276.98561057,171561637.002333,451527.1984421849,-506257.61145729903,0.2618127738286653,,36.56011248361716
2026-08-31,36,1102.0,2414.0,-150869699.5920252,1193555274.393725,1986030.3508363927,-2730152.9595001917,0.2570121233776108,,47.926200962328124
2026-09-04,40,135.0,225.0,-17706009.94014666,103401752.20321368,153127.71174106436,-313924.4094135168,0.25233362929847075,,47.76987451365806
2026-09-11,47,55.0,0,-4219912.147136127,-19455812.399658814,-1841561.1064720093,453631.5729409825,0.2190835699663746,,84.36593866894972
2026-09-18,54,14082.0,14313.0,-2309016692.3845034,5992186928.79629,-264408058.28949657,69573135.16440208,0.2569120595676032,2218.3999999999996,73.58514148158002
2026-09-30,66,1337.0,1037.0,-121777970.86898644,384192342.3580622,-15593573.671965193,2925924.538364889,0.25468933785955894,,68.4805363284793
2026-10-16,82,2814.0,4068.0,-305469475.3145951,1786754017.5401495,4420116.843497086,-382863.31122630805,0.25233565611743614,2692.65,72.64551451245377
