expiry,dte,call_open_interest,put_open_interest,net_gamma_exposure,net_delta_exposure,net_vanna_exposure,net_charm_exposure,atm_implied_volatility,expected_move,liquidity_score
2026-08-03,8,1130.0,2264.0,-80018743.54802492,136768007.4070013,794441.583902694,-2206551.830508737,0.20355893029505803,74.8,67.99830743246883
2026-08-04,9,406.0,577.0,-20303737.795245267,26317091.000014678,-131409.70944152714,-227376.38641755976,0.20550064070404384,,70.85255655187525
2026-08-05,10,249.0,755.0,-22246439.118653737,31773996.107836314,1015444.0937091177,-1293737.4952809014,0.21457872721931612,,80.16136811343983
2026-08-06,11,271.0,300.0,-12173946.962747652,-12038288.40261981,178214.59587745968,-278123.10114286677,0.21561654950074988,,92.35916521262214
2026-08-07,12,5680.0,33818.0,-648294634.4521934,2189394282.506671,50613577.26114678,-53683602.404390946,0.21384570234926725,94.45,64.32026363978756
2026-08-14,19,5967.0,12884.0,-154310891.96700796,347126287.27327466,10705309.453197408,-10411372.496070027,0.21238088877042585,115.44999999999999,72.84981692722124
2026-08-21,26,28596.0,45785.0,-797586150.0333229,1540053056.419688,937015.3624188984,-5470174.196631536,0.20740664926423777,130.6,63.52958209420345
2026-08-28,33,1081.0,2576.0,-36245759.74350574,117236686.4781641,1364463.9923765503,-656800.1511632295,0.21159521356666466,,87.86096578463969
2026-08-31,36,3350.0,5595.0,-82809360.87518439,126067152.66061519,-831707.4177870884,152082.8708106273,0.20443071216204065,151.95,68.08675591192561
2026-09-04,40,92.0,108.0,-2205540.66843756,1480284.2805733813,-99608.9732050413,20503.820103433714,0.20693413906479508,162.3,94.15059040453332
2026-09-18,54,48312.0,97833.0,-1362988931.810829,1267491899.7145975,23447520.041345134,310881.68663762516,0.20493722967922445,187.35,87.93872614853349
2026-09-30,66,2077.0,4512.0,-28791051.77045976,-112297805.52354686,959652.374390458,-320008.50116881926,0.1975872018704633,203.2,85.73851489022539
2026-10-16,82,7872.0,6036.0,-53672648.141004436,274499715.96302086,-7745132.632202133,840876.9665007254,0.21374529117344224,,88.12026249045739
