expiry,dte,strike,call_open_interest,put_open_interest,call_volume,put_volume,call_gamma_exposure,put_gamma_exposure,net_gamma_exposure,call_delta_exposure,put_delta_exposure,net_delta_exposure,vanna_exposure,charm_exposure,call_spread_pct,put_spread_pct,liquidity_score,dealer_pressure_score,pin_score,market_structure_eligible,trade_eligible
2026-08-03,8,2535.0,0.0,2.0,0.0,2.0,0.0,-2044.06787102268,-2044.06787102268,0.0,4644.053572150392,4644.053572150392,642.2210146882855,-1432.4681040164003,,0.6000000000000001,14.535559078648564,64.99655365061238,2.53661968908732,True,False
2026-08-03,8,2565.0,0.0,1.0,0.0,1.0,0.0,-1357.6825519152826,-1357.6825519152826,0.0,3059.1699081318275,3059.1699081318275,431.4388386444281,-953.4615966316023,,0.46153846153846156,20.393783338195178,64.99495410701329,4.2404878612556995,True,False
2026-08-03,8,2575.0,0.0,7.0,0.0,3.0,0.0,-10350.982452523442,-10350.982452523442,0.0,23209.133707359182,23209.133707359182,3249.671228230713,-7089.17387110148,,0.4285714285714285,21.964266183090555,64.99825431530427,4.825315198386815,True,False
2026-08-03,8,2705.0,0.0,4.0,0.0,4.0,0.0,-21214.105852867608,-21214.105852867608,0.0,45885.35075868051,45885.35075868051,5182.403776416797,-9469.323087531811,,0.17777777777777792,36.876523811388196,64.99741987854355,12.213017800563875,True,True
2026-08-03,8,2715.0,0.0,10.0,0.0,10.0,0.0,-59074.980269366395,-59074.980269366395,0.0,127923.75545391113,127923.75545391113,14049.746421540422,-25308.12879338642,,0.16000000000000014,37.99132900060591,64.99360817638608,12.799597211656794,True,True
2026-08-03,8,2720.0,0.0,12.0,0.0,12.0,0.0,-74969.2257790739,-74969.2257790739,0.0,162739.5738416598,162739.5738416598,17584.757168583696,-31521.422656312683,,0.15094339622641503,38.551655806916045,64.99194507631162,13.090127130872078,True,True
2026-08-03,8,2725.0,0.0,89.0,0.0,1.0,0.0,-587143.4592067044,-587143.4592067044,0.0,1276509.389933649,1276509.389933649,135945.608678439,-242483.48488528858,,0.14285714285714282,39.240914714068,64.9376256201418,13.603941210207235,True,True
2026-08-03,8,2735.0,0.0,2.0,0.0,2.0,0.0,-14767.635914547824,-14767.635914547824,0.0,32401.161224102325,32401.161224102325,3325.4824753652356,-5913.434422270242,,0.14173228346456684,39.66015951164537,64.99796854392756,13.913960863822334,True,True
2026-08-03,8,2745.0,0.0,2.0,0.0,1.0,0.0,-16398.980790115256,-16398.980790115256,0.0,36188.5405790926,36188.5405790926,3599.8512824366885,-6379.448331469224,,0.14084507042253522,40.25560434975301,64.9978437205754,14.482888322689503,True,True
2026-08-03,8,2750.0,0.0,5.0,0.0,5.0,0.0,-43301.03752148698,-43301.03752148698,0.0,96324.03975451962,96324.03975451962,9331.343567933964,-16431.54184692614,,0.15789473684210517,40.03485028510811,64.99524511754116,14.776661853677972,True,True
2026-08-03,8,2755.0,2.0,0.0,2.0,0.0,-20405.878162444602,0.0,-20405.878162444602,-530824.3279365269,0.0,-530824.3279365269,3866.943415436844,-7631.438697489908,0.06742794997281135,,43.02694641009141,34.9978608758049,15.051959962137976,True,True
2026-08-03,8,2760.0,0.0,5.0,0.0,1.0,0.0,-48198.86603216089,-48198.86603216089,0.0,108444.08459886238,108444.08459886238,9997.62647084268,-17253.25631685901,,0.13953488372093015,41.15447432559004,64.99474230536501,15.34578756685018,True,True
2026-08-03,8,2765.0,0.0,5.0,0.0,1.0,0.0,-50941.240555432494,-50941.240555432494,0.0,115528.55157312288,115528.55157312288,10344.02842533282,-17716.879896733462,,0.1304347826086958,41.711891582380424,64.99445950979992,15.630368234565308,True,True
