expiry,dte,call_open_interest,put_open_interest,net_gamma_exposure,net_delta_exposure,net_vanna_exposure,net_charm_exposure,atm_implied_volatility,expected_move,liquidity_score
2026-08-03,8,24659.0,39010.0,-3949626024.536411,6171042222.416707,-133352222.13588417,85648596.53239778,0.15296115181342532,142.65,76.40157871779991
2026-08-04,9,15204.0,31170.0,-2901646511.3890843,4662880293.571696,-90825665.84998469,58781973.314154916,0.15321352467272847,150.45,74.35145147539941
2026-08-05,10,17379.0,35237.0,-2863362175.0396013,4885574905.588128,-121935825.93301244,56317096.44791639,0.15472014967274034,159.25,76.31440761958088
2026-08-06,11,27170.0,33329.0,-3542905440.129355,4932983640.90003,-252438728.02404565,154522495.6911935,0.15603290188595575,167.60000000000002,76.2349086955154
2026-08-07,12,88451.0,241149.0,-7456248997.007293,12728469466.26071,-115889807.22699434,-155913646.1234263,0.16025046099740117,177.5,74.98188009157745
2026-08-10,15,11835.0,19472.0,-1549879984.4147727,1658582817.5431066,-60424014.90513428,18901657.18150754,0.1500596221035872,186.8,79.96498132928308
2026-08-11,16,5613.0,13372.0,-924417923.8608111,1564922016.9463491,-47114833.032828204,17537337.525435872,0.1509709850704182,193.64999999999998,80.65092358156416
2026-08-12,17,5609.0,13290.0,-667925295.660356,1337412590.829015,-18778967.19736401,-958355.5362631371,0.15343300525295006,202.6,79.37200837628413
2026-08-13,18,3916.0,8989.0,-503712497.6862365,979079853.409636,-22614679.81149473,5051146.488308059,0.1542201827338503,209.45,77.4573370649253
2026-08-14,19,58071.0,224748.0,-5972294448.9411125,9562632126.70728,138951565.97448283,-228287948.59265953,0.1560290180109516,216.6,81.79953570884018
2026-08-17,22,7099.0,11165.0,-918403226.6666771,1154512255.3502846,-61434476.431110516,19484474.025691636,0.14936659780035672,224.5,81.17325845462484
2026-08-18,23,2169.0,6086.0,-319789477.3120987,641714183.112418,-7232705.340604177,426978.40540795156,0.1571145440646173,,85.45249022634013
2026-08-19,24,9207.0,10921.0,-636842118.5582128,765729861.1970556,-39199973.01889512,4740446.743650708,0.15061335125342815,236.2,83.58096234799575
2026-08-20,25,1866.0,5375.0,-270644491.6137299,474890331.3324015,-2830787.291063814,-550439.7808082154,0.15915318068886047,,84.18241249787512
2026-08-21,26,1262722.0,1119797.0,-49079448653.51501,-99627303821.07289,1530551484.3230712,-991196558.7416365,0.1513688968785488,245.64999999999998,79.29116294495542
2026-08-24,29,2809.0,5923.0,-402921654.86294085,657687361.5842637,-10742303.376220047,3774894.5338149755,0.14839582143683105,255.4,88.94086785647916
2026-08-25,30,3138.0,2999.0,-264128076.57535297,41195615.452188924,-26488415.7918818,5608068.663759483,0.14692680230453495,,89.9607657903185
2026-08-26,31,2961.0,1202.0,-187896780.05190426,-253639291.86703888,-37051651.76766159,8275369.730332978,0.14966693599155528,266.15,88.32103247869038
2026-08-27,32,3957.0,4535.0,-257590531.527162,359974803.7036476,-799562.6120679076,-218879.71402079915,0.15265148393326305,277.4,91.78111286755266
2026-08-28,33,21123.0,150865.0,-2002837930.8366282,2728145537.964044,331955037.48161966,-169814596.03273395,0.15466775581187794,281.35,87.84921040761944
2026-08-31,36,121153.0,174326.0,-6125073155.851139,4127087003.3754554,-78102292.28089611,-28612121.796643384,0.15108330935702335,288.65,87.62905165972035
2026-09-04,40,42210.0,170335.0,-3039205039.4649105,10383869510.029617,231592495.34708798,-114630322.1948654,0.15457517458643708,309.45000000000005,90.15000227836504
2026-09-11,47,1670.0,3991.0,-152719011.43012697,116578000.85837267,1791675.507916596,-436248.08075949043,0.15229094448092997,331.45,92.58443455802492
2026-09-18,54,1676327.0,2190139.0,-94048771286.4724,-147292425022.7134,-1403746784.743245,249848901.7399235,0.15299794097728733,356.85,88.79882243340452
2026-09-30,66,130147.0,148620.0,-5591106858.875383,-8221083435.68555,261895.89195810104,-8182300.719977172,0.15344910388272112,395.75,95.34516386137975
2026-10-16,82,126933.0,174468.0,-4051942940.323698,-52134062674.698204,789109979.9004234,-85670700.52605033,0.15803963024753917,449.7,92.18987685612858
