symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
A,,WEEKLY,REPLAY_FAILED,,,,,,,,False,A 2004-11-19: native profile missing direction/score/confidence
AAPL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AAPL 2004-11-19: native profile missing direction/score/confidence
ABBV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ABBV 2014-03-14: native profile missing direction/score/confidence
ABNB,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ABNB 2022-02-18: native profile missing direction/score/confidence
ABT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ABT 2004-11-19: native profile missing direction/score/confidence
ACGL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ACGL 2004-11-19: native profile missing direction/score/confidence
ACN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ACN 2004-11-19: native profile missing direction/score/confidence
ADBE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ADBE 2004-11-19: native profile missing direction/score/confidence
ADI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ADI 2004-11-19: native profile missing direction/score/confidence
ADM,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ADM 2004-11-19: native profile missing direction/score/confidence
ADP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ADP 2004-11-19: native profile missing direction/score/confidence
ADSK,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ADSK 2004-11-19: native profile missing direction/score/confidence
AEE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AEE 2004-11-19: native profile missing direction/score/confidence
AEP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AEP 2004-11-19: native profile missing direction/score/confidence
AES,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AES 2004-11-19: native profile missing direction/score/confidence
AFL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AFL 2004-11-19: native profile missing direction/score/confidence
AGG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AGG 2004-12-03: native profile missing direction/score/confidence
AIG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AIG 2004-11-19: native profile missing direction/score/confidence
AIZ,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AIZ 2005-04-15: native profile missing direction/score/confidence
AJG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AJG 2004-11-19: native profile missing direction/score/confidence
AKAM,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AKAM 2004-11-19: native profile missing direction/score/confidence
ALAB,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ALAB 2025-05-30: native profile missing direction/score/confidence
ALB,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ALB 2004-11-19: native profile missing direction/score/confidence
