symbol,row_count,development_row_count,validation_row_count,final_holdout_row_count,nearest_destination_available_count,atr_available_count,materialization_file,materialization_sha256
A,300,161,65,74,300,300,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/A.jsonl.gz,d351322adaf7d6f406a19f0e4e9039ac9b43915b24a3badbb4748e3cb8652e24
AAPL,183,110,40,33,183,183,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AAPL.jsonl.gz,f1398aeafa5738088664e9efda82d1f8127576fe7de74313d7976cddf1aaca30
ABBV,163,38,81,44,163,163,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ABBV.jsonl.gz,caa6e66c3ddd432c5669a35061cd40bc4daea7f8e1910912280b3326841620da
ABNB,92,0,31,61,92,92,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ABNB.jsonl.gz,cd749fca4ba9385f44df958a0db78bf0797f8a542f06a58c0e5e5fa7bcb9ab72
ABT,323,205,44,74,323,323,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ABT.jsonl.gz,f1161f1c6ded237924c9039eb74f37faf1e9b718804fce611ded9f4e9c7931de
ACGL,170,67,62,41,170,170,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ACGL.jsonl.gz,95051bb52fde5f6daa8b82b892564d0ad1f0e5662c1e03d474685c3108f4a5fd
ACN,246,123,46,77,246,246,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ACN.jsonl.gz,e17995b133452c5fc4c8431508ea6c7a37862b81a066d6337793bdc98c4109be
ADBE,269,121,56,92,269,269,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ADBE.jsonl.gz,ec42c1907a5ab5b300d300760cddaae80f5f98dd1a17c2621419a5707946b35f
ADI,253,173,48,32,253,253,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ADI.jsonl.gz,917b1fec9ab5dbca26ed9aaef289b7f0d8e10ef585521296e70c61c060f8cb1b
ADM,343,200,52,91,343,343,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ADM.jsonl.gz,55a1f14c6952c87f492e2fb968db47151ed47cffaf40ec83d0b03441e2d8d32c
ADP,254,150,45,59,254,254,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ADP.jsonl.gz,adc80e8f90b06670fc1b0c0ea86d9fd32f6c7b8845bc2f3aab3ee2258a851e1d
ADSK,326,186,75,65,326,326,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ADSK.jsonl.gz,863f5a57a3bf55a12433859bb95d14d4eed84c19c560d9bd875ce94e68d8c44d
AEE,289,182,50,57,289,289,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AEE.jsonl.gz,4b3234a5d15c239a27328f7555a68f809e1decfabea367234c2fa503d61aab99
