as_of,partition,cross_section_eligible_count,breadth_bullish_fraction,breadth_bearish_fraction,breadth_neutral_fraction,breakdown_setup_fraction,breakdown_confirmed_fraction,capitulation_fraction,spy_close,spy_return_4w,spy_return_13w,spy_return_26w,spy_realized_vol_13w_annualized,spy_realized_vol_26w_annualized,spy_drawdown_from_52w_peak,spy_direction,spy_confidence,spy_overall_score,spy_breakout_state,spy_participation_state
2004-11-19,DEVELOPMENT,351,0.811965811965812,0.08831908831908832,0.09971509971509972,0.019943019943019943,0.039886039886039885,0.002849002849002849,117.42,,,,,,0.0,STRONG_BULLISH,85.38,65.35,NONE,ACCUMULATION
2004-11-26,DEVELOPMENT,351,0.8091168091168092,0.09971509971509972,0.09116809116809117,0.005698005698005698,0.019943019943019943,0.0,118.35,,,,,,0.0,STRONG_BULLISH,85.5,62.26,NONE,RE_ACCUMULATION
2004-12-03,DEVELOPMENT,351,0.7891737891737892,0.07692307692307693,0.1339031339031339,0.005698005698005698,0.019943019943019943,0.002849002849002849,119.25,,,,,,0.0,STRONG_BULLISH,85.62,62.74,NONE,RE_ACCUMULATION
2004-12-10,DEVELOPMENT,352,0.6903409090909091,0.10795454545454546,0.20170454545454544,0.005681818181818182,0.014204545454545454,0.002840909090909091,119.33,,,,,,0.0,STRONG_BULLISH,85.75,63.31,NONE,RE_ACCUMULATION
2004-12-17,DEVELOPMENT,351,0.7663817663817664,0.08262108262108261,0.150997150997151,0.005698005698005698,0.019943019943019943,0.0,119.44,0.017203202180207766,,,,,0.0,STRONG_BULLISH,85.88,64.93,NONE,ACCUMULATION
2004-12-23,DEVELOPMENT,353,0.8215297450424929,0.06515580736543909,0.11331444759206799,0.0113314447592068,0.0113314447592068,0.0,120.77,0.020447824250105606,,,,,0.0,STRONG_BULLISH,86.0,70.06,BREAKOUT_SETUP,RE_ACCUMULATION
2004-12-31,DEVELOPMENT,353,0.8356940509915014,0.05099150141643059,0.11331444759206799,0.0028328611898017,0.014164305949008499,0.0,120.87,0.0135849056603774,,,,,0.0,STRONG_BULLISH,86.12,70.38,BREAKOUT_SETUP,RE_ACCUMULATION
2005-01-07,DEVELOPMENT,353,0.37110481586402266,0.21529745042492918,0.41359773371104813,0.0084985835694051,0.0056657223796034,0.0,118.44,-0.007458308891309828,,,,,-0.02010424422933732,NEUTRAL,86.25,52.57,NONE,NEUTRAL
2005-01-14,DEVELOPMENT,353,0.3087818696883853,0.26345609065155806,0.42776203966005666,0.0028328611898017,0.0169971671388102,0.0084985835694051,118.24,-0.010046885465505695,,,,,-0.02175891453627876,NEUTRAL,86.38,50.5,NONE,RE_DISTRIBUTION
2005-01-21,DEVELOPMENT,352,0.38920454545454547,0.2784090909090909,0.33238636363636365,0.04261363636363636,0.011363636363636364,0.011363636363636364,116.78,-0.03303800612734942,,,,,-0.03383800777695045,NEUTRAL,86.5,49.95,NONE,DISTRIBUTION
2005-01-28,DEVELOPMENT,353,0.41359773371104813,0.3342776203966006,0.2521246458923513,0.014164305949008499,0.0084985835694051,0.014164305949008499,117.43,-0.028460329279391017,,,,,-0.028460329279391017,NEUTRAL,86.62,48.17,NONE,DISTRIBUTION
2005-02-04,DEVELOPMENT,353,0.6147308781869688,0.21246458923512748,0.17280453257790368,0.0056657223796034,0.036827195467422094,0.0028328611898017,120.23,0.01511313745356313,,,,,-0.00529494498221228,BULLISH,86.75,55.39,NONE,NEUTRAL
2005-02-11,DEVELOPMENT,353,0.6572237960339944,0.20679886685552407,0.1359773371104816,0.0056657223796034,0.042492917847025496,0.0084985835694051,120.77,0.02139715832205691,,,,,-0.0008273351534707762,STRONG_BULLISH,86.88,61.2,NONE,NEUTRAL
2005-02-18,DEVELOPMENT,355,0.6422535211267606,0.2084507042253521,0.14929577464788732,0.028169014084507043,0.01971830985915493,0.005633802816901409,120.36,0.03065593423531432,0.025038323965252962,,0.07753874492831457,,-0.0042194092827004814,BULLISH,87.0,57.11,NONE,RE_ACCUMULATION
2005-02-25,DEVELOPMENT,355,0.5802816901408451,0.22816901408450704,0.19154929577464788,0.005633802816901409,0.022535211267605635,0.0,121.43,0.03406284595077924,0.02602450359104358,,0.0778853709725612,,0.0,STRONG_BULLISH,87.12,74.46,BREAKOUT_SETUP,ACCUMULATION
2005-03-04,DEVELOPMENT,355,0.6591549295774648,0.18309859154929578,0.15774647887323945,0.005633802816901409,0.016901408450704224,0.0028169014084507044,122.73,0.020793479164933792,0.029182389937106867,,0.07908459735457346,,0.0,STRONG_BULLISH,87.25,74.19,BREAKOUT_CONFIRMED,RE_ACCUMULATION
2005-03-11,DEVELOPMENT,356,0.5561797752808989,0.23595505617977527,0.20786516853932585,0.019662921348314606,0.0056179775280898875,0.011235955056179775,120.39,-0.0031464767740332356,0.008882929690773533,,0.08992345453977765,,-0.019066242972378467,BULLISH,87.38,61.13,NONE,RE_ACCUMULATION
2005-03-18,DEVELOPMENT,356,0.3960674157303371,0.33146067415730335,0.27247191011235955,0.025280898876404494,0.014044943820224719,0.011235955056179775,118.54,-0.015121302758391408,-0.0075351640991292435,,0.09551738435843869,,-0.03413998207447244,NEUTRAL,87.5,49.7,NONE,NEUTRAL
2005-03-24,DEVELOPMENT,356,0.27808988764044945,0.44662921348314605,0.2752808988764045,0.02247191011235955,0.008426966292134831,0.0,117.14,-0.03532899612945739,-0.030057133394054802,,0.09442265708301258,,-0.04554713598957061,NEUTRAL,87.62,48.83,NONE,DISTRIBUTION
2005-04-01,DEVELOPMENT,356,0.34831460674157305,0.3595505617977528,0.29213483146067415,0.016853932584269662,0.0028089887640449437,0.0056179775280898875,117.43,-0.04318422553572876,-0.028460329279391017,,0.09471364146068678,,-0.04318422553572876,NEUTRAL,78.5,48.54,NONE,DISTRIBUTION
2005-04-08,DEVELOPMENT,357,0.42016806722689076,0.36134453781512604,0.2184873949579832,0.011204481792717087,0.014005602240896359,0.008403361344537815,118.0,-0.019852147188304636,-0.0037149611617696143,,0.08704219115038093,,-0.038539884298867455,NEUTRAL,78.58,33.88,NONE,DISTRIBUTION
2005-04-15,DEVELOPMENT,359,0.2618384401114206,0.4596100278551532,0.2785515320334262,0.04456824512534819,0.013927576601671309,0.055710306406685235,114.15,-0.03703391260334066,-0.0345906630581867,,0.10862386320938398,,-0.06990955756538741,BEARISH,78.67,34.97,NONE,RE_DISTRIBUTION
2005-04-22,DEVELOPMENT,359,0.23676880222841226,0.4735376044568245,0.28969359331476324,0.016713091922005572,0.019498607242339833,0.008356545961002786,115.57,-0.013402765921120108,-0.010361363247131439,,0.11028389946273309,,-0.05833944430864513,BEARISH,78.75,37.08,NONE,RE_DISTRIBUTION
2005-04-29,DEVELOPMENT,359,0.3426183844011142,0.43175487465181056,0.22562674094707522,0.005571030640668524,0.019498607242339833,0.022284122562674095,115.75,-0.014306395299327312,-0.014306395299327312,,0.10958739468624522,,-0.056872810233846716,BEARISH,78.83,37.63,NONE,NEUTRAL
2005-05-06,DEVELOPMENT,359,0.45125348189415043,0.3398328690807799,0.20891364902506965,0.005571030640668524,0.03899721448467967,0.005571030640668524,117.09,-0.007711864406779623,-0.026116609831156934,,0.09984965237005522,,-0.04595453434368124,NEUTRAL,79.0,50.64,NONE,NEUTRAL
2005-05-13,DEVELOPMENT,359,0.3983286908077994,0.37047353760445684,0.23119777158774374,0.011142061281337047,0.011142061281337047,0.0,115.72,0.013753832676303146,-0.041815020286494975,,0.10057609186591225,,-0.05711724924631312,BEARISH,79.08,38.12,NONE,RE_ACCUMULATION
2005-05-20,DEVELOPMENT,359,0.5988857938718662,0.18662952646239556,0.21448467966573817,0.008356545961002786,0.036211699164345405,0.0,119.12,0.030717314181881283,-0.010302426055167735,0.014477942428887669,0.11980975022695448,0.0993439010738658,-0.029414161166788855,NEUTRAL,79.17,42.19,NONE,ACCUMULATION
2005-05-27,DEVELOPMENT,359,0.7075208913649025,0.11977715877437325,0.17270194986072424,0.008356545961002786,0.013927576601671309,0.0,120.25,0.0388768898488121,-0.009717532734909051,0.016054076890578806,0.12002162508634996,0.09960678744646775,-0.020206958363888194,STRONG_BULLISH,79.25,69.7,BREAKOUT_SETUP,ACCUMULATION
2005-06-03,DEVELOPMENT,360,0.7111111111111111,0.1388888888888889,0.15,0.011111111111111112,0.019444444444444445,0.002777777777777778,120.15,0.02613374327440443,-0.02102175507210946,0.007547169811320753,0.11749427217234001,0.09910450691356411,-0.02102175507210946,STRONG_BULLISH,79.42,69.73,BREAKOUT_SETUP,ACCUMULATION
