symbol,asset_type,horizon_sessions,directional_evaluable_count,directional_hit_count,directional_accuracy,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,always_bullish_accuracy,previous_period_direction_accuracy,edge_vs_random_50_50,edge_vs_always_bullish,edge_vs_previous_period_direction,mean_directional_return,median_directional_return,payoff_ratio
A,EQUITY,5,930,473,0.5086021505376344,630,0.5253968253968254,300,0.47333333333333333,205,0.5277533039647577,0.4818744473916888,0.008602150537634357,-0.01915115342712337,0.02672770314594558,8.065697127344934e-05,0.0007706971207757096,0.9713798844178669
A,EQUITY,10,929,475,0.511302475780409,629,0.5548489666136724,300,0.42,205,0.5590828924162258,0.515929203539823,0.011302475780408994,-0.04778041663581678,-0.004626727759413973,0.0005036743472949779,0.0016113462816963464,0.978705836462749
A,EQUITY,20,927,479,0.5167206040992449,627,0.583732057416268,300,0.37666666666666665,205,0.5830388692579506,0.502210433244916,0.016720604099244918,-0.06631826515870565,0.01451017085432893,0.0006356620475528399,0.004008585822180555,0.9544419822832405
AAPL,EQUITY,5,925,515,0.5567567567567567,742,0.5835579514824798,183,0.44808743169398907,210,0.5797356828193833,0.5198237885462555,0.05675675675675673,-0.022978926062626526,0.03693296821050118,0.0032322489626966087,0.004897743067046267,0.9668354241349522
AAPL,EQUITY,10,925,528,0.5708108108108109,742,0.6091644204851752,183,0.41530054644808745,209,0.5987654320987654,0.5477031802120141,0.07081081081081086,-0.027954621287954562,0.023107630598796725,0.00799032748930973,0.01027183474263671,1.0462825725337517
AAPL,EQUITY,20,924,547,0.591991341991342,741,0.6369770580296896,183,0.4098360655737705,208,0.6289752650176679,0.5437665782493368,0.09199134199134196,-0.036983923026325916,0.04822476374200513,0.014786638095776662,0.017883436204433,1.039777122819414
ABBV,EQUITY,5,538,281,0.5223048327137546,375,0.568,163,0.4171779141104294,111,0.5439137134052389,0.5346687211093991,0.022304832713754608,-0.021608880691484256,-0.012363888395644507,-0.00164076752160756,0.001267335757473509,0.8093742651517983
ABBV,EQUITY,10,537,269,0.5009310986964618,374,0.5641711229946524,163,0.3558282208588957,111,0.5632716049382716,0.4899536321483771,0.0009310986964617962,-0.06234050624180976,0.01097746654808468,-0.002928755814362083,0.00024530847540771283,0.8595472776171221
ABBV,EQUITY,20,536,280,0.5223880597014925,373,0.5710455764075067,163,0.4110429447852761,110,0.5619195046439629,0.537984496124031,0.02238805970149249,-0.039531444942470406,-0.015596436422538495,-0.0027601261574086706,0.0032153337148011496,0.8308310185656027
ABNB,EQUITY,5,181,77,0.425414364640884,89,0.43820224719101125,92,0.41304347826086957,54,0.5404255319148936,0.49361702127659574,-0.074585635359116,-0.11501116727400962,-0.06820265663571173,-0.006782838365381642,-0.009430840502978155,0.9949171169600572
ABNB,EQUITY,10,180,73,0.40555555555555556,88,0.4318181818181818,92,0.3804347826086957,54,0.5341880341880342,0.4829059829059829,-0.09444444444444444,-0.12863247863247862,-0.07735042735042735,-0.013824359157337346,-0.016432106956558168,0.9478450680042259
ABNB,EQUITY,20,178,61,0.34269662921348315,86,0.3488372093023256,92,0.33695652173913043,54,0.5301724137931034,0.41379310344827586,-0.15730337078651685,-0.18747578457962027,-0.0710964742347927,-0.029583017304714382,-0.030560825611781917,0.9962937085232162
ABT,EQUITY,5,934,470,0.5032119914346895,611,0.5351882160392799,323,0.44272445820433437,201,0.5286343612334802,0.4969053934571176,0.0032119914346895317,-0.025422369798790645,0.006306597977571937,-0.00043825285895528974,0.00027754043620087376,0.9495264177148379
ABT,EQUITY,10,933,484,0.5187566988210075,610,0.5491803278688525,323,0.4613003095975232,201,0.5493827160493827,0.5212014134275619,0.0187566988210075,-0.030626017228375213,-0.0024447146065543768,-0.00047581658561463507,0.0016224986479178582,0.8997335831764758
ABT,EQUITY,20,931,468,0.5026852846401718,608,0.5460526315789473,323,0.42105263157894735,201,0.5706713780918727,0.48717948717948717,0.0026852846401718145,-0.06798609345170092,0.015505797460684645,-0.0027859351447627424,0.0008860759493669601,0.8707633744603829
