component_path,state,horizon_sessions,count,accuracy,accuracy_risk_difference_vs_all_bearish,mean_directional_return,mean_return_difference_vs_all_bearish,odds_ratio_correct_vs_all_other_bearish
primary_timeframe,1D,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
primary_timeframe,1D,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
primary_timeframe,1D,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
alignment_score,20-40,5,19417,0.4559406705464284,-0.005395959716639143,-0.0034917294886718667,0.02108372748498915,0.9752455799678488
alignment_score,40-60,5,27887,0.4626528489977409,0.0013162187346733578,-0.002708712971505821,0.021866744002155193,1.0065760097747085
alignment_score,60-80,5,40002,0.4527273636318184,-0.008609266631249113,-0.0044965021244096895,0.020078954849251325,0.9533156309904777
alignment_score,80-100,5,58284,0.4684132866652941,0.007076656402226544,-0.055842682600658174,-0.03126722562699716,1.0486178103386734
alignment_score,20-40,10,19396,0.44467931532274696,0.003307968444568099,-0.005907709965156972,0.02196231445605488,1.0156000134616705
alignment_score,40-60,10,27866,0.44900595708031293,0.007634610202134073,-0.004761987020326071,0.02310803740088578,1.0389956706400796
alignment_score,60-80,10,39978,0.4278353094201811,-0.013536037457997752,-0.009296807217168036,0.01857321720404382,0.9269452027046584
alignment_score,80-100,10,58252,0.44590743665453547,0.004536089776356611,-0.0589836290834719,-0.031113604662260045,1.0311474111621228
alignment_score,20-40,20,19353,0.431871027747636,0.004706879466907676,-0.0111920801802581,0.03646366882941348,1.022426329880687
alignment_score,40-60,20,27819,0.4330493547575398,0.005885206476811455,-0.010809197805559787,0.036846551204111795,1.030162759129306
alignment_score,60-80,20,39915,0.4159839659275961,-0.011180182353132229,-0.018488275540246787,0.029167473469424793,0.938817068126595
alignment_score,80-100,20,58178,0.43045481109697825,0.0032906628162499008,-0.09741571487881329,-0.049759965869141706,1.0226795938650073
confidence,60-80,5,2523,0.4157748711850971,-0.04556175907797044,-0.006667404968234405,0.01790805200542661,0.8283858810860876
confidence,80-100,5,143067,0.46214011616934725,0.0008034859062797106,-0.02489126715497256,-0.00031581018131154534,1.207166880595443
confidence,60-80,10,2523,0.40665873959571935,-0.03471260728245951,-0.013479613020266673,0.01439041140094518,0.8654293924990495
confidence,80-100,10,142969,0.4419839265854836,0.0006125797073047168,-0.028123974633947446,-0.00025395021273559235,1.1554957673812751
confidence,60-80,20,2523,0.3476020610384463,-0.07956208724228203,-0.031414764481526414,0.016240984528145166,0.7105996906546789
confidence,80-100,20,142742,0.42857042776477844,0.001406279484050088,-0.0479428124105243,-0.00028706340085272314,1.4072620818040256
categories.primary,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
categories.primary,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
categories.primary,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
context.market_regime,UNKNOWN,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
context.market_regime,UNKNOWN,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
context.market_regime,UNKNOWN,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
context.regime,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
context.regime,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
context.regime,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
structure.state,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
structure.state,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
structure.state,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
