symbol,as_of,horizon_sessions,native_direction,base_date,target_date,base_close,target_close,forward_return,bearish_directional_return,era,base_price_band,decision,participation_state,breakout_state,alignment_score_bin,direction_1d,direction_1w,direction_1mo,discontinuity_status,discontinuity_max_abs_single_session_return,discontinuity_signed_single_session_return,discontinuity_from_date,discontinuity_to_date,discontinuity_from_close,discontinuity_to_close,discontinuity_price_ratio,discontinuity_nearest_common_split_ratio,discontinuity_relative_distance_to_common_split_ratio,discontinuity_common_split_ratio_suspect
CHTR,2009-04-06,5,STRONG_BEARISH,2009-04-06,2010-09-20,0.02,34.5,1724.0,-1724.0,2008-2012,LT_5,ELIGIBLE,CAPITULATION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
CHTR,2009-04-06,10,STRONG_BEARISH,2009-04-06,2010-09-27,0.02,33.05,1651.4999999999998,-1651.4999999999998,2008-2012,LT_5,ELIGIBLE,CAPITULATION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
CHTR,2009-03-13,20,STRONG_BEARISH,2009-03-13,2010-09-17,0.021,34.5,1641.8571428571427,-1641.8571428571427,2008-2012,LT_5,WATCH,RE_DISTRIBUTION,BREAKDOWN_SETUP,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
CHTR,2009-04-06,20,STRONG_BEARISH,2009-04-06,2010-10-11,0.02,32.85,1641.5,-1641.5,2008-2012,LT_5,ELIGIBLE,CAPITULATION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
CHTR,2009-04-03,5,STRONG_BEARISH,2009-04-03,2010-09-17,0.0279,34.5,1235.5591397849462,-1235.5591397849462,2008-2012,LT_5,WATCH,NEUTRAL,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
CHTR,2009-04-03,10,STRONG_BEARISH,2009-04-03,2010-09-24,0.0279,33.8,1210.4695340501792,-1210.4695340501792,2008-2012,LT_5,WATCH,NEUTRAL,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
CHTR,2009-04-03,20,STRONG_BEARISH,2009-04-03,2010-10-08,0.0279,32.0,1145.953405017921,-1145.953405017921,2008-2012,LT_5,WATCH,NEUTRAL,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,1774.0,1774.0,2009-04-06,2010-09-14,0.02,35.5,1775.0,20,87.75,False
DAL,2005-10-12,5,STRONG_BEARISH,2005-10-12,2007-05-09,0.62,19.79,30.919354838709676,-30.919354838709676,2003-2007,LT_5,WATCH,DISTRIBUTION,NONE,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-10-12,20,STRONG_BEARISH,2005-10-12,2007-05-31,0.62,19.05,29.725806451612904,-29.725806451612904,2003-2007,LT_5,WATCH,DISTRIBUTION,NONE,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-10-12,10,STRONG_BEARISH,2005-10-12,2007-05-16,0.62,18.34,28.580645161290324,-28.580645161290324,2003-2007,LT_5,WATCH,DISTRIBUTION,NONE,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-09-30,10,STRONG_BEARISH,2005-09-30,2007-05-04,0.75,20.98,26.973333333333333,-26.973333333333333,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_SETUP,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-09-30,20,STRONG_BEARISH,2005-09-30,2007-05-18,0.75,19.31,24.746666666666666,-24.746666666666666,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_SETUP,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-09-16,20,STRONG_BEARISH,2005-09-16,2007-05-04,0.85,20.98,23.68235294117647,-23.68235294117647,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-10-07,5,STRONG_BEARISH,2005-10-07,2007-05-04,0.85,20.98,23.68235294117647,-23.68235294117647,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-09-23,20,STRONG_BEARISH,2005-09-23,2007-05-11,0.85,19.3,21.705882352941178,-21.705882352941178,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-10-07,10,STRONG_BEARISH,2005-10-07,2007-05-11,0.85,19.3,21.705882352941178,-21.705882352941178,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
DAL,2005-10-07,20,STRONG_BEARISH,2005-10-07,2007-05-25,0.85,18.76,21.07058823529412,-21.07058823529412,2003-2007,LT_5,WATCH,DISTRIBUTION,BREAKDOWN_CONFIRMED,80-100,STRONG_BEARISH,STRONG_BEARISH,STRONG_BEARISH,OK,32.41935483870967,32.41935483870967,2005-10-12,2007-05-03,0.62,20.72,33.41935483870967,20,0.6709677419354836,False
TT,2005-01-20,20,STRONG_BEARISH,2005-01-20,2007-12-26,3.265,46.34,13.192955589586525,-13.192955589586525,2003-2007,LT_5,WATCH,DISTRIBUTION,NONE,80-100,STRONG_BEARISH,STRONG_BEARISH,MISSING,OK,10.369065849923429,10.369065849923429,2005-01-20,2007-11-28,3.265,37.12,11.369065849923429,10,0.13690658499234284,False
