family,state,horizon_sessions,count,accuracy,mean,median,p25,p75,eligible_for_interpretation
EDGE_COMPOUND,EARLY_CLEAN,5,24196,0.4623078194742933,-0.002415853876216703,-0.002386836544405413,-0.02318304650832026,0.01711840228245365,True
EDGE_COMPOUND,EARLY_CLEAN,10,24180,0.4445409429280397,-0.004453621525706645,-0.005035472153096965,-0.033215355295399096,0.022137195955179045,True
EDGE_COMPOUND,EARLY_CLEAN,20,24138,0.43586875466070096,-0.008208803000893296,-0.009209315657710992,-0.05125000000000002,0.031737295909007424,True
EDGE_COMPOUND,ESTABLISHED_WITHOUT_EXHAUSTION,5,63699,0.4577779870955588,-0.00366681465129039,-0.00353393618127007,-0.029857397504456262,0.022234833725795822,True
EDGE_COMPOUND,ESTABLISHED_WITHOUT_EXHAUSTION,10,63653,0.4360674280866573,-0.00742812728535272,-0.00796359499431154,-0.04512648538310149,0.028862478777589073,True
EDGE_COMPOUND,ESTABLISHED_WITHOUT_EXHAUSTION,20,63573,0.4222075409371903,-0.015588157022190822,-0.014015626385037283,-0.06757788107958107,0.0387957163063245,True
EDGE_COMPOUND,LATE_EXHAUSTION,5,17755,0.4622359898620107,-0.011365941203921424,-0.00451059990978786,-0.04318936877076429,0.03187855787476279,True
EDGE_COMPOUND,LATE_EXHAUSTION,10,17743,0.4355520486952601,-0.021387481057767575,-0.012195121951219523,-0.0641210374639769,0.0403654132143616,True
EDGE_COMPOUND,LATE_EXHAUSTION,20,17711,0.4133024673931455,-0.1343780204353087,-0.02420856610800759,-0.10022209883398103,0.05128205128205132,True
EDGE_COMPOUND,LATE_STRONG_ALIGNMENT,5,21450,0.4639160839160839,-0.009665271131281133,-0.003636966007089959,-0.03685018644439575,0.027904406686006245,True
EDGE_COMPOUND,LATE_STRONG_ALIGNMENT,10,21431,0.43693714712332604,-0.018190771602253967,-0.009996775233795496,-0.05569383945239581,0.035295907500380475,True
EDGE_COMPOUND,LATE_STRONG_ALIGNMENT,20,21389,0.41666277058300993,-0.1119300038055531,-0.019969701143093266,-0.08619749045280978,0.045228215767634805,True
LIFECYCLE,EARLY_TRANSITION,5,51754,0.4639061715036519,-0.06002571583935062,-0.0030119040701679367,-0.02925877763328999,0.022408963585434205,True
LIFECYCLE,EARLY_TRANSITION,10,51723,0.4491232140440423,-0.0606719792208938,-0.006136145733461218,-0.042318193100024715,0.029149694501018453,True
LIFECYCLE,EARLY_TRANSITION,20,51632,0.43769367833901457,-0.06530250749518272,-0.011377874424575718,-0.06471421823334889,0.04072948328267478,True
LIFECYCLE,ESTABLISHED,5,68455,0.4595865897304799,-0.003642129492933545,-0.003477001086562792,-0.03061705134243997,0.023149471277507883,True
LIFECYCLE,ESTABLISHED,10,68409,0.43697466707596955,-0.0073569931054758295,-0.008067940552016983,-0.046416110262527344,0.03013863773357439,True
