candidate_id,horizon_sessions,status,count,accuracy,mean,median,p25,p75,baseline_accuracy,baseline_median,accuracy_delta_vs_all_bearish_dev,median_delta_vs_all_bearish_dev
H1_FRESH_DOWNSIDE_TRANSITION,5,EVALUATED,10341,0.4489894594333237,-0.003389133848357018,-0.0034572169403628283,-0.02445777572681118,0.01658090337335616,0.46234231344879195,-0.003041979439649012,-0.013352854015468263,-0.0004152375007138165
H1_FRESH_DOWNSIDE_TRANSITION,10,EVALUATED,10341,0.43216323372981336,-0.005887023403011255,-0.006613210274741599,-0.03635412580096764,0.022004889975550057,0.4457184092366902,-0.006643692200314022,-0.013555175506876849,3.048192557242313e-05
H1_FRESH_DOWNSIDE_TRANSITION,20,EVALUATED,10341,0.4174644618508848,-0.010036552016511832,-0.011946241911398703,-0.055042075845810556,0.030443606842563198,0.43223487278169764,-0.012117228277804815,-0.014770410930812827,0.00017098636640611176
H2_BREAKDOWN_INITIATION,5,EVALUATED,737,0.5169606512890095,0.010147975415672455,0.0024075012671058715,-0.029876927486732985,0.03929618768328447,0.46234231344879195,-0.003041979439649012,0.054618337840217523,0.005449480706754883
H2_BREAKDOWN_INITIATION,10,EVALUATED,737,0.5128900949796472,0.008138422575164067,0.0019438355597832802,-0.046067255716611966,0.05794947994056465,0.4457184092366902,-0.006643692200314022,0.06717168574295701,0.008587527760097302
H2_BREAKDOWN_INITIATION,20,EVALUATED,737,0.49525101763907736,0.010977703439287988,-0.0006694129763131773,-0.06586447118429373,0.07804309842748991,0.43223487278169764,-0.012117228277804815,0.06301614485737972,0.011447815301491637
H3_CONTINUATION_WITHOUT_EXHAUSTION,5,EVALUATED,34094,0.4500498621458321,-0.002823923655730693,-0.0031732996440255734,-0.02312569936590836,0.016628995802389412,0.46234231344879195,-0.003041979439649012,-0.012292451302959861,-0.00013132020437656156
H3_CONTINUATION_WITHOUT_EXHAUSTION,10,EVALUATED,34094,0.43561917052853877,-0.005020799511920143,-0.0060301507537688925,-0.034585347712904335,0.021957340025094085,0.4457184092366902,-0.006643692200314022,-0.010099238708151437,0.0006135414465451294
H3_CONTINUATION_WITHOUT_EXHAUSTION,20,EVALUATED,34094,0.41675954713439317,-0.010126853927016996,-0.011721316833113504,-0.052605942523136884,0.028472731079242086,0.43223487278169764,-0.012117228277804815,-0.015475325647304472,0.00039591144469131034
H4_REMAINING_STRUCTURAL_DOWNSIDE_ROOM,5,REGISTERED_BUT_NOT_EVALUABLE_FROM_7_4_6_EVIDENCE,0,,,,,,0.46234231344879195,-0.003041979439649012,,
H4_REMAINING_STRUCTURAL_DOWNSIDE_ROOM,10,REGISTERED_BUT_NOT_EVALUABLE_FROM_7_4_6_EVIDENCE,0,,,,,,0.4457184092366902,-0.006643692200314022,,
H4_REMAINING_STRUCTURAL_DOWNSIDE_ROOM,20,REGISTERED_BUT_NOT_EVALUABLE_FROM_7_4_6_EVIDENCE,0,,,,,,0.43223487278169764,-0.012117228277804815,,
