symbol,asset_type,cadence,horizon_sessions,replayed_profile_count,native_not_eligible_count,matured_count,not_matured_count,directional_evaluable_count,directional_hit_count,directional_accuracy,mean_forward_return,median_forward_return,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,source_data_sha256,replay_result_sha256,outcome_sha256
A,EQUITY,WEEKLY,5,1136,0,1135,1,930,473,0.5086021505376344,0.0027650248248521506,0.003413475808845323,630,0.5253968253968254,300,0.47333333333333333,205,343e2597d0673ba4643dd12fd4d5bb4404d9976dd7f06c32c7294552bb391989,484e756c2f8be23a4fa9f75175aec77472b0acc5386e388b60738bdcc63a110f,53b1708f0b29d04c03a8faf79db339459ae07961063735b2770009b70f3b1711
A,EQUITY,WEEKLY,10,1136,0,1134,2,929,475,0.511302475780409,0.00529109093751508,0.007640161020376457,629,0.5548489666136724,300,0.42,205,343e2597d0673ba4643dd12fd4d5bb4404d9976dd7f06c32c7294552bb391989,484e756c2f8be23a4fa9f75175aec77472b0acc5386e388b60738bdcc63a110f,53b1708f0b29d04c03a8faf79db339459ae07961063735b2770009b70f3b1711
A,EQUITY,WEEKLY,20,1136,0,1132,4,927,479,0.5167206040992449,0.010130752803433268,0.01553101116481903,627,0.583732057416268,300,0.37666666666666665,205,343e2597d0673ba4643dd12fd4d5bb4404d9976dd7f06c32c7294552bb391989,484e756c2f8be23a4fa9f75175aec77472b0acc5386e388b60738bdcc63a110f,53b1708f0b29d04c03a8faf79db339459ae07961063735b2770009b70f3b1711
AAPL,EQUITY,WEEKLY,5,1136,0,1135,1,925,515,0.5567567567567567,0.0065498530448980085,0.007424947145877603,742,0.5835579514824798,183,0.44808743169398907,210,fd6280df30da99e8ec78687a32b87345369342917524da89d58176773c4f0b30,bb2e0b5e630f132b4bc9c6017ef4bd14fdcfec679430f66d46476b6c1b0b197b,20c0a12a4063206c9771138f3a951a6aaf68203c324641b0d3b9ca16ba110dcb
AAPL,EQUITY,WEEKLY,10,1136,0,1134,2,925,528,0.5708108108108109,0.012525735884981319,0.014040018141098232,742,0.6091644204851752,183,0.41530054644808745,209,fd6280df30da99e8ec78687a32b87345369342917524da89d58176773c4f0b30,bb2e0b5e630f132b4bc9c6017ef4bd14fdcfec679430f66d46476b6c1b0b197b,20c0a12a4063206c9771138f3a951a6aaf68203c324641b0d3b9ca16ba110dcb
AAPL,EQUITY,WEEKLY,20,1136,0,1132,4,924,547,0.591991341991342,0.024825549235489974,0.02848081009812775,741,0.6369770580296896,183,0.4098360655737705,208,fd6280df30da99e8ec78687a32b87345369342917524da89d58176773c4f0b30,bb2e0b5e630f132b4bc9c6017ef4bd14fdcfec679430f66d46476b6c1b0b197b,20c0a12a4063206c9771138f3a951a6aaf68203c324641b0d3b9ca16ba110dcb
ABBV,EQUITY,WEEKLY,5,650,0,649,1,538,281,0.5223048327137546,0.0030642783262843703,0.0033810555232711703,375,0.568,163,0.4171779141104294,111,74018d92bd6fd31d558bdf560aff0763e30a12353a0388d2680c501e6843df0f,3db4f4cbaf303db6f1f98990cc9fa98d5f54434e9dee1753bf0f689dc577ce2f,3443e18853e4b1cc41695c20ca4700da0b91a08aecc8f223c2ad27df51de5126
ABBV,EQUITY,WEEKLY,10,650,0,648,2,537,269,0.5009310986964618,0.005977181292277016,0.006953972067878067,374,0.5641711229946524,163,0.3558282208588957,111,74018d92bd6fd31d558bdf560aff0763e30a12353a0388d2680c501e6843df0f,3db4f4cbaf303db6f1f98990cc9fa98d5f54434e9dee1753bf0f689dc577ce2f,3443e18853e4b1cc41695c20ca4700da0b91a08aecc8f223c2ad27df51de5126
ABBV,EQUITY,WEEKLY,20,650,0,646,4,536,280,0.5223880597014925,0.011950480010393581,0.011825625346296942,373,0.5710455764075067,163,0.4110429447852761,110,74018d92bd6fd31d558bdf560aff0763e30a12353a0388d2680c501e6843df0f,3db4f4cbaf303db6f1f98990cc9fa98d5f54434e9dee1753bf0f689dc577ce2f,3443e18853e4b1cc41695c20ca4700da0b91a08aecc8f223c2ad27df51de5126
ABNB,EQUITY,WEEKLY,5,236,0,235,1,181,77,0.425414364640884,0.0020383215865631575,0.005837198144890587,89,0.43820224719101125,92,0.41304347826086957,54,1c97409c1f59030e1be5ffccdc457976e4975fb750b2e43f39f982a1df621d32,00d9fab780a0bd2e5d7b30ae023cd471f6d58c5717697f2e7f90892e7a1c2ff4,76b875a75ae429c8bf036ab292b222900e1f60ef2f432535f0e71b45918eb42f
