id,domain,name,source,type,transform,missing
F001,PRICE_TREND_AND_MOMENTUM,overall_score,native_replay_row.overall_score,continuous,RAW,FAIL_ROW_IF_REPLAYED_AND_MISSING
F002,PRICE_TREND_AND_MOMENTUM,profile_confidence,profile.confidence,continuous,RAW,FAIL_ROW_IF_REPLAYED_AND_MISSING
F003,PRICE_TREND_AND_MOMENTUM,direction_state,profile.direction,categorical,FIXED_ENUM_ONE_HOT_LATER,UNKNOWN_CATEGORY
F010,MULTITIMEFRAME_ALIGNMENT,alignment_score,profile.alignment_score,continuous,RAW,EXPLICIT_NULL
F011,MULTITIMEFRAME_ALIGNMENT,primary_timeframe,profile.primary_timeframe,categorical,FIXED_ENUM_ONE_HOT_LATER,UNKNOWN_CATEGORY
F012,MULTITIMEFRAME_ALIGNMENT,timeframe_states_payload,profile.timeframe_states,structured,FLATTEN_PREDECLARED_NUMERIC_AND_ENUM_FIELDS_ONLY,EXPLICIT_MISSINGNESS_FLAGS
F020,VOLATILITY_AND_RANGE,atr_1d,profile.timeframe_states.1d.*ATR_NATIVE_FIELD*,continuous,RAW_IF_NATIVE_FIELD_PRESENT,EXPLICIT_MISSINGNESS_FLAG
F021,VOLATILITY_AND_RANGE,atr_normalized,same_as_of_ATR/reference_price,continuous,ATR_DIV_REFERENCE_PRICE,EXPLICIT_MISSINGNESS_FLAG
F030,SUPPORT_RESISTANCE_AND_STRUCTURE,nearest_support_distance_pct,profile.support_levels + same_as_of_reference_price,continuous,SIGNED_DISTANCE_TO_NEAREST_LEVEL,EXPLICIT_MISSINGNESS_FLAG
F031,SUPPORT_RESISTANCE_AND_STRUCTURE,nearest_resistance_distance_pct,profile.resistance_levels + same_as_of_reference_price,continuous,SIGNED_DISTANCE_TO_NEAREST_LEVEL,EXPLICIT_MISSINGNESS_FLAG
F032,SUPPORT_RESISTANCE_AND_STRUCTURE,support_level_count,profile.support_levels,count,COUNT,ZERO_IF_EMPTY_LIST
F033,SUPPORT_RESISTANCE_AND_STRUCTURE,resistance_level_count,profile.resistance_levels,count,COUNT,ZERO_IF_EMPTY_LIST
F040,BREAKOUT_BREAKDOWN_STATE,breakout_state,profile.breakout.state,categorical,FIXED_ENUM_ONE_HOT_LATER,UNKNOWN_CATEGORY
F050,PARTICIPATION_AND_VOLUME,participation_state,profile.participation.state,categorical,FIXED_ENUM_ONE_HOT_LATER,UNKNOWN_CATEGORY
F051,PARTICIPATION_AND_VOLUME,institutional_volume_state,profile.institutional_volume,structured,FLATTEN_PREDECLARED_NUMERIC_AND_ENUM_FIELDS_ONLY,EXPLICIT_MISSINGNESS_FLAGS
F060,MARKET_REGIME_AND_BREADTH,breadth_bullish_fraction,m77_19_7_4_16.breadth_bullish_fraction,continuous,RAW,EXPLICIT_MISSINGNESS_FLAG
F061,MARKET_REGIME_AND_BREADTH,breadth_bearish_fraction,m77_19_7_4_16.breadth_bearish_fraction,continuous,RAW,EXPLICIT_MISSINGNESS_FLAG
F062,MARKET_REGIME_AND_BREADTH,spy_return_13w,m77_19_7_4_16.spy_return_13w,continuous,RAW,EXPLICIT_MISSINGNESS_FLAG
F063,MARKET_REGIME_AND_BREADTH,spy_return_26w,m77_19_7_4_16.spy_return_26w,continuous,RAW,EXPLICIT_MISSINGNESS_FLAG
F064,MARKET_REGIME_AND_BREADTH,spy_realized_vol_26w,m77_19_7_4_16.spy_realized_vol_26w_annualized,continuous,RAW,EXPLICIT_MISSINGNESS_FLAG
F065,MARKET_REGIME_AND_BREADTH,spy_drawdown_52w,m77_19_7_4_16.spy_drawdown_from_52w_peak,continuous,RAW,EXPLICIT_MISSINGNESS_FLAG
F070,RELATIVE_STRENGTH_VS_MARKET_AND_SECTOR,relative_strength_vs_spy_proxy,same_as_of symbol trailing return minus SPY trailing return,continuous,FIXED_13W_AND_26W_LATER,EXPLICIT_MISSINGNESS_FLAG
F071,RELATIVE_STRENGTH_VS_MARKET_AND_SECTOR,relative_strength_vs_sector,PIT_SECTOR_BENCHMARK_REQUIRED,continuous,NOT_MATERIALIZED_UNTIL_SECTOR_PIT_AUTHORITY_EXISTS,NOT_AVAILABLE_AUTHORITY_BLOCKED
F080,DRAW_DOWN_AND_DISTANCE_FROM_EXTREMES,symbol_drawdown_from_52w_peak,frozen symbol daily history prefix,continuous,CURRENT_CLOSE_DIV_TRAILING_52W_PEAK_MINUS_1,EXPLICIT_MISSINGNESS_FLAG
F081,DRAW_DOWN_AND_DISTANCE_FROM_EXTREMES,distance_from_52w_low,frozen symbol daily history prefix,continuous,CURRENT_CLOSE_DIV_TRAILING_52W_LOW_MINUS_1,EXPLICIT_MISSINGNESS_FLAG
F090,STATE_TRANSITION_AND_PERSISTENCE,direction_state_age_observations,prior PIT replay direction states only,count,RUN_LENGTH,ZERO_AT_FIRST_OBSERVATION
F091,STATE_TRANSITION_AND_PERSISTENCE,direction_changed_from_prior,prior PIT replay direction state only,boolean,BOOLEAN,FALSE_AT_FIRST_OBSERVATION
