feature_id,feature_name,domain,materialization_state,present_count,missing_count,blocked_reason
F001,overall_score,PRICE_TREND_AND_MOMENTUM,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F002,profile_confidence,PRICE_TREND_AND_MOMENTUM,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F003,direction_state,PRICE_TREND_AND_MOMENTUM,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F010,alignment_score,MULTITIMEFRAME_ALIGNMENT,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F011,primary_timeframe,MULTITIMEFRAME_ALIGNMENT,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F012,timeframe_states_payload,MULTITIMEFRAME_ALIGNMENT,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,STRUCTURED_TIMEFRAME_FIELD_FLATTENING_NOT_YET_PREREGISTERED
F020,atr_1d,VOLATILITY_AND_RANGE,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,NATIVE_ATR_FIELD_PATH_NOT_YET_CERTIFIED
F021,atr_normalized,VOLATILITY_AND_RANGE,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,REFERENCE_PRICE_AND_ATR_EXTRACTOR_NOT_YET_CERTIFIED
F030,nearest_support_distance_pct,SUPPORT_RESISTANCE_AND_STRUCTURE,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,REFERENCE_PRICE_LEVEL_DISTANCE_EXTRACTOR_NOT_YET_CERTIFIED
F031,nearest_resistance_distance_pct,SUPPORT_RESISTANCE_AND_STRUCTURE,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,REFERENCE_PRICE_LEVEL_DISTANCE_EXTRACTOR_NOT_YET_CERTIFIED
F032,support_level_count,SUPPORT_RESISTANCE_AND_STRUCTURE,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F033,resistance_level_count,SUPPORT_RESISTANCE_AND_STRUCTURE,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F040,breakout_state,BREAKOUT_BREAKDOWN_STATE,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F050,participation_state,PARTICIPATION_AND_VOLUME,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F051,institutional_volume_state,PARTICIPATION_AND_VOLUME,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,STRUCTURED_INSTITUTIONAL_VOLUME_FIELD_FLATTENING_NOT_YET_PREREGISTERED
F060,breadth_bullish_fraction,MARKET_REGIME_AND_BREADTH,MATERIALIZED_WHEN_SOURCE_PRESENT,303665,24,
F061,breadth_bearish_fraction,MARKET_REGIME_AND_BREADTH,MATERIALIZED_WHEN_SOURCE_PRESENT,303665,24,
F062,spy_return_13w,MARKET_REGIME_AND_BREADTH,MATERIALIZED_WHEN_SOURCE_PRESENT,299086,4603,
F063,spy_return_26w,MARKET_REGIME_AND_BREADTH,MATERIALIZED_WHEN_SOURCE_PRESENT,294445,9244,
F064,spy_realized_vol_26w,MARKET_REGIME_AND_BREADTH,MATERIALIZED_WHEN_SOURCE_PRESENT,294445,9244,
F065,spy_drawdown_52w,MARKET_REGIME_AND_BREADTH,MATERIALIZED_WHEN_SOURCE_PRESENT,303665,24,
F070,relative_strength_vs_spy_proxy,RELATIVE_STRENGTH_VS_MARKET_AND_SECTOR,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,SYMBOL_TRAILING_RETURN_EXTRACTOR_NOT_YET_CERTIFIED
F071,relative_strength_vs_sector,RELATIVE_STRENGTH_VS_MARKET_AND_SECTOR,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,PIT_SECTOR_BENCHMARK_AUTHORITY_NOT_AVAILABLE
F080,symbol_drawdown_from_52w_peak,DRAW_DOWN_AND_DISTANCE_FROM_EXTREMES,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,SYMBOL_52W_PREFIX_EXTREME_EXTRACTOR_NOT_YET_CERTIFIED
F081,distance_from_52w_low,DRAW_DOWN_AND_DISTANCE_FROM_EXTREMES,AUTHORITY_BLOCKED_NULL_WITH_MISSINGNESS,0,303689,SYMBOL_52W_PREFIX_EXTREME_EXTRACTOR_NOT_YET_CERTIFIED
F090,direction_state_age_observations,STATE_TRANSITION_AND_PERSISTENCE,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
F091,direction_changed_from_prior,STATE_TRANSITION_AND_PERSISTENCE,MATERIALIZED_WHEN_SOURCE_PRESENT,303689,0,
