symbol,relative_path,sha256,fieldnames,date_candidates,close_candidates
A,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/A.daily.csv.gz,343e2597d0673ba4643dd12fd4d5bb4404d9976dd7f06c32c7294552bb391989,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AAPL,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AAPL.daily.csv.gz,fd6280df30da99e8ec78687a32b87345369342917524da89d58176773c4f0b30,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ABBV,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ABBV.daily.csv.gz,74018d92bd6fd31d558bdf560aff0763e30a12353a0388d2680c501e6843df0f,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ABNB,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ABNB.daily.csv.gz,1c97409c1f59030e1be5ffccdc457976e4975fb750b2e43f39f982a1df621d32,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ABT,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ABT.daily.csv.gz,5fff59f165586936500c5232f7c8fd7c731f083863cdab65c10ec88b6cefd9d4,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ACGL,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ACGL.daily.csv.gz,cd6a7c0911ba708d98904b25b66a5a046f6f3dd428deb875aed8c00e297948a1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ACN,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ACN.daily.csv.gz,a426689dfa5cc131cb4c913071cb7f98f9138e2412f7d45fb059f6174c580cf4,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ADBE,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ADBE.daily.csv.gz,ee6d23cbe58cd60511d126685dd3d282cede60e48411a25ae679fdea9365895e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ADI,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ADI.daily.csv.gz,338abd5fa6bf6e3ffce105dd8cf1b3237a7542508baf930b1a9319ef44d13bfa,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ADM,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ADM.daily.csv.gz,36bef5cbb802e3a632702eea9927ba8b39cbc032f6bfe0d855b76ba7064863e1,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
