feature_id,path,observation_count,observed_types,whitelisted,decision_reason
F012,1d.atr,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.close,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.confidence,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.direction,303689,string,True,STRUCTURALLY_ELIGIBLE
F012,1d.efficiency_ratio,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.evidence.ema21,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.evidence.ema50,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.evidence.ema8,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.evidence.return10_pct,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.momentum_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.realized_volatility,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1d.structure,303689,string,True,STRUCTURALLY_ELIGIBLE
F012,1d.timeframe,303689,string,True,STRUCTURALLY_ELIGIBLE
F012,1d.trend_strength,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.atr,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.close,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.confidence,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.direction,293628,string,True,STRUCTURALLY_ELIGIBLE
F012,1mo.efficiency_ratio,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.evidence.ema21,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.evidence.ema50,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.evidence.ema8,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.evidence.return10_pct,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.momentum_score,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.realized_volatility,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1mo.structure,293628,string,True,STRUCTURALLY_ELIGIBLE
F012,1mo.timeframe,293628,string,True,STRUCTURALLY_ELIGIBLE
F012,1mo.trend_strength,293628,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.atr,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.close,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.confidence,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.direction,303689,string,True,STRUCTURALLY_ELIGIBLE
F012,1w.efficiency_ratio,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.evidence.ema21,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.evidence.ema50,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.evidence.ema8,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.evidence.return10_pct,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.momentum_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.realized_volatility,303689,number,True,STRUCTURALLY_ELIGIBLE
F012,1w.structure,303689,string,True,STRUCTURALLY_ELIGIBLE
F012,1w.timeframe,303689,string,True,STRUCTURALLY_ELIGIBLE
F012,1w.trend_strength,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,absorption_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,accumulation_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,breakdown_confirmation_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,breakout_confirmation_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,close_location_value,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,distribution_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,dry_up_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.absorption_side,303689,string,True,STRUCTURALLY_ELIGIBLE
F051,evidence.average_volume_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.average_volume_60d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.climactic_volume,303689,bool,True,STRUCTURALLY_ELIGIBLE
F051,evidence.cmf_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.dry_up_ratio_5d_vs_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.elevated_volume_sessions_10d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.price_change_1d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.price_return_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.range_ratio_vs_20d_median,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.signed_volume_flow_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,evidence.version,303689,string,True,STRUCTURALLY_ELIGIBLE
F051,evidence.volume_1d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,institutional_participation_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,persistence_score,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,regime,303689,string,True,STRUCTURALLY_ELIGIBLE
F051,relative_volume_1d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,relative_volume_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,relative_volume_5d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,signal,303689,string,True,STRUCTURALLY_ELIGIBLE
F051,up_down_volume_ratio_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,volume_percentile_60d,303689,number,True,STRUCTURALLY_ELIGIBLE
F051,volume_zscore_20d,303689,number,True,STRUCTURALLY_ELIGIBLE
