symbol,classification,first_validation_observation,last_validation_observation,validation_observation_count,first_daily_session,last_daily_session,prior_daily_session_count_before_first_validation_observation,required_prior_sessions,first_validation_observation_present_in_daily,last_validation_observation_present_in_daily,covers_actual_observation_window,has_required_prior_sessions,exact_symbol_window_sufficient,starts_after_global_validation_start,ends_before_global_validation_end
ABNB,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-02-18,2022-12-30,46,2020-12-10,2026-08-21,300,260,True,True,True,True,True,True,False
AMCR,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-08-21,2022-12-30,124,2019-06-11,2026-08-21,303,260,True,True,True,True,True,True,False
APP,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-06-24,2022-12-30,28,2021-04-15,2026-08-21,301,260,True,True,True,True,True,True,False
AXON,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-04-01,2022-12-30,40,2021-01-26,2026-08-21,299,260,True,True,True,True,True,True,False
BITO,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-12-30,2022-12-30,1,2021-10-19,2026-08-21,302,260,True,True,True,True,True,True,False
BKNG,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-05-10,2022-12-30,191,2018-02-27,2026-08-21,302,260,True,True,True,True,True,True,False
BKR,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-12-24,2022-12-30,106,2019-10-18,2026-08-21,299,260,True,True,True,True,True,True,False
CARR,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-06-11,2022-12-30,82,2020-04-03,2026-08-21,299,260,True,True,True,True,True,True,False
CBRE,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-05-31,2022-12-30,188,2018-03-20,2026-08-21,301,260,True,True,True,True,True,True,False
CCEP,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-01-17,2022-12-30,155,2018-11-07,2026-08-21,299,260,True,True,True,True,True,True,False
COIN,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-06-24,2022-12-30,28,2021-04-14,2026-08-21,302,260,True,True,True,True,True,True,False
CRWD,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-08-21,2022-12-30,124,2019-06-12,2026-08-21,302,260,True,True,True,True,True,True,False
CTVA,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-08-07,2022-12-30,126,2019-06-03,2026-08-21,299,260,True,True,True,True,True,True,False
DASH,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-02-18,2022-12-30,46,2020-12-09,2026-08-21,301,260,True,True,True,True,True,True,False
DDOG,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-11-27,2022-12-30,110,2019-09-19,2026-08-21,301,260,True,True,True,True,True,True,False
DELL,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-03-13,2022-12-30,147,2018-12-28,2026-08-21,303,260,True,True,True,True,True,True,False
DOW,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-06-12,2022-12-30,134,2019-04-02,2026-08-21,302,260,True,True,True,True,True,True,False
EVRG,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-08-16,2022-12-30,177,2018-06-05,2026-08-21,302,260,True,True,True,True,True,True,False
FOX,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-05-29,2022-12-30,136,2019-03-19,2026-08-21,302,260,True,True,True,True,True,True,False
FOXA,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-05-08,2022-12-30,139,2019-02-27,2026-08-21,302,260,True,True,True,True,True,True,False
HOOD,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-10-07,2022-12-30,13,2021-07-29,2026-08-21,301,260,True,True,True,True,True,True,False
HWM,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-06-11,2022-12-30,82,2020-04-01,2026-08-21,301,260,True,True,True,True,True,True,False
J,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-02-19,2022-12-30,98,2019-12-10,2026-08-21,300,260,True,True,True,True,True,True,False
JEPI,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-07-30,2022-12-30,75,2020-05-21,2026-08-21,300,260,True,True,True,True,True,True,False
KDP,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-09-20,2022-12-30,172,2018-07-10,2026-08-21,302,260,True,True,True,True,True,True,False
LHX,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-09-04,2022-12-30,122,2019-07-01,2026-08-21,299,260,True,True,True,True,True,True,False
MRNA,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-02-21,2022-12-30,150,2018-12-07,2026-08-21,302,260,True,True,True,True,True,True,False
OTIS,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-06-11,2022-12-30,82,2020-04-03,2026-08-21,299,260,True,True,True,True,True,True,False
PDD,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-10-04,2022-12-30,170,2018-07-26,2026-08-21,300,260,True,True,True,True,True,True,False
PLTR,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-12-10,2022-12-30,56,2020-09-30,2026-08-21,302,260,True,True,True,True,True,True,False
QQQM,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-12-23,2022-12-30,54,2020-10-13,2026-08-21,302,260,True,True,True,True,True,True,False
RKLB,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-11-04,2022-12-30,9,2021-08-25,2026-08-21,302,260,True,True,True,True,True,True,False
UBER,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2020-07-17,2022-12-30,129,2019-05-10,2026-08-21,299,260,True,True,True,True,True,True,False
VICI,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-04-12,2022-12-30,195,2018-02-01,2026-08-21,300,260,True,True,True,True,True,True,False
VRT,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2021-04-23,2022-12-30,89,2020-02-10,2026-08-21,303,260,True,True,True,True,True,True,False
VTRS,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2022-01-28,2022-12-30,49,2020-11-17,2026-08-21,301,260,True,True,True,True,True,True,False
WELL,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-05-10,2022-12-30,191,2018-02-28,2026-08-21,301,260,True,True,True,True,True,True,False
XLC,GLOBAL_WINDOW_FALSE_POSITIVE_SYMBOL_SPECIFIC_HISTORY_SUFFICIENT,2019-08-30,2022-12-30,175,2018-06-19,2026-08-21,302,260,True,True,True,True,True,True,False
