source,candidate_type,name,lineno,end_lineno,tags,source_sha256
MF2_DEVELOPMENT,NESTED_FUNCTION,save_checkpoint,206,215,MONOTONIC,5fbef505c9552e01fd450594d9e1cf1c77f5531c6e2c38d4ce48408927a2bd4c
MF2_DEVELOPMENT,INLINE_MAIN_CALL,ap.add_argument,160,160,MONOTONIC,1da85e4b14a2cc3cf0837eff10d6fae8ad828c9c651f0a06ab478ddcda273f9b
MF2_DEVELOPMENT,INLINE_MAIN_CALL,selected.append,269,269,BALANCED_ACCURACY|MONOTONIC|SPLINE,b15f1662894ad1269b27b12eb602050b70b49d54fe5b8df150520375c89e6541
MF2_DEVELOPMENT,INLINE_MAIN_CALL,int,185,185,MONOTONIC,653c9425f7a90974e160bcf0021f7fc33a30d4c9992ab6b39b1f4d636fee5b06
MF2_DEVELOPMENT,INLINE_MAIN_CALL,len,203,203,SPLINE,8f2bd7cdfb6b6e4409bd30dadf0fa4ae30d5dde77963edcd332c66f7dc48fd0c
MF2_DEVELOPMENT,INLINE_MAIN_CALL,append,258,258,BALANCED_ACCURACY|SPLINE,05214fa0a7808871a4d3ad0c92e5d41fc951c0a57628ab38786eba0e9b721715
MF2_DEVELOPMENT,INLINE_MAIN_CALL,stability.append,267,267,BALANCED_ACCURACY|SPLINE,a66e40dc81b5d75a0dc24e23c510ca3beedef40c71028de6d7ebdc788f4cb7bc
MF2_DEVELOPMENT,INLINE_MAIN_CALL,fit,240,240,FIT|MONOTONIC,73895af0fac512b858e14d5c0ef12168a710cb958c9068dcb958e2f735f45757
MF2_DEVELOPMENT,INLINE_MAIN_CALL,evidence.append,243,243,BALANCED_ACCURACY|MONOTONIC|SPLINE,0f71dd189de928248df3ab9fdd3319bcfed706d933aceca33363725503a8e74d
MF2_DEVELOPMENT,INLINE_MAIN_CALL,CertifiedMonotonicGAM,240,240,MONOTONIC,bec63d2771b5721404a167e8ba8d923f7c06e84fe0330f8883bd032575541fc2
MF2_DEVELOPMENT,INLINE_MAIN_CALL,int,258,258,SPLINE,3606c5a0ed2c554c5cfeb37220e47cdae3734a088a9c7f2411528dcaa87a8d2a
MF2_RUNTIME,INLINE_MAIN_CALL,ap.add_argument,31,31,MONOTONIC,a0d0b521751eb71f89694fada8385018ada2399f040fd070ee734709c90048c2
MF2_RUNTIME,INLINE_MAIN_CALL,print,91,91,LBFGSB|SPLINE,4207cbe0ffe9d094042063922477f0c0333104e128f813730c76ac75f13d0fd5
