record_type,module,imported,local_name,lineno,module_file,module_file_sha256,class_found,class_source_sha256
IMPORT,__future__,annotations,annotations,2,,,,
IMPORT,argparse,,argparse,3,,,,
IMPORT,csv,,csv,3,,,,
IMPORT,gzip,,gzip,3,,,,
IMPORT,hashlib,,hashlib,3,,,,
IMPORT,json,,json,3,,,,
IMPORT,math,,math,3,,,,
IMPORT,os,,os,3,,,,
IMPORT,tempfile,,tempfile,3,,,,
IMPORT,time,,time,3,,,,
IMPORT,collections,defaultdict,defaultdict,4,,,,
IMPORT,pathlib,Path,Path,5,,,,
IMPORT,numpy,,np,6,,,,
