partition,horizon,status,direction_label,count
DEVELOPMENT,5,'MATURED','DOWN',139028
DEVELOPMENT,5,'MATURED','UP',162496
DEVELOPMENT,5,'MATURED','ZERO',1086
DEVELOPMENT,5,'PURGED_PARTITION_OVERLAP',<NULL>,1038
DEVELOPMENT,5,'SYMBOL_TARGET_SESSION_MISSING',<NULL>,41
DEVELOPMENT,10,'MATURED','DOWN',134438
DEVELOPMENT,10,'MATURED','UP',166888
DEVELOPMENT,10,'MATURED','ZERO',753
DEVELOPMENT,10,'PURGED_PARTITION_OVERLAP',<NULL>,1557
DEVELOPMENT,10,'SYMBOL_TARGET_SESSION_MISSING',<NULL>,53
DEVELOPMENT,20,'MATURED','DOWN',128032
DEVELOPMENT,20,'MATURED','UP',172473
DEVELOPMENT,20,'MATURED','ZERO',507
DEVELOPMENT,20,'PURGED_PARTITION_OVERLAP',<NULL>,2595
DEVELOPMENT,20,'SYMBOL_TARGET_SESSION_MISSING',<NULL>,82
