partition,horizon,status,direction_label,eligibility,count
DEVELOPMENT,5,MATURED,DOWN,TARGET_MATERIALIZED,139028
DEVELOPMENT,5,MATURED,UP,TARGET_MATERIALIZED,162496
DEVELOPMENT,5,MATURED,ZERO,TARGET_MATERIALIZED,1086
VALIDATION,5,MATURED_BY_10_6_AUTHORITY,UP,TARGET_MATERIALIZED,74681
VALIDATION,5,MATURED_BY_10_6_AUTHORITY,DOWN,TARGET_MATERIALIZED,65503
VALIDATION,5,MATURED_BY_10_6_AUTHORITY,ZERO,TARGET_MATERIALIZED,246
DEVELOPMENT,10,MATURED,DOWN,TARGET_MATERIALIZED,134438
DEVELOPMENT,10,MATURED,UP,TARGET_MATERIALIZED,166888
DEVELOPMENT,10,MATURED,ZERO,TARGET_MATERIALIZED,753
VALIDATION,10,MATURED_BY_10_6_AUTHORITY,UP,TARGET_MATERIALIZED,76440
VALIDATION,10,MATURED_BY_10_6_AUTHORITY,DOWN,TARGET_MATERIALIZED,63210
VALIDATION,10,MATURED_BY_10_6_AUTHORITY,ZERO,TARGET_MATERIALIZED,212
DEVELOPMENT,20,MATURED,DOWN,TARGET_MATERIALIZED,128032
DEVELOPMENT,20,MATURED,UP,TARGET_MATERIALIZED,172473
DEVELOPMENT,20,MATURED,ZERO,TARGET_MATERIALIZED,507
VALIDATION,20,MATURED_BY_10_6_AUTHORITY,DOWN,TARGET_MATERIALIZED,61825
VALIDATION,20,MATURED_BY_10_6_AUTHORITY,UP,TARGET_MATERIALIZED,76780
VALIDATION,20,MATURED_BY_10_6_AUTHORITY,ZERO,TARGET_MATERIALIZED,121
