column_name,source_path,monotonic_sign,sign_meaning,authority_reason,outcomes_used
F001,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F002,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F003,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F010,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F011,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F020,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F021,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F030,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F031,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F032,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F033,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F040,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F050,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F060,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F061,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F062,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F063,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F064,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F065,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F080,,1,NONDECREASING_UP_PROBABILITY,EXACT_EX_ANTE_RULE,False
F081,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F090,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F091,,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F070__rs_13w,,1,NONDECREASING_UP_PROBABILITY,EXACT_EX_ANTE_RULE,False
F070__rs_26w,,1,NONDECREASING_UP_PROBABILITY,EXACT_EX_ANTE_RULE,False
F012__1d__atr,1d.atr,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F012__1d__close,1d.close,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
