seed,quantile,alpha,l1_ratio,reference_objective,scalable_objective,relative_objective_gap,scalable_iterations,parity_pass
7,0.25,0.001,0.0,0.10168621173478155,0.1016497597019841,-0.00035847566917455764,2147,True
7,0.25,0.001,0.5,0.10217392703049914,0.10212953960760356,-0.0004344300369539164,2357,True
7,0.25,0.001,1.0,0.10280021012664901,0.1026093090827891,-0.0018570102495386002,1975,True
7,0.25,0.01,0.0,0.1061687853116484,0.1061314348779552,-0.00035180240202955365,3008,True
7,0.25,0.01,0.5,0.11104091791368755,0.11092913976627594,-0.001006639259759084,2626,True
7,0.25,0.01,1.0,0.11555146472710212,0.11553088217186264,-0.00017812457235478847,2635,True
7,0.5,0.001,0.0,0.11989867335910835,0.11983574129738965,-0.0005248770478903759,4138,True
7,0.5,0.001,0.5,0.12034819002715562,0.1202917531948049,-0.00046894624952804464,4740,True
7,0.5,0.001,1.0,0.12079486437947068,0.12074776353924452,-0.0003899241947753341,4660,True
7,0.5,0.01,0.0,0.1247412123510885,0.1247366870294921,-3.6277678492148626e-05,12000,True
7,0.5,0.01,0.5,0.1292120689017288,0.12918583371493333,-0.00020303975486536416,1678,True
7,0.5,0.01,1.0,0.13363406992007174,0.13363046089104835,-2.7006803171834594e-05,1794,True
7,0.75,0.001,0.0,0.09547975629612046,0.09547406802222817,-5.957570602344184e-05,9571,True
7,0.75,0.001,0.5,0.09593666347855791,0.09591969831068327,-0.0001768371679762481,3338,True
7,0.75,0.001,1.0,0.09637329670603059,0.09636425995083468,-9.376824810169914e-05,3161,True
7,0.75,0.01,0.0,0.10003031626102855,0.10000687833665811,-0.00023430821021580418,5030,True
7,0.75,0.01,0.5,0.10444014034835274,0.10441284792328326,-0.00026132122169163945,2022,True
7,0.75,0.01,1.0,0.10882885550229555,0.108764095401429,-0.0005950636948964538,2482,True
17,0.25,0.001,0.0,0.10437585991825711,0.1042371337631454,-0.0013291019132235325,1649,True
17,0.25,0.001,0.5,0.10480393456663925,0.1047057966285767,-0.000936395551067366,2518,True
17,0.25,0.001,1.0,0.10519977614203621,0.10517443831329878,-0.0002408543978574264,2836,True
17,0.25,0.01,0.0,0.10837098783332003,0.10834723425591468,-0.00021918760620583526,2635,True
17,0.25,0.01,0.5,0.11308180258213736,0.11302834293618556,-0.00047275197893106765,4135,True
17,0.25,0.01,1.0,0.11765629768121356,0.1176396479778529,-0.00014151136563705878,4028,True
17,0.5,0.001,0.0,0.13221988279991534,0.1322110321804544,-6.693864246064324e-05,2127,True
17,0.5,0.001,0.5,0.13269731152059855,0.13268726361764144,-7.57204712135503e-05,2163,True
17,0.5,0.001,1.0,0.1331742143248038,0.1331635008342178,-8.044718446682354e-05,2217,True
17,0.5,0.01,0.0,0.13701426515447368,0.13678062569575358,-0.0017052199525114102,1881,True
17,0.5,0.01,0.5,0.14164962516023244,0.14152924844928583,-0.0008498201870315135,2401,True
17,0.5,0.01,1.0,0.14628683736404052,0.1462360638901998,-0.00034708162918560363,3643,True
17,0.75,0.001,0.0,0.10052311842003946,0.10051476106382196,-8.313864859005798e-05,4008,True
17,0.75,0.001,0.5,0.10097125059720224,0.10096505531382881,-6.135690443362692e-05,3718,True
17,0.75,0.001,1.0,0.10141974247075507,0.1014153539478198,-4.3270894091827644e-05,3267,True
17,0.75,0.01,0.0,0.10515586004891803,0.1051389341670786,-0.00016095994870421918,3586,True
17,0.75,0.01,0.5,0.10971509882780417,0.10965190572994614,-0.0005759744878616087,3653,True
17,0.75,0.01,1.0,0.1141612232816941,0.11414345191532686,-0.0001556690254044564,6819,True
