alpha,direct_objective,elapsed_seconds,iterations,l1_ratio,n,objective,p,pass,quantile,reference_objective,relative_objective_gap,seed,stage
0.001,0.10165783109939537,0.11986779095605016,8000,0.0,120,,4,True,0.25,0.10168621173478155,-0.0002791001346397399,7,REFERENCE_PARITY
0.001,0.10213421611590959,0.1200233749113977,8000,0.5,120,,4,True,0.25,0.10217392703049914,-0.0003886599619265043,7,REFERENCE_PARITY
0.001,0.10261630846191597,0.12103820801712573,8000,1.0,120,,4,True,0.25,0.10280021012664901,-0.0017889230431190875,7,REFERENCE_PARITY
0.01,0.10613821497157151,0.12169695796910673,8000,0.0,120,,4,True,0.25,0.1061687853116484,-0.0002879409422190762,7,REFERENCE_PARITY
0.01,0.11093257721849867,0.1214924999512732,8000,0.5,120,,4,True,0.25,0.11104091791368755,-0.0009756826332531823,7,REFERENCE_PARITY
0.01,0.11553174884087042,0.12137820792850107,8000,1.0,120,,4,True,0.25,0.11555146472710212,-0.00017062428657452005,7,REFERENCE_PARITY
0.001,0.11984437798497163,0.11913758306764066,8000,0.0,120,,4,True,0.5,0.11989867335910835,-0.0004528438273382515,7,REFERENCE_PARITY
0.001,0.12029659079554489,0.1190126669825986,8000,0.5,120,,4,True,0.5,0.12034819002715562,-0.0004287495441276436,7,REFERENCE_PARITY
0.001,0.1207545319095432,0.11925612494815141,8000,1.0,120,,4,True,0.5,0.12079486437947068,-0.0003338922572136316,7,REFERENCE_PARITY
0.01,0.12473918887722205,0.1200330420397222,8000,0.0,120,,4,True,0.5,0.1247412123510885,-1.6221374061643045e-05,7,REFERENCE_PARITY
0.01,0.12918848388616014,0.12165774998720735,8000,0.5,120,,4,True,0.5,0.1292120689017288,-0.00018252950958155085,7,REFERENCE_PARITY
0.01,0.1336327663620967,0.12081274995580316,8000,1.0,120,,4,True,0.5,0.13363406992007174,-9.754682887492807e-06,7,REFERENCE_PARITY
0.001,0.0954759716319433,0.11891079100314528,8000,0.0,120,,4,True,0.75,0.09547975629612046,-3.963839377036791e-05,7,REFERENCE_PARITY
0.001,0.09592175612127897,0.11990250006783754,8000,0.5,120,,4,True,0.75,0.09593666347855791,-0.00015538748939574013,7,REFERENCE_PARITY
0.001,0.09636538235167552,0.12137066596187651,8000,1.0,120,,4,True,0.75,0.09637329670603059,-8.212185974307938e-05,7,REFERENCE_PARITY
0.01,0.10001140636356928,0.12154545809607953,8000,0.0,120,,4,True,0.75,0.10003031626102855,-0.00018904166422833055,7,REFERENCE_PARITY
0.01,0.10441453949155285,0.12152270891238004,8000,0.5,120,,4,True,0.75,0.10444014034835274,-0.00024512468783067327,7,REFERENCE_PARITY
0.01,0.1087685426770372,0.12032437510788441,8000,1.0,120,,4,True,0.75,0.10882885550229555,-0.000554198837982656,7,REFERENCE_PARITY
0.001,0.1042460949095471,0.12414175004232675,8000,0.0,120,,4,True,0.25,0.10437585991825711,-0.0012432473256903988,17,REFERENCE_PARITY
0.001,0.10471166213539193,0.12069391598924994,8000,0.5,120,,4,True,0.25,0.10480393456663925,-0.000880429075767655,17,REFERENCE_PARITY
0.001,0.10518097896361113,0.1234834169736132,8000,1.0,120,,4,True,0.25,0.10519977614203621,-0.000178680783499977,17,REFERENCE_PARITY
0.01,0.1083534769328032,0.1209884159034118,8000,0.0,120,,4,True,0.25,0.10837098783332003,-0.0001615829187029168,17,REFERENCE_PARITY
0.01,0.11303458392640763,0.12044054199941456,8000,0.5,120,,4,True,0.25,0.11308180258213736,-0.00041756192996161883,17,REFERENCE_PARITY
0.01,0.11764684607436099,0.12064712506253272,8000,1.0,120,,4,True,0.25,0.11765629768121356,-8.033234972414819e-05,17,REFERENCE_PARITY
0.001,0.13221584045574722,0.12044995801988989,8000,0.0,120,,4,True,0.5,0.13221988279991534,-3.057289178086395e-05,17,REFERENCE_PARITY
0.001,0.13269371541863123,0.12142783403396606,8000,0.5,120,,4,True,0.5,0.13269731152059855,-2.710003636177554e-05,17,REFERENCE_PARITY
0.001,0.13316925409973013,0.12136483297217637,8000,1.0,120,,4,True,0.5,0.1331742143248038,-3.7246137315911065e-05,17,REFERENCE_PARITY
0.01,0.13678679105503855,0.1218946659937501,8000,0.0,120,,4,True,0.5,0.13701426515447368,-0.0016602220154132963,17,REFERENCE_PARITY
0.01,0.14153531836467872,0.12065816693939269,8000,0.5,120,,4,True,0.5,0.14164962516023244,-0.0008069685706856771,17,REFERENCE_PARITY
0.01,0.14624096248724472,0.1192563750082627,8000,1.0,120,,4,True,0.5,0.14628683736404052,-0.0003135953830325999,17,REFERENCE_PARITY
0.001,0.10052502109296953,0.12126649997662753,8000,0.0,120,,4,True,0.75,0.10052311842003946,1.892771493737849e-05,17,REFERENCE_PARITY
0.001,0.10097343347029476,0.1214590419549495,8000,0.5,120,,4,True,0.75,0.10097125059720224,2.1618758603142274e-05,17,REFERENCE_PARITY
0.001,0.10142137944340017,0.12148891598917544,8000,1.0,120,,4,True,0.75,0.10141974247075507,1.6140571896785108e-05,17,REFERENCE_PARITY
0.01,0.10514408596597732,0.12043124996125698,8000,0.0,120,,4,True,0.75,0.10515586004891803,-0.00011196792014467654,17,REFERENCE_PARITY
0.01,0.10965755573325128,0.12025529099628329,8000,0.5,120,,4,True,0.75,0.10971509882780417,-0.0005244774435576945,17,REFERENCE_PARITY
0.01,0.11414601424356638,0.12154395901598036,8000,1.0,120,,4,True,0.75,0.1141612232816941,-0.00013322420424838007,17,REFERENCE_PARITY
0.001,,0.037816166994161904,600,0.5,5000,0.1804201494930633,24,True,0.5,,,,SYNTHETIC_SCALING
0.001,,0.10090262489393353,600,0.5,20000,0.18035668942779834,24,True,0.5,,,,SYNTHETIC_SCALING
