C,balanced_accuracy,brier_score,family,fold_id,horizon,log_loss,reason,roc_auc,status,test_count,train_count
0.01,0.5221313934330792,0.25012057147040695,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,5,0.6999757012231035,,0.5264716476411583,EVALUATED,44700,81602
0.1,0.5188677178121265,0.25056299857047204,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,5,0.7040466485897294,,0.5195395136473748,EVALUATED,44700,81602
1.0,0.5173652865450739,0.25067943053041114,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,5,0.7060646621547414,,0.5178737835987056,EVALUATED,44700,81602
10.0,0.5185513851895548,0.2505377536936342,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,5,0.6999854694936382,,0.5196398316327634,EVALUATED,44700,81602
,,,MF2_MONOTONIC_GAM_DIRECTION,WF1,5,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,44700,81602
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF1,5,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,44868,81916
0.01,0.5096861879424623,0.250249549210022,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,5,0.7599471257474266,,0.5067781808199631,EVALUATED,46767,126286
0.1,0.5079341554644647,0.2501941947031071,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,5,0.7614481900737551,,0.5133907685434344,EVALUATED,46767,126286
1.0,0.5086511580911348,0.25019557880354154,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,5,0.7645193600079897,,0.5138950937405016,EVALUATED,46767,126286
10.0,0.5096585367546761,0.2502608851182823,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,5,0.7659036457228465,,0.5120752591984365,EVALUATED,46767,126286
,,,MF2_MONOTONIC_GAM_DIRECTION,WF2,5,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,46767,126286
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF2,5,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,46936,126769
0.01,0.5201780637568942,0.24733335118071995,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,5,0.7238713797793928,,0.5278784884863715,EVALUATED,49647,173023
0.1,0.5220081005783725,0.24736884711928545,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,5,0.7240150680112407,,0.5284385381998261,EVALUATED,49647,173023
1.0,0.5222887340589506,0.24737815377932204,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,5,0.7232282992466732,,0.5284001965511033,EVALUATED,49647,173023
10.0,0.5222156222919546,0.24747381262080448,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,5,0.7270984640586844,,0.5286287257107483,EVALUATED,49647,173023
,,,MF2_MONOTONIC_GAM_DIRECTION,WF3,5,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,49647,173023
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF3,5,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,49823,173675
0.01,0.4962945556217633,0.25081421838789114,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,5,0.6948161856591216,,0.49131068986051973,EVALUATED,52616,222642
0.1,0.4973655245240596,0.25103488092895326,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,5,0.6952775052064231,,0.49070406709407177,EVALUATED,52616,222642
1.0,0.49922842403069645,0.25090108871944244,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,5,0.6950329744916018,,0.49399647985911144,EVALUATED,52616,222642
10.0,0.5004931225038496,0.25073601247514415,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,5,0.6947553759549108,,0.497943044083029,EVALUATED,52616,222642
,,,MF2_MONOTONIC_GAM_DIRECTION,WF4,5,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,52616,222642
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF4,5,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,52784,223470
0.01,0.5122459425091521,0.24536084265549885,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,5,0.6838247480430012,,0.5276604419500662,EVALUATED,25774,274725
0.1,0.513909318834593,0.24532416426871093,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,5,0.6837478542868811,,0.5291057481871709,EVALUATED,25774,274725
1.0,0.5126128181967969,0.24538889015628385,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,5,0.6838766249299184,,0.5279444930743511,EVALUATED,25774,274725
10.0,0.5106613999461513,0.24546473140629393,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,5,0.6840280405136834,,0.5264946091538385,EVALUATED,25774,274725
,,,MF2_MONOTONIC_GAM_DIRECTION,WF5,5,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,25774,274725
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF5,5,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,25864,275716
0.01,0.539773237862838,0.24610379653357858,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,10,0.687249598603559,,0.537812188399411,EVALUATED,44758,81262
0.1,0.5338804127474717,0.24686323125780962,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,10,0.6891493442990553,,0.5301526825939739,EVALUATED,44758,81262
1.0,0.5336453546460993,0.24709708775902656,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,10,0.6895186543584421,,0.5285637193173087,EVALUATED,44758,81262
10.0,0.532307487517195,0.24709662450282485,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,10,0.6888612983338306,,0.5283887514897867,EVALUATED,44758,81262
,,,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,44758,81262
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF1,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,44867,81487
0.01,0.5142463063205962,0.2501164180478942,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,10,0.7515443691368137,,0.49967228846831896,EVALUATED,46806,125561
0.1,0.5160757092854871,0.2498037177294084,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,10,0.7515346939635856,,0.5048772804468356,EVALUATED,46806,125561
1.0,0.5164957712582106,0.24968733890916542,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,10,0.7518772579658475,,0.5068684034470663,EVALUATED,46806,125561
10.0,0.5169892405109485,0.24957102252736346,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF2,10,0.7523226364169625,,0.5088325576150923,EVALUATED,46806,125561
,,,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,46806,125561
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF2,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,46935,125890
0.01,0.5219362489193006,0.24560871317793626,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,10,0.7214127911672813,,0.5281908118503866,EVALUATED,49696,172735
0.1,0.5260819143648883,0.24563246619983467,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,10,0.7213182104354153,,0.5287792661578625,EVALUATED,49696,172735
1.0,0.5273982906380127,0.24562861221001667,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,10,0.7199790114168574,,0.5290960435285786,EVALUATED,49696,172735
10.0,0.5280827734068783,0.24570276392302895,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF3,10,0.7220682506727416,,0.5293555687309458,EVALUATED,49696,172735
,,,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,49696,172735
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF3,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,49822,173199
0.01,0.4999511745266711,0.251092350466318,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,10,0.6954584847805604,,0.4963735644280756,EVALUATED,52691,222375
0.1,0.4998344177395478,0.25149360330905035,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,10,0.6962952891435378,,0.49374348666505197,EVALUATED,52691,222375
1.0,0.4995920470236379,0.2514035645241908,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,10,0.6961265230080229,,0.4956075009951263,EVALUATED,52691,222375
10.0,0.49953966188774795,0.251256619361239,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF4,10,0.6958474210040998,,0.49942392142267866,EVALUATED,52691,222375
,,,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,52691,222375
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF4,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,52786,222964
0.01,0.520189357468118,0.2415451294093197,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.6760875350802089,,0.5433313447800555,EVALUATED,25276,274512
0.1,0.5218955634089999,0.24192850627927584,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.676853802644256,,0.540919298859817,EVALUATED,25276,274512
1.0,0.5213189475388472,0.24201802930732685,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.6770335914267251,,0.5405108975267934,EVALUATED,25276,274512
10.0,0.5206591014720355,0.24201058898227507,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF5,10,0.6770162108644565,,0.5405540704095522,EVALUATED,25276,274512
,,,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,25276,274512
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF5,10,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,25344,275191
0.01,0.5353434888431613,0.24572624296979037,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6862053089895066,,0.5309216505428425,EVALUATED,44788,80497
0.1,0.5269715436600679,0.24551497808284253,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6865331359416914,,0.524638524438466,EVALUATED,44788,80497
1.0,0.5253495582090357,0.24574182229372346,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6862150085754477,,0.5224592547553162,EVALUATED,44788,80497
10.0,0.5265606899407216,0.2456754993177685,MF1_REGULARIZED_LOGISTIC_DIRECTION,WF1,20,0.6854413347954436,,0.5230152007120987,EVALUATED,44788,80497
,,,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,,NO_CERTIFIED_MONOTONIC_GAM_RUNTIME_AND_FIELD_LEVEL_SIGN_MAP,,BLOCKED_DEPENDENCY_OR_SIGN_AUTHORITY,44788,80497
,,,MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,WF1,20,,SKLEARN_QUANTILE_REGRESSOR_HAS_ALPHA_BUT_NO_L1_RATIO;_PREREGISTERED_MF3_REQUIRES_ALPHA_AND_L1_RATIO,,BLOCKED_SOLVER_CONTRACT_NOT_CERTIFIED,44865,80633
