                   table_name                   |              column_name               |        data_type         
------------------------------------------------+----------------------------------------+--------------------------
 broker_portfolio_publications                  | publication_id                         | character varying
 broker_portfolio_publications                  | publication_name                       | character varying
 broker_portfolio_publications                  | portfolio_id                           | character varying
 broker_portfolio_publications                  | broker_account_id                      | character varying
 broker_portfolio_publications                  | account_snapshot_id                    | character varying
 broker_portfolio_publications                  | reconciliation_run_id                  | character varying
 broker_portfolio_publications                  | status                                 | character varying
 broker_portfolio_publications                  | position_count                         | integer
 broker_portfolio_publications                  | matched_count                          | integer
 broker_portfolio_publications                  | broker_discovered_count                | integer
 broker_portfolio_publications                  | drift_count                            | integer
 broker_portfolio_publications                  | published_at                           | character varying
 broker_portfolio_publications                  | payload_json                           | jsonb
 institutional_inflection_publications          | publication_id                         | character varying
 institutional_inflection_publications          | publication_name                       | character varying
 institutional_inflection_publications          | source_run_id                          | character varying
 institutional_inflection_publications          | status                                 | character varying
 institutional_inflection_publications          | symbol_count                           | integer
 institutional_inflection_publications          | high_conviction_count                  | integer
 institutional_inflection_publications          | published_at                           | character varying
 institutional_inflection_publications          | payload_json                           | json
 institutional_market_structure_snapshot_legacy | symbol                                 | character varying
 institutional_market_structure_snapshot_legacy | as_of_date                             | date
 institutional_market_structure_snapshot_legacy | option_snapshot_date                   | date
 institutional_market_structure_snapshot_legacy | spot                                   | double precision
 institutional_market_structure_snapshot_legacy | net_gamma_exposure                     | double precision
 institutional_market_structure_snapshot_legacy | net_delta_exposure                     | double precision
 institutional_market_structure_snapshot_legacy | net_vanna_exposure                     | double precision
 institutional_market_structure_snapshot_legacy | net_charm_exposure                     | double precision
 institutional_market_structure_snapshot_legacy | gamma_regime                           | character varying
 institutional_market_structure_snapshot_legacy | gamma_flip                             | double precision
 institutional_market_structure_snapshot_legacy | call_wall                              | double precision
 institutional_market_structure_snapshot_legacy | put_wall                               | double precision
 institutional_market_structure_snapshot_legacy | institutional_positioning_score        | double precision
 institutional_market_structure_snapshot_legacy | bull_probability                       | double precision
 institutional_market_structure_snapshot_legacy | bear_probability                       | double precision
 institutional_market_structure_snapshot_legacy | range_probability                      | double precision
 institutional_market_structure_snapshot_legacy | breakout_probability                   | double precision
 institutional_market_structure_snapshot_legacy | confidence                             | character varying
 institutional_market_structure_snapshot_legacy | payload_json                           | text
