stop_loss,take_profit,max_hold,min_call_score,min_put_score,min_option_price,min_abs_delta,max_abs_delta,final_pnl,win_rate,profit_factor,max_drawdown,expectancy,closed_positions
-0.08,0.12,5,70.0,70.0,0.5,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,5,70.0,70.0,0.5,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,5,70.0,70.0,1.0,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,5,70.0,70.0,1.0,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,5,70.0,70.0,2.0,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,5,70.0,70.0,2.0,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,10,70.0,70.0,0.5,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,10,70.0,70.0,0.5,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,10,70.0,70.0,1.0,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,10,70.0,70.0,1.0,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,10,70.0,70.0,2.0,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,10,70.0,70.0,2.0,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,15,70.0,70.0,0.5,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,15,70.0,70.0,0.5,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,15,70.0,70.0,1.0,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,15,70.0,70.0,1.0,0.35,0.65,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
-0.08,0.12,15,70.0,70.0,2.0,0.3,0.7,316.95970719281877,1.0,inf,31.361483115396993,105.65323573093958,3
