symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask
AAPL,1,CALL,290.0,2026-09-18,81.9755985940752,86.31927017104582,0.85,70.0,99.27708068418328,100.0,100.0,50.0,0.0,0.4572291931581673,0.27352460992524097,9717,0,0.0,0.0
AAPL,2,CALL,295.0,2026-10-16,81.78724265244912,85.97680482263478,0.85,70.0,97.90721929053909,100.0,100.0,50.0,0.0,0.42907219290539084,0.2698308573172895,1707,0,0.0,0.0
AAPL,3,CALL,290.0,2026-08-21,81.77251737137854,85.95003158432462,0.85,70.0,97.8001263372985,100.0,100.0,50.0,0.0,0.42800126337298494,0.27663495483415274,7521,0,0.0,0.0
AAPL,4,CALL,290.0,2026-10-16,81.71100548800166,85.83819179636666,0.85,70.0,97.35276718546666,100.0,100.0,50.0,0.0,0.47647232814533347,0.2710373993558092,2149,0,0.0,0.0
AAPL,5,CALL,285.0,2026-08-21,81.45818207351908,85.37851286094377,0.85,70.0,95.51405144377509,100.0,100.0,50.0,0.0,0.4948594855622491,0.2810349248191879,5302,0,0.0,0.0
AAPL,6,CALL,295.0,2026-09-18,81.43681150527874,85.33965728232498,0.85,70.0,95.35862912929993,100.0,100.0,50.0,0.0,0.4035862912929994,0.27407638353582914,12179,0,0.0,0.0
AAPL,7,CALL,285.0,2026-09-18,81.2378700331735,84.97794551486089,0.85,70.0,93.91178205944355,100.0,100.0,50.0,0.0,0.5108821794055646,0.2715314979671385,36629,0,0.0,0.0
AAPL,8,CALL,300.0,2026-10-16,81.15795874763631,84.83265226842964,0.85,70.0,93.33060907371855,100.0,100.0,50.0,0.0,0.3833060907371856,0.26642806776985095,11810,0,0.0,0.0
AAPL,9,CALL,285.0,2026-10-16,81.04974566487732,84.63590120886786,0.85,70.0,92.54360483547146,100.0,100.0,50.0,0.0,0.5245639516452855,0.28090000705036705,1882,0,0.0,0.0
AAPL,10,CALL,295.0,2026-08-21,80.83217358147668,84.24031560268487,0.85,70.0,90.96126241073948,100.0,100.0,50.0,0.0,0.35961262410739486,0.26645722593708776,7758,0,0.0,0.0
AMD,1,CALL,600.0,2026-09-18,81.94324812126143,86.26045112956625,0.85,70.0,99.04180451826501,100.0,100.0,50.0,0.0,0.45958195481734987,0.7481056821840043,2592,0,0.0,0.0
AMD,2,CALL,620.0,2026-09-18,81.71590177030686,85.84709412783063,0.85,70.0,97.3883765113225,100.0,100.0,50.0,0.0,0.4238837651132251,0.7558457443148144,1879,0,0.0,0.0
AMD,3,CALL,600.0,2026-08-21,81.67789207171323,85.77798558493313,0.85,70.0,97.11194233973256,100.0,100.0,50.0,0.0,0.4211194233973258,0.7717371683645482,3580,0,0.0,0.0
AMD,4,CALL,580.0,2026-09-18,81.4060895288319,85.28379914333071,0.85,70.0,95.13519657332283,100.0,100.0,50.0,0.0,0.4986480342667717,0.7448741084599431,1117,0,0.0,0.0
AMD,5,CALL,650.0,2026-09-18,80.98885955566107,84.52519919211102,0.85,70.0,92.10079676844404,100.0,100.0,50.0,0.0,0.3710079676844405,0.7435470823102802,4065,0,0.0,0.0
AMD,6,CALL,560.0,2026-08-21,80.91492123055319,84.58167496464216,0.85,68.95,93.37669985856864,100.0,100.0,50.0,0.0,0.5162330014143136,0.7632035625854616,985,0,0.0,0.0
AMD,7,CALL,550.0,2026-08-21,80.82446016264855,84.22629120481554,0.85,70.0,90.90516481926213,100.0,100.0,50.0,0.0,0.5409483518073788,0.7670621137046739,2106,0,0.0,0.0
AMD,8,CALL,550.0,2026-09-18,80.57553705496932,83.77370373630785,0.85,70.0,89.09481494523138,100.0,100.0,50.0,0.0,0.5590518505476862,0.7504571055721179,1323,0,0.0,0.0
AMD,9,CALL,540.0,2026-08-21,80.48477254676278,83.60867735775051,0.85,70.0,88.43470943100206,100.0,100.0,50.0,0.0,0.5656529056899794,0.7742456088029238,2404,0,0.0,0.0
AMD,10,CALL,680.0,2026-09-18,80.33349104560364,83.3336200829157,0.85,70.0,87.33448033166282,100.0,100.0,50.0,0.0,0.3233448033166282,0.7481699197738941,2973,0,0.0,0.0
AMZN,1,CALL,255.0,2026-10-16,81.98069422339594,86.32853495162897,0.85,70.0,99.31413980651588,100.0,100.0,50.0,0.0,0.4431413980651589,0.36795322826260074,1845,0,0.0,0.0
AMZN,2,CALL,250.0,2026-08-21,81.91510132173342,86.20927513042439,0.85,70.0,98.83710052169754,100.0,100.0,50.0,0.0,0.4383710052169755,0.39267480254070536,27705,0,0.0,0.0
AMZN,3,CALL,250.0,2026-09-18,81.87782440329383,86.1414989150797,0.85,70.0,98.5659956603188,100.0,100.0,50.0,0.0,0.464340043396812,0.375486306213372,8248,0,0.0,0.0
AMZN,4,CALL,255.0,2026-09-18,81.6587092305322,85.74310769187673,0.85,70.0,96.9724307675069,100.0,100.0,50.0,0.0,0.4197243076750691,0.37846098476087486,7438,0,0.0,0.0
AMZN,5,CALL,250.0,2026-10-16,81.62057543519967,85.67377351854485,0.85,70.0,96.6950940741794,100.0,100.0,50.0,0.0,0.48304905925820596,0.36700882347568436,5321,0,0.0,0.0
AMZN,6,CALL,245.0,2026-08-21,81.48174524581734,85.42135499239517,0.85,70.0,95.68541996958068,100.0,100.0,50.0,0.0,0.49314580030419325,0.3947309047212525,5252,0,0.0,0.0
AMZN,7,CALL,260.0,2026-10-16,81.46451487495,85.39002704536362,0.85,70.0,95.56010818145448,100.0,100.0,50.0,0.0,0.40560108181454485,0.3705136523131601,1827,0,0.0,0.0
AMZN,8,CALL,245.0,2026-09-18,81.24819973704331,84.99672679462418,0.85,70.0,93.9869071784967,100.0,100.0,50.0,0.0,0.510130928215033,0.37520035095279275,2951,0,0.0,0.0
AMZN,9,CALL,255.0,2026-08-21,81.16464844823261,84.84481536042293,0.85,70.0,93.37926144169171,100.0,100.0,50.0,0.0,0.38379261441691703,0.387918285341578,11059,0,0.0,0.0
AMZN,10,CALL,260.0,2026-09-18,81.07048372702633,84.67360677641149,0.85,70.0,92.69442710564594,100.0,100.0,50.0,0.0,0.37694427105645945,0.37477910665789876,11716,0,0.0,0.0
GOOGL,1,PUT,350.0,2026-08-21,81.88232838145815,86.14968796628754,0.85,70.0,98.59875186515016,100.0,100.0,50.0,0.0,-0.43598751865150165,0.36640245171087105,9822,0,0.0,0.0
GOOGL,2,PUT,355.0,2026-09-18,81.84320781577924,86.07855966505313,0.85,70.0,98.31423866021254,100.0,100.0,50.0,0.0,-0.4668576133978747,0.3544985787313658,1201,0,0.0,0.0
GOOGL,3,PUT,350.0,2026-09-18,81.83451332503162,86.06275150005747,0.85,70.0,98.25100600022989,100.0,100.0,50.0,0.0,-0.43251006000229897,0.35937689414133056,3012,0,0.0,0.0
GOOGL,4,PUT,350.0,2026-10-16,81.78180020968476,85.9669094721541,0.85,70.0,97.86763788861637,100.0,100.0,50.0,0.0,-0.42867637888616367,0.35064955558415717,1504,0,0.0,0.0
GOOGL,5,PUT,360.0,2026-09-18,81.37888987003313,85.23434521824207,0.85,70.0,94.93738087296826,100.0,100.0,50.0,0.0,-0.5006261912703174,0.3533038089802964,1555,0,0.0,0.0
GOOGL,6,PUT,345.0,2026-09-18,81.36510364077328,85.20927934686051,0.85,70.0,94.83711738744204,100.0,100.0,50.0,0.0,-0.3983711738744204,0.3558845026452128,2622,0,0.0,0.0
GOOGL,7,PUT,345.0,2026-08-21,81.32044214886061,85.128076634292,0.85,70.0,94.512306537168,100.0,100.0,50.0,0.0,-0.39512306537167996,0.36563593105368664,2058,0,0.0,0.0
GOOGL,8,PUT,360.0,2026-08-21,81.14170660591884,84.80310291985245,0.85,70.0,93.21241167940977,100.0,100.0,50.0,0.0,-0.5178758832059024,0.3622962000970659,11874,0,0.0,0.0
GOOGL,9,PUT,340.0,2026-10-16,80.9664712699311,84.48449321805656,0.85,70.0,91.93797287222623,100.0,100.0,50.0,0.0,-0.3693797287222623,0.35348329131606787,1951,0,0.0,0.0
GOOGL,10,PUT,340.0,2026-09-18,80.90744805913872,84.37717828934312,0.85,70.0,91.5087131573725,100.0,100.0,50.0,0.0,-0.3650871315737251,0.3588371937476236,3473,0,0.0,0.0
META,1,PUT,560.0,2026-08-21,82.00014689127477,86.36390343868139,0.85,70.0,99.45561375472558,100.0,100.0,50.0,0.0,-0.44455613754725576,0.41678586241390403,2793,0,0.0,0.0
META,2,PUT,560.0,2026-09-18,81.92521152917195,86.22765732576715,0.85,70.0,98.9106293030686,100.0,100.0,50.0,0.0,-0.439106293030686,0.3978465424838243,2734,0,0.0,0.0
META,3,PUT,560.0,2026-10-16,81.85403066790104,86.0982375780019,0.85,70.0,98.39295031200759,100.0,100.0,50.0,0.0,-0.43392950312007594,0.3907249139635835,1479,0,0.0,0.0
META,4,PUT,570.0,2026-09-18,81.69812335267252,85.81476973213186,0.85,70.0,97.25907892852746,100.0,100.0,50.0,0.0,-0.47740921071472536,0.394123938721763,2513,0,0.0,0.0
META,5,PUT,570.0,2026-08-21,81.52698130236415,85.5036023679348,0.85,70.0,96.01440947173919,100.0,100.0,50.0,0.0,-0.48985590528260814,0.4111221642025697,2347,0,0.0,0.0
META,6,PUT,550.0,2026-09-18,81.39572189875038,85.26494890681887,0.85,70.0,95.05979562727549,100.0,100.0,50.0,0.0,-0.40059795627275496,0.39529416503692316,7644,0,0.0,0.0
META,7,PUT,550.0,2026-10-16,81.38752846068094,85.2500517466926,0.85,70.0,95.00020698677041,100.0,100.0,50.0,0.0,-0.40000206986770415,0.38839787603133685,4354,0,0.0,0.0
META,8,PUT,550.0,2026-08-21,81.37872452872006,85.23404459767283,0.85,70.0,94.93617839069137,100.0,100.0,50.0,0.0,-0.3993617839069136,0.41474815667982035,5090,0,0.0,0.0
META,9,PUT,580.0,2026-09-18,81.17591211789747,84.86529475981357,0.85,70.0,93.46117903925423,100.0,100.0,50.0,0.0,-0.5153882096074577,0.3927823010428821,4781,0,0.0,0.0
META,10,PUT,545.0,2026-09-18,81.13009850101325,84.78199727456953,0.85,70.0,93.12798909827815,100.0,100.0,50.0,0.0,-0.3812798909827815,0.39374934561262137,1047,0,0.0,0.0
MSFT,1,CALL,390.0,2026-10-16,82.0619479580491,86.47626901463474,0.85,70.0,99.90507605853897,100.0,100.0,50.0,0.0,0.45094923941461035,0.38795926813936393,1320,0,0.0,0.0
MSFT,2,CALL,385.0,2026-08-21,81.88389662199508,86.15253931271832,0.85,70.0,98.61015725087327,100.0,100.0,50.0,0.0,0.43610157250873266,0.42068829304496125,6812,0,0.0,0.0
MSFT,3,CALL,380.0,2026-08-21,81.8326145324344,86.05929914988073,0.85,70.0,98.2371965995229,100.0,100.0,50.0,0.0,0.46762803400477104,0.41512944257106127,4864,0,0.0,0.0
MSFT,4,CALL,390.0,2026-09-18,81.80777697310666,86.01413995110299,0.85,70.0,98.05655980441198,100.0,100.0,50.0,0.0,0.4305655980441198,0.39770927312762777,3390,0,0.0,0.0
MSFT,5,CALL,380.0,2026-09-18,81.58729102460985,85.61325640838155,0.85,70.0,96.4530256335262,100.0,100.0,50.0,0.0,0.485469743664738,0.39318522692429986,3806,0,0.0,0.0
MSFT,6,CALL,390.0,2026-08-21,81.46168458339181,85.38488106071239,0.85,70.0,95.53952424284957,100.0,100.0,50.0,0.0,0.4053952424284958,0.42615689166454424,25250,0,0.0,0.0
MSFT,7,CALL,400.0,2026-10-16,81.45255397065782,85.36827994665059,0.85,70.0,95.47311978660234,100.0,100.0,50.0,0.0,0.4047311978660233,0.3932979312699681,2080,0,0.0,0.0
MSFT,8,CALL,380.0,2026-10-16,81.38003702810015,85.23643096018208,0.85,70.0,94.94572384072828,100.0,100.0,50.0,0.0,0.5005427615927172,0.38980828732098416,1402,0,0.0,0.0
MSFT,9,CALL,375.0,2026-08-21,81.36879808119981,85.21599651127238,0.85,70.0,94.86398604508952,100.0,100.0,50.0,0.0,0.5013601395491049,0.41842136947408554,1855,0,0.0,0.0
MSFT,10,CALL,400.0,2026-09-18,81.10382239648533,84.73422253906423,0.85,70.0,92.93689015625692,100.0,100.0,50.0,0.0,0.3793689015625693,0.39981877281636086,10546,0,0.0,0.0
NVDA,1,PUT,195.0,2026-09-18,82.07491966733929,86.49985394061687,0.85,70.0,99.99941576246752,100.0,100.0,50.0,0.0,-0.4500058423753249,0.41023256435468314,12010,0,0.0,0.0
NVDA,2,PUT,195.0,2026-10-16,81.97735074776514,86.32245590502754,0.85,70.0,99.28982362011014,100.0,100.0,50.0,0.0,-0.44289823620110147,0.40732225153130813,9508,0,0.0,0.0
NVDA,3,PUT,195.0,2026-08-21,81.93647141384574,86.24812984335587,0.85,70.0,98.99251937342346,100.0,100.0,50.0,0.0,-0.4600748062657654,0.38412051030473593,19302,0,0.0,0.0
NVDA,4,PUT,200.0,2026-10-16,81.53210402866927,85.51291641576229,0.85,70.0,96.05166566304915,100.0,100.0,50.0,0.0,-0.4894833433695085,0.4004711567640267,15140,0,0.0,0.0
NVDA,5,PUT,200.0,2026-09-18,81.33794687546029,85.15990340992781,0.85,70.0,94.63961363971126,100.0,100.0,50.0,0.0,-0.5036038636028876,0.40330183659576213,41748,0,0.0,0.0
NVDA,6,PUT,190.0,2026-09-18,81.33189055769081,85.1488919230742,0.85,70.0,94.5955676922968,100.0,100.0,50.0,0.0,-0.39595567692296807,0.4081116974299459,21413,0,0.0,0.0
NVDA,7,PUT,190.0,2026-10-16,81.32902719546914,85.14368580994389,0.85,70.0,94.57474323977557,100.0,100.0,50.0,0.0,-0.39574743239775567,0.4048843841717538,7306,0,0.0,0.0
NVDA,8,PUT,190.0,2026-08-21,81.23778347407267,84.97778813467757,0.85,70.0,93.91115253871027,100.0,100.0,50.0,0.0,-0.38911152538710275,0.382590195900051,29804,0,0.0,0.0
NVDA,9,PUT,200.0,2026-08-21,80.9566222250066,84.46658586364835,0.85,70.0,91.86634345459339,100.0,100.0,50.0,0.0,-0.5313365654540662,0.3758002538099798,32250,0,0.0,0.0
NVDA,10,PUT,205.0,2026-10-16,80.88875504848806,84.34319099725101,0.85,70.0,91.37276398900403,100.0,100.0,50.0,0.0,-0.5362723601099598,0.3992000120056605,4770,0,0.0,0.0
TSLA,1,PUT,410.0,2026-09-18,82.02768281474447,86.41396875408084,0.85,70.0,99.65587501632335,100.0,100.0,50.0,0.0,-0.45344124983676654,0.44159920139716696,2265,0,0.0,0.0
TSLA,2,PUT,410.0,2026-08-21,81.88155069110162,86.14827398382113,0.85,70.0,98.59309593528451,100.0,100.0,50.0,0.0,-0.4640690406471549,0.44229512857668,2722,0,0.0,0.0
TSLA,3,PUT,405.0,2026-09-18,81.79334007717227,85.98789104940413,0.85,70.0,97.95156419761649,100.0,100.0,50.0,0.0,-0.42951564197616493,0.4422071739848255,1194,0,0.0,0.0
TSLA,4,PUT,400.0,2026-09-18,81.46559718451701,85.39199488093999,0.85,70.0,95.56797952375997,100.0,100.0,50.0,0.0,-0.4056797952375998,0.44054800018985435,7775,0,0.0,0.0
TSLA,5,PUT,400.0,2026-08-21,81.46192072028663,85.38531040052112,0.85,70.0,95.54124160208445,100.0,100.0,50.0,0.0,-0.40541241602084466,0.44236597776999514,6026,0,0.0,0.0
TSLA,6,PUT,400.0,2026-10-16,81.43671123487047,85.33947497249174,0.85,70.0,95.35789988996697,100.0,100.0,50.0,0.0,-0.4035789988996698,0.44566728178442533,2597,0,0.0,0.0
TSLA,7,PUT,420.0,2026-09-18,81.372497542992,85.22272280543999,0.85,70.0,94.89089122175996,100.0,100.0,50.0,0.0,-0.5010910877824004,0.4336613868612245,2520,0,0.0,0.0
TSLA,8,PUT,395.0,2026-09-18,81.14041734761955,84.80075881385373,0.85,70.0,93.20303525541492,100.0,100.0,50.0,0.0,-0.38203035255414913,0.44144042435255704,2134,0,0.0,0.0
TSLA,9,PUT,420.0,2026-08-21,81.06820250120415,84.66945909309845,0.85,70.0,92.67783637239384,100.0,100.0,50.0,0.0,-0.5232216362760617,0.43235014706498576,3948,0,0.0,0.0
TSLA,10,PUT,395.0,2026-08-21,81.06560553107734,84.66473732923151,0.85,70.0,92.65894931692603,100.0,100.0,50.0,0.0,-0.3765894931692603,0.44428274728466927,1366,0,0.0,0.0
